"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"01","anmodning","personer","2015","30","bosatt_anmodede"
"02","anmodning","personer","2015","145","bosatt_anmodede"
"03","anmodning","personer","2015","90","bosatt_anmodede"
"04","anmodning","personer","2015","170","bosatt_anmodede"
"05","anmodning","personer","2015","245","bosatt_anmodede"
"06","anmodning","personer","2015","187","bosatt_anmodede"
"07","anmodning","personer","2015","220","bosatt_anmodede"
"08","anmodning","personer","2015","125","bosatt_anmodede"
"09","anmodning","personer","2015","720","bosatt_anmodede"
"10","anmodning","personer","2015","80","bosatt_anmodede"
"11","anmodning","personer","2015","110","bosatt_anmodede"
"12","anmodning","personer","2015","160","bosatt_anmodede"
"13","anmodning","personer","2015","95","bosatt_anmodede"
"14","anmodning","personer","2015","130","bosatt_anmodede"
"15","anmodning","personer","2015","85","bosatt_anmodede"
"16","anmodning","personer","2015","85","bosatt_anmodede"
"17","anmodning","personer","2015","40","bosatt_anmodede"
"18","anmodning","personer","2015","67","bosatt_anmodede"
"19","anmodning","personer","2015","65","bosatt_anmodede"
"20","anmodning","personer","2015","345","bosatt_anmodede"
"21","anmodning","personer","2015","60","bosatt_anmodede"
"22","anmodning","personer","2015","84","bosatt_anmodede"
"23","anmodning","personer","2015","45","bosatt_anmodede"
"24","anmodning","personer","2015","60","bosatt_anmodede"
"25","anmodning","personer","2015","238","bosatt_anmodede"
"26","anmodning","personer","2015","125","bosatt_anmodede"
"27","anmodning","personer","2015","335","bosatt_anmodede"
"28","anmodning","personer","2015","77","bosatt_anmodede"
"29","anmodning","personer","2015","75","bosatt_anmodede"
"30","anmodning","personer","2015","65","bosatt_anmodede"
"31","anmodning","personer","2015","50","bosatt_anmodede"
"32","anmodning","personer","2015","275","bosatt_anmodede"
"33","anmodning","personer","2015","170","bosatt_anmodede"
"34","anmodning","personer","2015","90","bosatt_anmodede"
"35","anmodning","personer","2015","405","bosatt_anmodede"
"36","anmodning","personer","2015","75","bosatt_anmodede"
"37","anmodning","personer","2015","202","bosatt_anmodede"
"38","anmodning","personer","2015","86","bosatt_anmodede"
"39","anmodning","personer","2015","411","bosatt_anmodede"
"40","anmodning","personer","2015","350","bosatt_anmodede"
"41","anmodning","personer","2015","40","bosatt_anmodede"
"42","anmodning","personer","2015","100","bosatt_anmodede"
"43","anmodning","personer","2015","30","bosatt_anmodede"
