"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"01","anmodning","personer","2016","70","bosatt_anmodede"
"02","anmodning","personer","2016","225","bosatt_anmodede"
"03","anmodning","personer","2016","145","bosatt_anmodede"
"04","anmodning","personer","2016","340","bosatt_anmodede"
"05","anmodning","personer","2016","415","bosatt_anmodede"
"06","anmodning","personer","2016","340","bosatt_anmodede"
"07","anmodning","personer","2016","405","bosatt_anmodede"
"08","anmodning","personer","2016","250","bosatt_anmodede"
"09","anmodning","personer","2016","1000","bosatt_anmodede"
"10","anmodning","personer","2016","104","bosatt_anmodede"
"11","anmodning","personer","2016","195","bosatt_anmodede"
"12","anmodning","personer","2016","320","bosatt_anmodede"
"13","anmodning","personer","2016","141","bosatt_anmodede"
"14","anmodning","personer","2016","255","bosatt_anmodede"
"15","anmodning","personer","2016","115","bosatt_anmodede"
"16","anmodning","personer","2016","145","bosatt_anmodede"
"17","anmodning","personer","2016","57","bosatt_anmodede"
"18","anmodning","personer","2016","103","bosatt_anmodede"
"19","anmodning","personer","2016","100","bosatt_anmodede"
"20","anmodning","personer","2016","650","bosatt_anmodede"
"21","anmodning","personer","2016","100","bosatt_anmodede"
"22","anmodning","personer","2016","140","bosatt_anmodede"
"23","anmodning","personer","2016","82","bosatt_anmodede"
"24","anmodning","personer","2016","125","bosatt_anmodede"
"25","anmodning","personer","2016","435","bosatt_anmodede"
"26","anmodning","personer","2016","245","bosatt_anmodede"
"27","anmodning","personer","2016","435","bosatt_anmodede"
"28","anmodning","personer","2016","100","bosatt_anmodede"
"29","anmodning","personer","2016","115","bosatt_anmodede"
"30","anmodning","personer","2016","105","bosatt_anmodede"
"31","anmodning","personer","2016","70","bosatt_anmodede"
"32","anmodning","personer","2016","415","bosatt_anmodede"
"33","anmodning","personer","2016","250","bosatt_anmodede"
"34","anmodning","personer","2016","165","bosatt_anmodede"
"35","anmodning","personer","2016","535","bosatt_anmodede"
"36","anmodning","personer","2016","125","bosatt_anmodede"
"37","anmodning","personer","2016","354","bosatt_anmodede"
"38","anmodning","personer","2016","145","bosatt_anmodede"
"39","anmodning","personer","2016","922","bosatt_anmodede"
"40","anmodning","personer","2016","720","bosatt_anmodede"
"41","anmodning","personer","2016","120","bosatt_anmodede"
"42","anmodning","personer","2016","175","bosatt_anmodede"
"43","anmodning","personer","2016","60","bosatt_anmodede"
"44","anmodning","personer","2016","158","bosatt_anmodede"
"45","anmodning","personer","2016","65","bosatt_anmodede"
"46","anmodning","personer","2016","269","bosatt_anmodede"
"47","anmodning","personer","2016","225","bosatt_anmodede"
"48","anmodning","personer","2016","95","bosatt_anmodede"
"49","anmodning","personer","2016","205","bosatt_anmodede"
"50","anmodning","personer","2016","205","bosatt_anmodede"
"51","anmodning","personer","2016","180","bosatt_anmodede"
"52","anmodning","personer","2016","277","bosatt_anmodede"
"53","anmodning","personer","2016","235","bosatt_anmodede"
"54","anmodning","personer","2016","78","bosatt_anmodede"
"55","anmodning","personer","2016","206","bosatt_anmodede"
"56","anmodning","personer","2016","282","bosatt_anmodede"
"57","anmodning","personer","2016","119","bosatt_anmodede"
"58","anmodning","personer","2016","40","bosatt_anmodede"
"59","anmodning","personer","2016","44","bosatt_anmodede"
"60","anmodning","personer","2016","102","bosatt_anmodede"
