"aar","kommune_nr","enhet","tabell_navn","bosetting","tabellvariabel"
"2012","0101","promille","bosatt_befolkning","bosatt_per_1000","0.2"
"2012","0104","promille","bosatt_befolkning","bosatt_per_1000","1.1"
"2012","0105","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","0106","promille","bosatt_befolkning","bosatt_per_1000","0.6"
"2012","0111","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2012","0118","promille","bosatt_befolkning","bosatt_per_1000","0"
"2012","0119","promille","bosatt_befolkning","bosatt_per_1000","1.4"
"2012","0121","promille","bosatt_befolkning","bosatt_per_1000","0"
"2012","0122","promille","bosatt_befolkning","bosatt_per_1000","1"
"2012","0123","promille","bosatt_befolkning","bosatt_per_1000","2.1"
"2012","0124","promille","bosatt_befolkning","bosatt_per_1000","0.6"
"2012","0125","promille","bosatt_befolkning","bosatt_per_1000","0.6"
"2012","0127","promille","bosatt_befolkning","bosatt_per_1000","2.2"
"2012","0128","promille","bosatt_befolkning","bosatt_per_1000","0"
"2012","0135","promille","bosatt_befolkning","bosatt_per_1000","1.6"
"2012","0136","promille","bosatt_befolkning","bosatt_per_1000","0.3"
"2012","0137","promille","bosatt_befolkning","bosatt_per_1000","0"
"2012","0138","promille","bosatt_befolkning","bosatt_per_1000","0"
"2012","0211","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","0213","promille","bosatt_befolkning","bosatt_per_1000","1.1"
"2012","0214","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","0215","promille","bosatt_befolkning","bosatt_per_1000","0.4"
"2012","0216","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2012","0217","promille","bosatt_befolkning","bosatt_per_1000","0.3"
"2012","0219","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","0220","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","0221","promille","bosatt_befolkning","bosatt_per_1000","0.6"
"2012","0226","promille","bosatt_befolkning","bosatt_per_1000","0.6"
"2012","0227","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2012","0228","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","0229","promille","bosatt_befolkning","bosatt_per_1000","0.5"
