"fylke_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"01","bosatt","personer","229","bosatt_anmodede","2014"
"02","bosatt","personer","590","bosatt_anmodede","2014"
"03","bosatt","personer","495","bosatt_anmodede","2014"
"04","bosatt","personer","289","bosatt_anmodede","2014"
"05","bosatt","personer","377","bosatt_anmodede","2014"
"06","bosatt","personer","412","bosatt_anmodede","2014"
"07","bosatt","personer","282","bosatt_anmodede","2014"
"08","bosatt","personer","388","bosatt_anmodede","2014"
"09","bosatt","personer","276","bosatt_anmodede","2014"
"10","bosatt","personer","456","bosatt_anmodede","2014"
"11","bosatt","personer","564","bosatt_anmodede","2014"
"12","bosatt","personer","652","bosatt_anmodede","2014"
"14","bosatt","personer","229","bosatt_anmodede","2014"
"15","bosatt","personer","451","bosatt_anmodede","2014"
"16","bosatt","personer","496","bosatt_anmodede","2014"
"17","bosatt","personer","343","bosatt_anmodede","2014"
"18","bosatt","personer","598","bosatt_anmodede","2014"
"19","bosatt","personer","341","bosatt_anmodede","2014"
"20","bosatt","personer","251","bosatt_anmodede","2014"
"99","bosatt","personer","65","bosatt_anmodede","2014"
"00","bosatt","personer","7784","bosatt_anmodede","2014"
"01","anmodning","personer","435","bosatt_anmodede","2014"
"02","anmodning","personer","767","bosatt_anmodede","2014"
"03","anmodning","personer","500","bosatt_anmodede","2014"
"04","anmodning","personer","450","bosatt_anmodede","2014"
"05","anmodning","personer","497","bosatt_anmodede","2014"
"06","anmodning","personer","600","bosatt_anmodede","2014"
"07","anmodning","personer","375","bosatt_anmodede","2014"
"08","anmodning","personer","540","bosatt_anmodede","2014"
"09","anmodning","personer","380","bosatt_anmodede","2014"
"10","anmodning","personer","570","bosatt_anmodede","2014"
"11","anmodning","personer","822","bosatt_anmodede","2014"
"12","anmodning","personer","936","bosatt_anmodede","2014"
"14","anmodning","personer","406","bosatt_anmodede","2014"
"15","anmodning","personer","735","bosatt_anmodede","2014"
"16","anmodning","personer","670","bosatt_anmodede","2014"
"17","anmodning","personer","425","bosatt_anmodede","2014"
"18","anmodning","personer","915","bosatt_anmodede","2014"
