"kommune_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"0101","anmodning","personer","35","bosatt_anmodede","2014"
"0104","anmodning","personer","45","bosatt_anmodede","2014"
"0105","anmodning","personer","60","bosatt_anmodede","2014"
"0106","anmodning","personer","100","bosatt_anmodede","2014"
"0111","anmodning","personer","15","bosatt_anmodede","2014"
"0118","anmodning","personer","15","bosatt_anmodede","2014"
"0119","anmodning","personer","10","bosatt_anmodede","2014"
"0121","anmodning","personer","10","bosatt_anmodede","2014"
"0122","anmodning","personer","10","bosatt_anmodede","2014"
"0123","anmodning","personer","15","bosatt_anmodede","2014"
"0124","anmodning","personer","20","bosatt_anmodede","2014"
"0125","anmodning","personer","20","bosatt_anmodede","2014"
"0127","anmodning","personer","10","bosatt_anmodede","2014"
"0128","anmodning","personer","15","bosatt_anmodede","2014"
"0135","anmodning","personer","15","bosatt_anmodede","2014"
"0136","anmodning","personer","20","bosatt_anmodede","2014"
"0137","anmodning","personer","10","bosatt_anmodede","2014"
"0138","anmodning","personer","10","bosatt_anmodede","2014"
"0211","anmodning","personer","20","bosatt_anmodede","2014"
"0213","anmodning","personer","57","bosatt_anmodede","2014"
"0214","anmodning","personer","22","bosatt_anmodede","2014"
"0215","anmodning","personer","22","bosatt_anmodede","2014"
"0216","anmodning","personer","20","bosatt_anmodede","2014"
"0217","anmodning","personer","40","bosatt_anmodede","2014"
"0219","anmodning","personer","160","bosatt_anmodede","2014"
"0220","anmodning","personer","75","bosatt_anmodede","2014"
"0221","anmodning","personer","15","bosatt_anmodede","2014"
"0226","anmodning","personer","20","bosatt_anmodede","2014"
"0227","anmodning","personer","15","bosatt_anmodede","2014"
"0228","anmodning","personer","20","bosatt_anmodede","2014"
"0229","anmodning","personer","15","bosatt_anmodede","2014"
"0230","anmodning","personer","47","bosatt_anmodede","2014"
"0231","anmodning","personer","75","bosatt_anmodede","2014"
"0233","anmodning","personer","25","bosatt_anmodede","2014"
"0234","anmodning","personer","9","bosatt_anmodede","2014"
"0235","anmodning","personer","35","bosatt_anmodede","2014"
"0236","anmodning","personer","25","bosatt_anmodede","2014"
"0237","anmodning","personer","25","bosatt_anmodede","2014"
"0238","anmodning","personer","15","bosatt_anmodede","2014"
"0239","anmodning","personer","10","bosatt_anmodede","2014"
"0301","anmodning","personer","500","bosatt_anmodede","2014"
"0402","anmodning","personer","40","bosatt_anmodede","2014"
"0403","anmodning","personer","70","bosatt_anmodede","2014"
"0412","anmodning","personer","55","bosatt_anmodede","2014"
"0415","anmodning","personer","15","bosatt_anmodede","2014"
"0417","anmodning","personer","35","bosatt_anmodede","2014"
"0418","anmodning","personer","10","bosatt_anmodede","2014"
"0419","anmodning","personer","10","bosatt_anmodede","2014"
"0420","anmodning","personer","10","bosatt_anmodede","2014"
"0423","anmodning","personer","10","bosatt_anmodede","2014"
"0425","anmodning","personer","15","bosatt_anmodede","2014"
"0426","anmodning","personer","10","bosatt_anmodede","2014"
"0427","anmodning","personer","50","bosatt_anmodede","2014"
"0428","anmodning","personer","15","bosatt_anmodede","2014"
"0429","anmodning","personer","10","bosatt_anmodede","2014"
"0430","anmodning","personer","10","bosatt_anmodede","2014"
"0432","anmodning","personer","10","bosatt_anmodede","2014"
"0434","anmodning","personer","10","bosatt_anmodede","2014"
"0436","anmodning","personer","15","bosatt_anmodede","2014"
"0437","anmodning","personer","20","bosatt_anmodede","2014"
"0438","anmodning","personer","10","bosatt_anmodede","2014"
"0439","anmodning","personer","10","bosatt_anmodede","2014"
"0441","anmodning","personer","10","bosatt_anmodede","2014"
"0501","anmodning","personer","55","bosatt_anmodede","2014"
"0502","anmodning","personer","55","bosatt_anmodede","2014"
"0511","anmodning","personer","10","bosatt_anmodede","2014"
"0512","anmodning","personer","10","bosatt_anmodede","2014"
"0513","anmodning","personer","10","bosatt_anmodede","2014"
"0514","anmodning","personer","10","bosatt_anmodede","2014"
"0515","anmodning","personer","12","bosatt_anmodede","2014"
"0516","anmodning","personer","20","bosatt_anmodede","2014"
"0517","anmodning","personer","15","bosatt_anmodede","2014"
"0519","anmodning","personer","10","bosatt_anmodede","2014"
"0520","anmodning","personer","10","bosatt_anmodede","2014"
"0521","anmodning","personer","15","bosatt_anmodede","2014"
"0522","anmodning","personer","15","bosatt_anmodede","2014"
"0528","anmodning","personer","25","bosatt_anmodede","2014"
"0529","anmodning","personer","25","bosatt_anmodede","2014"
"0532","anmodning","personer","20","bosatt_anmodede","2014"
"0533","anmodning","personer","40","bosatt_anmodede","2014"
"0534","anmodning","personer","40","bosatt_anmodede","2014"
"0536","anmodning","personer","15","bosatt_anmodede","2014"
"0538","anmodning","personer","20","bosatt_anmodede","2014"
"0540","anmodning","personer","10","bosatt_anmodede","2014"
"0541","anmodning","personer","10","bosatt_anmodede","2014"
"0542","anmodning","personer","15","bosatt_anmodede","2014"
"0543","anmodning","personer","10","bosatt_anmodede","2014"
"0544","anmodning","personer","10","bosatt_anmodede","2014"
"0545","anmodning","personer","10","bosatt_anmodede","2014"
"0602","anmodning","personer","130","bosatt_anmodede","2014"
"0604","anmodning","personer","50","bosatt_anmodede","2014"
"0605","anmodning","personer","50","bosatt_anmodede","2014"
"0612","anmodning","personer","15","bosatt_anmodede","2014"
"0615","anmodning","personer","10","bosatt_anmodede","2014"
"0616","anmodning","personer","15","bosatt_anmodede","2014"
"0617","anmodning","personer","15","bosatt_anmodede","2014"
"0618","anmodning","personer","15","bosatt_anmodede","2014"
"0619","anmodning","personer","15","bosatt_anmodede","2014"
"0620","anmodning","personer","15","bosatt_anmodede","2014"
"0621","anmodning","personer","10","bosatt_anmodede","2014"
"0622","anmodning","personer","10","bosatt_anmodede","2014"
"0623","anmodning","personer","35","bosatt_anmodede","2014"
"0624","anmodning","personer","35","bosatt_anmodede","2014"
"0625","anmodning","personer","45","bosatt_anmodede","2014"
"0626","anmodning","personer","45","bosatt_anmodede","2014"
"0627","anmodning","personer","40","bosatt_anmodede","2014"
"0628","anmodning","personer","20","bosatt_anmodede","2014"
"0631","anmodning","personer","10","bosatt_anmodede","2014"
"0632","anmodning","personer","10","bosatt_anmodede","2014"
"0633","anmodning","personer","10","bosatt_anmodede","2014"
"0701","anmodning","personer","40","bosatt_anmodede","2014"
"0702","anmodning","personer","15","bosatt_anmodede","2014"
"0704","anmodning","personer","50","bosatt_anmodede","2014"
"0706","anmodning","personer","50","bosatt_anmodede","2014"
"0709","anmodning","personer","50","bosatt_anmodede","2014"
"0711","anmodning","personer","15","bosatt_anmodede","2014"
"0713","anmodning","personer","15","bosatt_anmodede","2014"
"0714","anmodning","personer","15","bosatt_anmodede","2014"
"0716","anmodning","personer","25","bosatt_anmodede","2014"
"0719","anmodning","personer","15","bosatt_anmodede","2014"
"0720","anmodning","personer","25","bosatt_anmodede","2014"
"0722","anmodning","personer","30","bosatt_anmodede","2014"
"0723","anmodning","personer","15","bosatt_anmodede","2014"
"0728","anmodning","personer","15","bosatt_anmodede","2014"
"0805","anmodning","personer","85","bosatt_anmodede","2014"
"0806","anmodning","personer","120","bosatt_anmodede","2014"
"0807","anmodning","personer","45","bosatt_anmodede","2014"
"0811","anmodning","personer","15","bosatt_anmodede","2014"
"0814","anmodning","personer","45","bosatt_anmodede","2014"
"0815","anmodning","personer","45","bosatt_anmodede","2014"
"0817","anmodning","personer","15","bosatt_anmodede","2014"
"0819","anmodning","personer","20","bosatt_anmodede","2014"
"0821","anmodning","personer","25","bosatt_anmodede","2014"
"0822","anmodning","personer","20","bosatt_anmodede","2014"
"0826","anmodning","personer","25","bosatt_anmodede","2014"
"0827","anmodning","personer","10","bosatt_anmodede","2014"
"0828","anmodning","personer","15","bosatt_anmodede","2014"
"0829","anmodning","personer","10","bosatt_anmodede","2014"
"0830","anmodning","personer","10","bosatt_anmodede","2014"
"0831","anmodning","personer","10","bosatt_anmodede","2014"
"0833","anmodning","personer","10","bosatt_anmodede","2014"
"0834","anmodning","personer","15","bosatt_anmodede","2014"
"0901","anmodning","personer","30","bosatt_anmodede","2014"
"0904","anmodning","personer","55","bosatt_anmodede","2014"
"0906","anmodning","personer","95","bosatt_anmodede","2014"
"0911","anmodning","personer","15","bosatt_anmodede","2014"
"0912","anmodning","personer","15","bosatt_anmodede","2014"
"0914","anmodning","personer","25","bosatt_anmodede","2014"
