"kommune_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"0101","bosatt","2015","personer",".","bosetting_anmodede"
"0104","bosatt","2015","personer",".","bosetting_anmodede"
"0105","bosatt","2015","personer",".","bosetting_anmodede"
"0106","bosatt","2015","personer",".","bosetting_anmodede"
"0111","bosatt","2015","personer",".","bosetting_anmodede"
"0118","bosatt","2015","personer",".","bosetting_anmodede"
"0119","bosatt","2015","personer",".","bosetting_anmodede"
"0121","bosatt","2015","personer",".","bosetting_anmodede"
"0122","bosatt","2015","personer",".","bosetting_anmodede"
"0123","bosatt","2015","personer",".","bosetting_anmodede"
"0124","bosatt","2015","personer",".","bosetting_anmodede"
"0125","bosatt","2015","personer",".","bosetting_anmodede"
"0127","bosatt","2015","personer",".","bosetting_anmodede"
"0128","bosatt","2015","personer",".","bosetting_anmodede"
"0135","bosatt","2015","personer",".","bosetting_anmodede"
"0136","bosatt","2015","personer",".","bosetting_anmodede"
"0137","bosatt","2015","personer",".","bosetting_anmodede"
"0138","bosatt","2015","personer",".","bosetting_anmodede"
"0211","bosatt","2015","personer",".","bosetting_anmodede"
"0213","bosatt","2015","personer",".","bosetting_anmodede"
"0214","bosatt","2015","personer",".","bosetting_anmodede"
"0215","bosatt","2015","personer",".","bosetting_anmodede"
"0216","bosatt","2015","personer",".","bosetting_anmodede"
"0217","bosatt","2015","personer",".","bosetting_anmodede"
"0219","bosatt","2015","personer",".","bosetting_anmodede"
"0220","bosatt","2015","personer",".","bosetting_anmodede"
"0221","bosatt","2015","personer",".","bosetting_anmodede"
"0226","bosatt","2015","personer",".","bosetting_anmodede"
"0227","bosatt","2015","personer",".","bosetting_anmodede"
"0228","bosatt","2015","personer",".","bosetting_anmodede"
"0229","bosatt","2015","personer",".","bosetting_anmodede"
"0230","bosatt","2015","personer",".","bosetting_anmodede"
"0231","bosatt","2015","personer",".","bosetting_anmodede"
"0233","bosatt","2015","personer",".","bosetting_anmodede"
"0234","bosatt","2015","personer",".","bosetting_anmodede"
"0235","bosatt","2015","personer",".","bosetting_anmodede"
"0236","bosatt","2015","personer",".","bosetting_anmodede"
"0237","bosatt","2015","personer",".","bosetting_anmodede"
"0238","bosatt","2015","personer",".","bosetting_anmodede"
"0239","bosatt","2015","personer",".","bosetting_anmodede"
"0301","bosatt","2015","personer",".","bosetting_anmodede"
"0402","bosatt","2015","personer",".","bosetting_anmodede"
"0403","bosatt","2015","personer",".","bosetting_anmodede"
"0412","bosatt","2015","personer",".","bosetting_anmodede"
"0415","bosatt","2015","personer",".","bosetting_anmodede"
"0417","bosatt","2015","personer",".","bosetting_anmodede"
"0418","bosatt","2015","personer",".","bosetting_anmodede"
"0419","bosatt","2015","personer",".","bosetting_anmodede"
"0420","bosatt","2015","personer",".","bosetting_anmodede"
"0423","bosatt","2015","personer",".","bosetting_anmodede"
"0425","bosatt","2015","personer",".","bosetting_anmodede"
"0426","bosatt","2015","personer",".","bosetting_anmodede"
"0427","bosatt","2015","personer",".","bosetting_anmodede"
"0428","bosatt","2015","personer",".","bosetting_anmodede"
