"kommune_nr","bosetting","aar","enhet","tabellvariabel"
"0101","bosatt","2015","personer","."
"0104","bosatt","2015","personer","."
"0105","bosatt","2015","personer","."
"0106","bosatt","2015","personer","."
"0111","bosatt","2015","personer","."
"0118","bosatt","2015","personer","."
"0119","bosatt","2015","personer","."
"0121","bosatt","2015","personer","."
"0122","bosatt","2015","personer","."
"0123","bosatt","2015","personer","."
"0124","bosatt","2015","personer","."
"0125","bosatt","2015","personer","."
"0127","bosatt","2015","personer","."
"0128","bosatt","2015","personer","."
"0135","bosatt","2015","personer","."
"0136","bosatt","2015","personer","."
"0137","bosatt","2015","personer","."
"0138","bosatt","2015","personer","."
"0211","bosatt","2015","personer","."
"0213","bosatt","2015","personer","."
"0214","bosatt","2015","personer","."
"0215","bosatt","2015","personer","."
"0216","bosatt","2015","personer","."
"0217","bosatt","2015","personer","."
"0219","bosatt","2015","personer","."
"0220","bosatt","2015","personer","."
"0221","bosatt","2015","personer","."
"0226","bosatt","2015","personer","."
"0227","bosatt","2015","personer","."
"0228","bosatt","2015","personer","."
"0229","bosatt","2015","personer","."
"0230","bosatt","2015","personer","."
"0231","bosatt","2015","personer","."
"0233","bosatt","2015","personer","."
"0234","bosatt","2015","personer","."
"0235","bosatt","2015","personer","."
"0236","bosatt","2015","personer","."
"0237","bosatt","2015","personer","."
"0238","bosatt","2015","personer","."
"0239","bosatt","2015","personer","."
"0301","bosatt","2015","personer","."
"0402","bosatt","2015","personer","."
"0403","bosatt","2015","personer","."
"0412","bosatt","2015","personer","."
"0415","bosatt","2015","personer","."
"0417","bosatt","2015","personer","."
"0418","bosatt","2015","personer","."
"0419","bosatt","2015","personer","."
"0420","bosatt","2015","personer","."
"0423","bosatt","2015","personer","."
"0425","bosatt","2015","personer","."
"0426","bosatt","2015","personer","."
"0427","bosatt","2015","personer","."
"0428","bosatt","2015","personer","."
"0429","bosatt","2015","personer","."
"0430","bosatt","2015","personer","."
"0432","bosatt","2015","personer","."
"0434","bosatt","2015","personer","."
"0436","bosatt","2015","personer","."
"0437","bosatt","2015","personer","."
"0438","bosatt","2015","personer","."
"0439","bosatt","2015","personer","."
"0441","bosatt","2015","personer","."
"0501","bosatt","2015","personer","."
"0502","bosatt","2015","personer","."
"0511","bosatt","2015","personer","."
"0512","bosatt","2015","personer","."
"0513","bosatt","2015","personer","."
"0514","bosatt","2015","personer","."
"0515","bosatt","2015","personer","."
"0516","bosatt","2015","personer","."
"0517","bosatt","2015","personer","."
"0519","bosatt","2015","personer","."
"0520","bosatt","2015","personer","."
"0521","bosatt","2015","personer","."
"0522","bosatt","2015","personer","."
"0528","bosatt","2015","personer","."
"0529","bosatt","2015","personer","."
"0532","bosatt","2015","personer","."
"0533","bosatt","2015","personer","."
"0534","bosatt","2015","personer","."
"0536","bosatt","2015","personer","."
"0538","bosatt","2015","personer","."
"0540","bosatt","2015","personer","."
"0541","bosatt","2015","personer","."
"0542","bosatt","2015","personer","."
"0543","bosatt","2015","personer","."
"0544","bosatt","2015","personer","."
"0545","bosatt","2015","personer","."
"0602","bosatt","2015","personer","."
"0604","bosatt","2015","personer","."
"0605","bosatt","2015","personer","."
"0612","bosatt","2015","personer","."
"0615","bosatt","2015","personer","."
"0616","bosatt","2015","personer","."
"0617","bosatt","2015","personer","."
"0618","bosatt","2015","personer","."
"0619","bosatt","2015","personer","."
"0620","bosatt","2015","personer","."
"0621","bosatt","2015","personer","."
"0622","bosatt","2015","personer","."
"0623","bosatt","2015","personer","."
"0624","bosatt","2015","personer","."
"0625","bosatt","2015","personer","."
"0626","bosatt","2015","personer","."
"0627","bosatt","2015","personer","."
"0628","bosatt","2015","personer","."
"0631","bosatt","2015","personer","."
"0632","bosatt","2015","personer","."
"0633","bosatt","2015","personer","."
"0701","bosatt","2015","personer","."
"0702","bosatt","2015","personer","."
"0704","bosatt","2015","personer","."
"0706","bosatt","2015","personer","."
"0709","bosatt","2015","personer","."
"0711","bosatt","2015","personer","."
"0713","bosatt","2015","personer","."
"0714","bosatt","2015","personer","."
"0716","bosatt","2015","personer","."
"0719","bosatt","2015","personer","."
"0720","bosatt","2015","personer","."
"0722","bosatt","2015","personer","."
"0723","bosatt","2015","personer","."
"0728","bosatt","2015","personer","."
"0805","bosatt","2015","personer","."
"0806","bosatt","2015","personer","."
"0807","bosatt","2015","personer","."
"0811","bosatt","2015","personer","."
"0814","bosatt","2015","personer","."
"0815","bosatt","2015","personer","."
"0817","bosatt","2015","personer","."
"0819","bosatt","2015","personer","."
"0821","bosatt","2015","personer","."
"0822","bosatt","2015","personer","."
"0826","bosatt","2015","personer","."
"0827","bosatt","2015","personer","."
"0828","bosatt","2015","personer","."
"0829","bosatt","2015","personer","."
"0830","bosatt","2015","personer","."
"0831","bosatt","2015","personer","."
"0833","bosatt","2015","personer","."
"0834","bosatt","2015","personer","."
"0901","bosatt","2015","personer","."
"0904","bosatt","2015","personer","."
"0906","bosatt","2015","personer","."
"0911","bosatt","2015","personer","."
"0912","bosatt","2015","personer","."
"0914","bosatt","2015","personer","."
"0919","bosatt","2015","personer","."
"0926","bosatt","2015","personer","."
"0928","bosatt","2015","personer","."
"0929","bosatt","2015","personer","."
"0935","bosatt","2015","personer","."
"0937","bosatt","2015","personer","."
"0938","bosatt","2015","personer","."
"0940","bosatt","2015","personer","."
"0941","bosatt","2015","personer","."
"1001","bosatt","2015","personer","."
"1002","bosatt","2015","personer","."
"1003","bosatt","2015","personer","."
"1004","bosatt","2015","personer","."
"1014","bosatt","2015","personer","."
"1017","bosatt","2015","personer","."
"1018","bosatt","2015","personer","."
"1021","bosatt","2015","personer","."
"1026","bosatt","2015","personer","."
"1027","bosatt","2015","personer","."
"1029","bosatt","2015","personer","."
"1032","bosatt","2015","personer","."
"1034","bosatt","2015","personer","."
"1037","bosatt","2015","personer","."
"1046","bosatt","2015","personer","."
"1101","bosatt","2015","personer","."
"1102","bosatt","2015","personer","."
"1103","bosatt","2015","personer","."
"1106","bosatt","2015","personer","."
"1111","bosatt","2015","personer","."
"1112","bosatt","2015","personer","."
"1114","bosatt","2015","personer","."
"1119","bosatt","2015","personer","."
"1120","bosatt","2015","personer","."
"1121","bosatt","2015","personer","."
"1122","bosatt","2015","personer","."
"1124","bosatt","2015","personer","."
"1127","bosatt","2015","personer","."
"1129","bosatt","2015","personer","."
"1130","bosatt","2015","personer","."
"1133","bosatt","2015","personer","."
"1134","bosatt","2015","personer","."
"1135","bosatt","2015","personer","."
"1141","bosatt","2015","personer","."
"1142","bosatt","2015","personer","."
"1144","bosatt","2015","personer","."
"1145","bosatt","2015","personer","."
"1146","bosatt","2015","personer","."
"1149","bosatt","2015","personer","."
"1151","bosatt","2015","personer","."
"1160","bosatt","2015","personer","."
"1201","bosatt","2015","personer","."
"1211","bosatt","2015","personer","."
"1216","bosatt","2015","personer","."
"1219","bosatt","2015","personer","."
"1221","bosatt","2015","personer","."
"1222","bosatt","2015","personer","."
"1223","bosatt","2015","personer","."
"1224","bosatt","2015","personer","."
"1227","bosatt","2015","personer","."
"1228","bosatt","2015","personer","."
"1231","bosatt","2015","personer","."
"1232","bosatt","2015","personer","."
"1233","bosatt","2015","personer","."
"1234","bosatt","2015","personer","."
"1235","bosatt","2015","personer","."
"1238","bosatt","2015","personer","."
"1241","bosatt","2015","personer","."
"1242","bosatt","2015","personer","."
"1243","bosatt","2015","personer","."
"1244","bosatt","2015","personer","."
"1245","bosatt","2015","personer","."
"1246","bosatt","2015","personer","."
"1247","bosatt","2015","personer","."
"1251","bosatt","2015","personer","."
"1252","bosatt","2015","personer","."
"1253","bosatt","2015","personer","."
"1256","bosatt","2015","personer","."
