"kommune_nr","bosetting","enhet","maaned","tabellvariabel","tabell_navn","aar"
"0101","bosatt","personer","alle","42","bosetting_maaned",2012
"0104","bosatt","personer","alle","211","bosetting_maaned",2012
"0105","bosatt","personer","alle","269","bosetting_maaned",2012
"0106","bosatt","personer","alle","374","bosetting_maaned",2012
"0111","bosatt","personer","alle","32","bosetting_maaned",2012
"0118","bosatt","personer","alle","0","bosetting_maaned",2012
"0119","bosatt","personer","alle","27","bosetting_maaned",2012
"0121","bosatt","personer","alle","0","bosetting_maaned",2012
"0122","bosatt","personer","alle","21","bosetting_maaned",2012
"0123","bosatt","personer","alle","67","bosetting_maaned",2012
"0124","bosatt","personer","alle","50","bosetting_maaned",2012
"0125","bosatt","personer","alle","37","bosetting_maaned",2012
"0127","bosatt","personer","alle","48","bosetting_maaned",2012
"0128","bosatt","personer","alle","0","bosetting_maaned",2012
"0135","bosatt","personer","alle","67","bosetting_maaned",2012
"0136","bosatt","personer","alle","22","bosetting_maaned",2012
"0137","bosatt","personer","alle","0","bosetting_maaned",2012
"0138","bosatt","personer","alle","0","bosetting_maaned",2012
"0211","bosatt","personer","alle","70","bosetting_maaned",2012
"0213","bosatt","personer","alle","120","bosetting_maaned",2012
"0214","bosatt","personer","alle","56","bosetting_maaned",2012
"0215","bosatt","personer","alle","33","bosetting_maaned",2012
"0216","bosatt","personer","alle","74","bosetting_maaned",2012
"0217","bosatt","personer","alle","46","bosetting_maaned",2012
"0219","bosatt","personer","alle","638","bosetting_maaned",2012
"0220","bosatt","personer","alle","268","bosetting_maaned",2012
"0221","bosatt","personer","alle","70","bosetting_maaned",2012
"0226","bosatt","personer","alle","54","bosetting_maaned",2012
"0227","bosatt","personer","alle","62","bosetting_maaned",2012
"0228","bosatt","personer","alle","75","bosetting_maaned",2012
"0229","bosatt","personer","alle","25","bosetting_maaned",2012
"0230","bosatt","personer","alle","169","bosetting_maaned",2012
"0231","bosatt","personer","alle","352","bosetting_maaned",2012
"0233","bosatt","personer","alle","67","bosetting_maaned",2012
"0234","bosatt","personer","alle","15","bosetting_maaned",2012
"0235","bosatt","personer","alle","42","bosetting_maaned",2012
"0236","bosatt","personer","alle","96","bosetting_maaned",2012
"0237","bosatt","personer","alle","77","bosetting_maaned",2012
"0238","bosatt","personer","alle","47","bosetting_maaned",2012
"0239","bosatt","personer","alle","0","bosetting_maaned",2012
"0301","bosatt","personer","alle","3357","bosetting_maaned",2012
"0402","bosatt","personer","alle","53","bosetting_maaned",2012
"0403","bosatt","personer","alle","237","bosetting_maaned",2012
"0412","bosatt","personer","alle","33","bosetting_maaned",2012
"0415","bosatt","personer","alle","42","bosetting_maaned",2012
"0417","bosatt","personer","alle","177","bosetting_maaned",2012
"0418","bosatt","personer","alle","6","bosetting_maaned",2012
"0419","bosatt","personer","alle","40","bosetting_maaned",2012
"0420","bosatt","personer","alle","6","bosetting_maaned",2012
"0423","bosatt","personer","alle","21","bosetting_maaned",2012
"0425","bosatt","personer","alle","100","bosetting_maaned",2012
"0426","bosatt","personer","alle","0","bosetting_maaned",2012
"0427","bosatt","personer","alle","158","bosetting_maaned",2012
"0428","bosatt","personer","alle","60","bosetting_maaned",2012
"0429","bosatt","personer","alle","0","bosetting_maaned",2012
"0430","bosatt","personer","alle","21","bosetting_maaned",2012
"0432","bosatt","personer","alle","0","bosetting_maaned",2012
"0434","bosatt","personer","alle","29","bosetting_maaned",2012
"0436","bosatt","personer","alle","48","bosetting_maaned",2012
"0437","bosatt","personer","alle","98","bosetting_maaned",2012
"0438","bosatt","personer","alle","34","bosetting_maaned",2012
"0439","bosatt","personer","alle","0","bosetting_maaned",2012
"0441","bosatt","personer","alle","7","bosetting_maaned",2012
"0501","bosatt","personer","alle","332","bosetting_maaned",2012
"0502","bosatt","personer","alle","227","bosetting_maaned",2012
"0511","bosatt","personer","alle","38","bosetting_maaned",2012
"0512","bosatt","personer","alle","0","bosetting_maaned",2012
"0513","bosatt","personer","alle","15","bosetting_maaned",2012
"0514","bosatt","personer","alle","0","bosetting_maaned",2012
"0515","bosatt","personer","alle","59","bosetting_maaned",2012
"0516","bosatt","personer","alle","64","bosetting_maaned",2012
"0517","bosatt","personer","alle","37","bosetting_maaned",2012
"0519","bosatt","personer","alle","4","bosetting_maaned",2012
"0520","bosatt","personer","alle","45","bosetting_maaned",2012
"0521","bosatt","personer","alle","81","bosetting_maaned",2012
"0522","bosatt","personer","alle","32","bosetting_maaned",2012
"0528","bosatt","personer","alle","73","bosetting_maaned",2012
"0529","bosatt","personer","alle","96","bosetting_maaned",2012
"0532","bosatt","personer","alle","33","bosetting_maaned",2012
"0533","bosatt","personer","alle","163","bosetting_maaned",2012
"0534","bosatt","personer","alle","155","bosetting_maaned",2012
"0536","bosatt","personer","alle","52","bosetting_maaned",2012
