"tabell_navn","aar","fylke_nr","forste_bosettingskommune","enhet","botid_3","tabellvariabel"
"flyktning_botid_flytting","2015","00","alle","personer","0_4","43198"
"flyktning_botid_flytting","2015","00","alle","prosent","0_4","23.0"
"flyktning_botid_flytting","2015","00","ja","personer","0_4","31414"
"flyktning_botid_flytting","2015","00","ja","prosent","0_4","16.7"
"flyktning_botid_flytting","2015","00","nei","personer","0_4","4152"
"flyktning_botid_flytting","2015","00","nei","prosent","0_4","2.2"
"flyktning_botid_flytting","2015","00","uoppgitt","personer","0_4","7632"
"flyktning_botid_flytting","2015","00","uoppgitt","prosent","0_4","4.1"
"flyktning_botid_flytting","2015","01","alle","personer","0_4","1655"
"flyktning_botid_flytting","2015","01","alle","prosent","0_4","12.3"
"flyktning_botid_flytting","2015","01","ja","personer","0_4","983"
"flyktning_botid_flytting","2015","01","ja","prosent","0_4","7.3"
"flyktning_botid_flytting","2015","01","nei","personer","0_4","263"
"flyktning_botid_flytting","2015","01","nei","prosent","0_4","1.9"
"flyktning_botid_flytting","2015","01","uoppgitt","personer","0_4","409"
"flyktning_botid_flytting","2015","01","uoppgitt","prosent","0_4","3.0"
"flyktning_botid_flytting","2015","02","alle","personer","0_4","3281"
"flyktning_botid_flytting","2015","02","alle","prosent","0_4","14.7"
"flyktning_botid_flytting","2015","02","ja","personer","0_4","2361"
"flyktning_botid_flytting","2015","02","ja","prosent","0_4","10.6"
"flyktning_botid_flytting","2015","02","nei","personer","0_4","326"
"flyktning_botid_flytting","2015","02","nei","prosent","0_4","1.5"
"flyktning_botid_flytting","2015","02","uoppgitt","personer","0_4","594"
"flyktning_botid_flytting","2015","02","uoppgitt","prosent","0_4","2.7"
"flyktning_botid_flytting","2015","03","alle","personer","0_4","4123"
"flyktning_botid_flytting","2015","03","alle","prosent","0_4","9.0"
"flyktning_botid_flytting","2015","03","ja","personer","0_4","2332"
"flyktning_botid_flytting","2015","03","ja","prosent","0_4","5.1"
"flyktning_botid_flytting","2015","03","nei","personer","0_4","655"
"flyktning_botid_flytting","2015","03","nei","prosent","0_4","1.4"
"flyktning_botid_flytting","2015","03","uoppgitt","personer","0_4","1136"
"flyktning_botid_flytting","2015","03","uoppgitt","prosent","0_4","2.5"
"flyktning_botid_flytting","2015","04","alle","personer","0_4","1892"
"flyktning_botid_flytting","2015","04","alle","prosent","0_4","35.3"
