"tabell_navn","aar","kommune_nr","forste_bosettingskommune","enhet","botid_3","tabellvariabel"
"flyktning_botid_flytting","2015","0101","alle","personer","0_4","100"
"flyktning_botid_flytting","2015","0101","alle","prosent","0_4","8.7"
"flyktning_botid_flytting","2015","0101","ja","personer","0_4","47"
"flyktning_botid_flytting","2015","0101","ja","prosent","0_4","4.1"
"flyktning_botid_flytting","2015","0101","nei","personer","0_4","24"
"flyktning_botid_flytting","2015","0101","nei","prosent","0_4","2.1"
"flyktning_botid_flytting","2015","0101","uoppgitt","personer","0_4","29"
"flyktning_botid_flytting","2015","0101","uoppgitt","prosent","0_4","2.5"
"flyktning_botid_flytting","2015","0104","alle","personer","0_4","267"
"flyktning_botid_flytting","2015","0104","alle","prosent","0_4","15.6"
"flyktning_botid_flytting","2015","0104","ja","personer","0_4","159"
"flyktning_botid_flytting","2015","0104","ja","prosent","0_4","9.3"
"flyktning_botid_flytting","2015","0104","nei","personer","0_4","44"
"flyktning_botid_flytting","2015","0104","nei","prosent","0_4","2.6"
"flyktning_botid_flytting","2015","0104","uoppgitt","personer","0_4","64"
"flyktning_botid_flytting","2015","0104","uoppgitt","prosent","0_4","3.7"
"flyktning_botid_flytting","2015","0105","alle","personer","0_4","363"
"flyktning_botid_flytting","2015","0105","alle","prosent","0_4","11.0"
"flyktning_botid_flytting","2015","0105","ja","personer","0_4","235"
"flyktning_botid_flytting","2015","0105","ja","prosent","0_4","7.1"
"flyktning_botid_flytting","2015","0105","nei","personer","0_4","50"
"flyktning_botid_flytting","2015","0105","nei","prosent","0_4","1.5"
"flyktning_botid_flytting","2015","0105","uoppgitt","personer","0_4","78"
"flyktning_botid_flytting","2015","0105","uoppgitt","prosent","0_4","2.4"
"flyktning_botid_flytting","2015","0106","alle","personer","0_4","467"
"flyktning_botid_flytting","2015","0106","alle","prosent","0_4","10.6"
"flyktning_botid_flytting","2015","0106","ja","personer","0_4","261"
"flyktning_botid_flytting","2015","0106","ja","prosent","0_4","5.9"
"flyktning_botid_flytting","2015","0106","nei","personer","0_4","69"
"flyktning_botid_flytting","2015","0106","nei","prosent","0_4","1.6"
"flyktning_botid_flytting","2015","0106","uoppgitt","personer","0_4","137"
"flyktning_botid_flytting","2015","0106","uoppgitt","prosent","0_4","3.1"
