"tabell_navn","aar","naringsregion_nr","forste_bosettingskommune","enhet","botid_3","tabellvariabel"
"flyktning_botid_flytting","2015","01","alle","personer","0_4","100"
"flyktning_botid_flytting","2015","01","alle","prosent","0_4","8.7"
"flyktning_botid_flytting","2015","01","ja","personer","0_4","47"
"flyktning_botid_flytting","2015","01","ja","prosent","0_4","4.1"
"flyktning_botid_flytting","2015","01","nei","personer","0_4","24"
"flyktning_botid_flytting","2015","01","nei","prosent","0_4","2.1"
"flyktning_botid_flytting","2015","01","uoppgitt","personer","0_4","29"
"flyktning_botid_flytting","2015","01","uoppgitt","prosent","0_4","2.5"
"flyktning_botid_flytting","2015","02","alle","personer","0_4","349"
"flyktning_botid_flytting","2015","02","alle","prosent","0_4","15.3"
"flyktning_botid_flytting","2015","02","ja","personer","0_4","185"
"flyktning_botid_flytting","2015","02","ja","prosent","0_4","8.1"
"flyktning_botid_flytting","2015","02","nei","personer","0_4","73"
"flyktning_botid_flytting","2015","02","nei","prosent","0_4","3.2"
"flyktning_botid_flytting","2015","02","uoppgitt","personer","0_4","91"
"flyktning_botid_flytting","2015","02","uoppgitt","prosent","0_4","4.0"
"flyktning_botid_flytting","2015","03","alle","personer","0_4","345"
"flyktning_botid_flytting","2015","03","alle","prosent","0_4","15.0"
"flyktning_botid_flytting","2015","03","ja","personer","0_4","224"
"flyktning_botid_flytting","2015","03","ja","prosent","0_4","9.8"
"flyktning_botid_flytting","2015","03","nei","personer","0_4","47"
"flyktning_botid_flytting","2015","03","nei","prosent","0_4","2.0"
"flyktning_botid_flytting","2015","03","uoppgitt","personer","0_4","74"
"flyktning_botid_flytting","2015","03","uoppgitt","prosent","0_4","3.2"
"flyktning_botid_flytting","2015","04","alle","personer","0_4","861"
"flyktning_botid_flytting","2015","04","alle","prosent","0_4","11.1"
"flyktning_botid_flytting","2015","04","ja","personer","0_4","527"
"flyktning_botid_flytting","2015","04","ja","prosent","0_4","6.8"
"flyktning_botid_flytting","2015","04","nei","personer","0_4","119"
"flyktning_botid_flytting","2015","04","nei","prosent","0_4","1.5"
"flyktning_botid_flytting","2015","04","uoppgitt","personer","0_4","215"
"flyktning_botid_flytting","2015","04","uoppgitt","prosent","0_4","2.8"
"flyktning_botid_flytting","2015","05","alle","personer","0_4","1040"
"flyktning_botid_flytting","2015","05","alle","prosent","0_4","15.5"
