"bydel_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"030101","alle","alle","kroner","2014","316300","gjennomsnittsinntekt"
"030102","alle","alle","kroner","2014","327900","gjennomsnittsinntekt"
"030103","alle","alle","kroner","2014","351700","gjennomsnittsinntekt"
"030104","alle","alle","kroner","2014","345500","gjennomsnittsinntekt"
"030105","alle","alle","kroner","2014","379200","gjennomsnittsinntekt"
"030106","alle","alle","kroner","2014","462000","gjennomsnittsinntekt"
"030107","alle","alle","kroner","2014","463500","gjennomsnittsinntekt"
"030108","alle","alle","kroner","2014","424100","gjennomsnittsinntekt"
"030109","alle","alle","kroner","2014","324300","gjennomsnittsinntekt"
"030110","alle","alle","kroner","2014","298800","gjennomsnittsinntekt"
"030111","alle","alle","kroner","2014","300600","gjennomsnittsinntekt"
"030112","alle","alle","kroner","2014","304300","gjennomsnittsinntekt"
"030113","alle","alle","kroner","2014","358400","gjennomsnittsinntekt"
"030114","alle","alle","kroner","2014","410500","gjennomsnittsinntekt"
"030115","alle","alle","kroner","2014","307400","gjennomsnittsinntekt"
"030116","alle","alle","kroner","2014","262700","gjennomsnittsinntekt"
"030117","alle","alle","kroner","2014","393700","gjennomsnittsinntekt"
"030199","alle","alle","kroner","2014","199500","gjennomsnittsinntekt"
"030101","innvandrere","1","kroner","2014","280800","gjennomsnittsinntekt"
"030102","innvandrere","1","kroner","2014","274400","gjennomsnittsinntekt"
"030103","innvandrere","1","kroner","2014","297600","gjennomsnittsinntekt"
"030104","innvandrere","1","kroner","2014","290600","gjennomsnittsinntekt"
"030105","innvandrere","1","kroner","2014","330600","gjennomsnittsinntekt"
"030106","innvandrere","1","kroner","2014","367400","gjennomsnittsinntekt"
"030107","innvandrere","1","kroner","2014","337900","gjennomsnittsinntekt"
"030108","innvandrere","1","kroner","2014","298500","gjennomsnittsinntekt"
"030109","innvandrere","1","kroner","2014","267600","gjennomsnittsinntekt"
"030110","innvandrere","1","kroner","2014","268000","gjennomsnittsinntekt"
"030111","innvandrere","1","kroner","2014","267900","gjennomsnittsinntekt"
"030112","innvandrere","1","kroner","2014","278000","gjennomsnittsinntekt"
"030113","innvandrere","1","kroner","2014","301300","gjennomsnittsinntekt"
"030114","innvandrere","1","kroner","2014","312500","gjennomsnittsinntekt"
"030115","innvandrere","1","kroner","2014","276800","gjennomsnittsinntekt"
"030116","innvandrere","1","kroner","2014","275000","gjennomsnittsinntekt"
"030117","innvandrere","1","kroner","2014","253500","gjennomsnittsinntekt"
"030199","innvandrere","1","kroner","2014","190800","gjennomsnittsinntekt"
"030101","innvandrere","2","kroner","2014","224500","gjennomsnittsinntekt"
"030102","innvandrere","2","kroner","2014","233700","gjennomsnittsinntekt"
"030103","innvandrere","2","kroner","2014","230200","gjennomsnittsinntekt"
"030104","innvandrere","2","kroner","2014","230300","gjennomsnittsinntekt"
"030105","innvandrere","2","kroner","2014","265100","gjennomsnittsinntekt"
"030106","innvandrere","2","kroner","2014","294200","gjennomsnittsinntekt"
"030107","innvandrere","2","kroner","2014","234000","gjennomsnittsinntekt"
"030108","innvandrere","2","kroner","2014","220100","gjennomsnittsinntekt"
"030109","innvandrere","2","kroner","2014","246800","gjennomsnittsinntekt"
"030110","innvandrere","2","kroner","2014","256000","gjennomsnittsinntekt"
"030111","innvandrere","2","kroner","2014","248300","gjennomsnittsinntekt"
"030112","innvandrere","2","kroner","2014","259200","gjennomsnittsinntekt"
"030113","innvandrere","2","kroner","2014","264600","gjennomsnittsinntekt"
"030114","innvandrere","2","kroner","2014","253300","gjennomsnittsinntekt"
"030115","innvandrere","2","kroner","2014","250600","gjennomsnittsinntekt"
"030116","innvandrere","2","kroner","2014","225900","gjennomsnittsinntekt"
"030117","innvandrere","2","kroner","2014","312100","gjennomsnittsinntekt"
"030199","innvandrere","2","kroner","2014","183500","gjennomsnittsinntekt"
"030101","befolkningen_ellers","alle","kroner","2014","348100","gjennomsnittsinntekt"
"030102","befolkningen_ellers","alle","kroner","2014","359400","gjennomsnittsinntekt"
"030103","befolkningen_ellers","alle","kroner","2014","371300","gjennomsnittsinntekt"
"030104","befolkningen_ellers","alle","kroner","2014","372200","gjennomsnittsinntekt"
"030105","befolkningen_ellers","alle","kroner","2014","406500","gjennomsnittsinntekt"
"030106","befolkningen_ellers","alle","kroner","2014","482600","gjennomsnittsinntekt"
"030107","befolkningen_ellers","alle","kroner","2014","488200","gjennomsnittsinntekt"
"030108","befolkningen_ellers","alle","kroner","2014","446900","gjennomsnittsinntekt"
"030109","befolkningen_ellers","alle","kroner","2014","356600","gjennomsnittsinntekt"
"030110","befolkningen_ellers","alle","kroner","2014","321000","gjennomsnittsinntekt"
"030111","befolkningen_ellers","alle","kroner","2014","328200","gjennomsnittsinntekt"
"030112","befolkningen_ellers","alle","kroner","2014","326200","gjennomsnittsinntekt"
"030113","befolkningen_ellers","alle","kroner","2014","373700","gjennomsnittsinntekt"
"030114","befolkningen_ellers","alle","kroner","2014","427000","gjennomsnittsinntekt"
"030115","befolkningen_ellers","alle","kroner","2014","336000","gjennomsnittsinntekt"
"030116","befolkningen_ellers","alle","kroner","2014","292400","gjennomsnittsinntekt"
"030117","befolkningen_ellers","alle","kroner","2014","403700","gjennomsnittsinntekt"
"030199","befolkningen_ellers","alle","kroner","2014","204900","gjennomsnittsinntekt"
