"fylke_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"00","alle","alle","kroner","2014","348800","gjennomsnittsinntekt"
"01","alle","alle","kroner","2014","327900","gjennomsnittsinntekt"
"02","alle","alle","kroner","2014","379600","gjennomsnittsinntekt"
"03","alle","alle","kroner","2014","353400","gjennomsnittsinntekt"
"04","alle","alle","kroner","2014","324200","gjennomsnittsinntekt"
"05","alle","alle","kroner","2014","328400","gjennomsnittsinntekt"
"06","alle","alle","kroner","2014","345600","gjennomsnittsinntekt"
"07","alle","alle","kroner","2014","338300","gjennomsnittsinntekt"
"08","alle","alle","kroner","2014","330800","gjennomsnittsinntekt"
"09","alle","alle","kroner","2014","331200","gjennomsnittsinntekt"
"10","alle","alle","kroner","2014","335700","gjennomsnittsinntekt"
"11","alle","alle","kroner","2014","374200","gjennomsnittsinntekt"
"12","alle","alle","kroner","2014","357100","gjennomsnittsinntekt"
"14","alle","alle","kroner","2014","344800","gjennomsnittsinntekt"
"15","alle","alle","kroner","2014","349000","gjennomsnittsinntekt"
"16","alle","alle","kroner","2014","347100","gjennomsnittsinntekt"
"17","alle","alle","kroner","2014","330300","gjennomsnittsinntekt"
"18","alle","alle","kroner","2014","338400","gjennomsnittsinntekt"
"19","alle","alle","kroner","2014","347500","gjennomsnittsinntekt"
"20","alle","alle","kroner","2014","350900","gjennomsnittsinntekt"
"00","innvandrere","1","kroner","2014","289700","gjennomsnittsinntekt"
"01","innvandrere","1","kroner","2014","278900","gjennomsnittsinntekt"
"02","innvandrere","1","kroner","2014","309700","gjennomsnittsinntekt"
"03","innvandrere","1","kroner","2014","294800","gjennomsnittsinntekt"
"04","innvandrere","1","kroner","2014","263000","gjennomsnittsinntekt"
"05","innvandrere","1","kroner","2014","261500","gjennomsnittsinntekt"
"06","innvandrere","1","kroner","2014","279600","gjennomsnittsinntekt"
"07","innvandrere","1","kroner","2014","275000","gjennomsnittsinntekt"
"08","innvandrere","1","kroner","2014","266300","gjennomsnittsinntekt"
"09","innvandrere","1","kroner","2014","273100","gjennomsnittsinntekt"
"10","innvandrere","1","kroner","2014","286400","gjennomsnittsinntekt"
"11","innvandrere","1","kroner","2014","316600","gjennomsnittsinntekt"
"12","innvandrere","1","kroner","2014","288900","gjennomsnittsinntekt"
"14","innvandrere","1","kroner","2014","281100","gjennomsnittsinntekt"
"15","innvandrere","1","kroner","2014","279400","gjennomsnittsinntekt"
"16","innvandrere","1","kroner","2014","286400","gjennomsnittsinntekt"
"17","innvandrere","1","kroner","2014","265100","gjennomsnittsinntekt"
"18","innvandrere","1","kroner","2014","277800","gjennomsnittsinntekt"
"19","innvandrere","1","kroner","2014","289500","gjennomsnittsinntekt"
"20","innvandrere","1","kroner","2014","293100","gjennomsnittsinntekt"
"00","innvandrere","2","kroner","2014","245500","gjennomsnittsinntekt"
"01","innvandrere","2","kroner","2014","229300","gjennomsnittsinntekt"
"02","innvandrere","2","kroner","2014","272500","gjennomsnittsinntekt"
"03","innvandrere","2","kroner","2014","246600","gjennomsnittsinntekt"
"04","innvandrere","2","kroner","2014","214000","gjennomsnittsinntekt"
"05","innvandrere","2","kroner","2014","208900","gjennomsnittsinntekt"
"06","innvandrere","2","kroner","2014","244500","gjennomsnittsinntekt"
"07","innvandrere","2","kroner","2014","235000","gjennomsnittsinntekt"
"08","innvandrere","2","kroner","2014","212300","gjennomsnittsinntekt"
"09","innvandrere","2","kroner","2014","221000","gjennomsnittsinntekt"
"10","innvandrere","2","kroner","2014","231100","gjennomsnittsinntekt"
"11","innvandrere","2","kroner","2014","280600","gjennomsnittsinntekt"
"12","innvandrere","2","kroner","2014","253000","gjennomsnittsinntekt"
"14","innvandrere","2","kroner","2014","224500","gjennomsnittsinntekt"
"15","innvandrere","2","kroner","2014","251100","gjennomsnittsinntekt"
"16","innvandrere","2","kroner","2014","243700","gjennomsnittsinntekt"
"17","innvandrere","2","kroner","2014","204300","gjennomsnittsinntekt"
"18","innvandrere","2","kroner","2014","215300","gjennomsnittsinntekt"
"19","innvandrere","2","kroner","2014","230100","gjennomsnittsinntekt"
"20","innvandrere","2","kroner","2014","261400","gjennomsnittsinntekt"
"00","befolkningen_ellers","alle","kroner","2014","358800","gjennomsnittsinntekt"
"01","befolkningen_ellers","alle","kroner","2014","337100","gjennomsnittsinntekt"
"02","befolkningen_ellers","alle","kroner","2014","392200","gjennomsnittsinntekt"
"03","befolkningen_ellers","alle","kroner","2014","382400","gjennomsnittsinntekt"
"04","befolkningen_ellers","alle","kroner","2014","330200","gjennomsnittsinntekt"
"05","befolkningen_ellers","alle","kroner","2014","334700","gjennomsnittsinntekt"
"06","befolkningen_ellers","alle","kroner","2014","357400","gjennomsnittsinntekt"
"07","befolkningen_ellers","alle","kroner","2014","346900","gjennomsnittsinntekt"
"08","befolkningen_ellers","alle","kroner","2014","338800","gjennomsnittsinntekt"
"09","befolkningen_ellers","alle","kroner","2014","338700","gjennomsnittsinntekt"
"10","befolkningen_ellers","alle","kroner","2014","344200","gjennomsnittsinntekt"
"11","befolkningen_ellers","alle","kroner","2014","384600","gjennomsnittsinntekt"
"12","befolkningen_ellers","alle","kroner","2014","366300","gjennomsnittsinntekt"
"14","befolkningen_ellers","alle","kroner","2014","352200","gjennomsnittsinntekt"
"15","befolkningen_ellers","alle","kroner","2014","357200","gjennomsnittsinntekt"
"16","befolkningen_ellers","alle","kroner","2014","353900","gjennomsnittsinntekt"
"17","befolkningen_ellers","alle","kroner","2014","335200","gjennomsnittsinntekt"
"18","befolkningen_ellers","alle","kroner","2014","344200","gjennomsnittsinntekt"
"19","befolkningen_ellers","alle","kroner","2014","353600","gjennomsnittsinntekt"
"20","befolkningen_ellers","alle","kroner","2014","358500","gjennomsnittsinntekt"
