"kommune_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"0101","alle","alle","kroner","2014","322100","gjennomsnittsinntekt"
"0104","alle","alle","kroner","2014","330800","gjennomsnittsinntekt"
"0105","alle","alle","kroner","2014","318200","gjennomsnittsinntekt"
"0106","alle","alle","kroner","2014","328300","gjennomsnittsinntekt"
"0111","alle","alle","kroner","2014","353700","gjennomsnittsinntekt"
"0118","alle","alle","kroner","2014","322400","gjennomsnittsinntekt"
"0119","alle","alle","kroner","2014","321600","gjennomsnittsinntekt"
"0121","alle","alle","kroner","2014","319800","gjennomsnittsinntekt"
"0122","alle","alle","kroner","2014","331800","gjennomsnittsinntekt"
"0123","alle","alle","kroner","2014","346800","gjennomsnittsinntekt"
"0124","alle","alle","kroner","2014","325800","gjennomsnittsinntekt"
"0125","alle","alle","kroner","2014","312800","gjennomsnittsinntekt"
"0127","alle","alle","kroner","2014","324500","gjennomsnittsinntekt"
"0128","alle","alle","kroner","2014","322000","gjennomsnittsinntekt"
"0135","alle","alle","kroner","2014","343300","gjennomsnittsinntekt"
"0136","alle","alle","kroner","2014","348100","gjennomsnittsinntekt"
"0137","alle","alle","kroner","2014","352200","gjennomsnittsinntekt"
"0138","alle","alle","kroner","2014","341900","gjennomsnittsinntekt"
"0211","alle","alle","kroner","2014","368400","gjennomsnittsinntekt"
"0213","alle","alle","kroner","2014","374800","gjennomsnittsinntekt"
"0214","alle","alle","kroner","2014","358900","gjennomsnittsinntekt"
"0215","alle","alle","kroner","2014","391200","gjennomsnittsinntekt"
"0216","alle","alle","kroner","2014","375500","gjennomsnittsinntekt"
"0217","alle","alle","kroner","2014","409900","gjennomsnittsinntekt"
"0219","alle","alle","kroner","2014","426400","gjennomsnittsinntekt"
"0220","alle","alle","kroner","2014","413800","gjennomsnittsinntekt"
"0221","alle","alle","kroner","2014","330200","gjennomsnittsinntekt"
"0226","alle","alle","kroner","2014","366600","gjennomsnittsinntekt"
"0227","alle","alle","kroner","2014","374200","gjennomsnittsinntekt"
"0228","alle","alle","kroner","2014","365000","gjennomsnittsinntekt"
"0229","alle","alle","kroner","2014","356300","gjennomsnittsinntekt"
"0230","alle","alle","kroner","2014","374800","gjennomsnittsinntekt"
"0231","alle","alle","kroner","2014","365300","gjennomsnittsinntekt"
"0233","alle","alle","kroner","2014","381900","gjennomsnittsinntekt"
"0234","alle","alle","kroner","2014","389300","gjennomsnittsinntekt"
"0235","alle","alle","kroner","2014","355800","gjennomsnittsinntekt"
"0236","alle","alle","kroner","2014","347000","gjennomsnittsinntekt"
"0237","alle","alle","kroner","2014","340300","gjennomsnittsinntekt"
"0238","alle","alle","kroner","2014","349400","gjennomsnittsinntekt"
"0239","alle","alle","kroner","2014","320300","gjennomsnittsinntekt"
"0301","alle","alle","kroner","2014","353400","gjennomsnittsinntekt"
"0402","alle","alle","kroner","2014","317200","gjennomsnittsinntekt"
"0403","alle","alle","kroner","2014","345100","gjennomsnittsinntekt"
"0412","alle","alle","kroner","2014","325500","gjennomsnittsinntekt"
"0415","alle","alle","kroner","2014","321700","gjennomsnittsinntekt"
"0417","alle","alle","kroner","2014","329000","gjennomsnittsinntekt"
"0418","alle","alle","kroner","2014","316300","gjennomsnittsinntekt"
"0419","alle","alle","kroner","2014","330500","gjennomsnittsinntekt"
"0420","alle","alle","kroner","2014","304000","gjennomsnittsinntekt"
"0423","alle","alle","kroner","2014","312300","gjennomsnittsinntekt"
"0425","alle","alle","kroner","2014","307300","gjennomsnittsinntekt"
"0426","alle","alle","kroner","2014","308800","gjennomsnittsinntekt"
"0427","alle","alle","kroner","2014","333500","gjennomsnittsinntekt"
"0428","alle","alle","kroner","2014","300000","gjennomsnittsinntekt"
"0429","alle","alle","kroner","2014","314900","gjennomsnittsinntekt"
"0430","alle","alle","kroner","2014","298600","gjennomsnittsinntekt"
"0432","alle","alle","kroner","2014","308300","gjennomsnittsinntekt"
"0434","alle","alle","kroner","2014","300800","gjennomsnittsinntekt"
"0436","alle","alle","kroner","2014","327800","gjennomsnittsinntekt"
"0437","alle","alle","kroner","2014","324100","gjennomsnittsinntekt"
"0438","alle","alle","kroner","2014","322100","gjennomsnittsinntekt"
"0439","alle","alle","kroner","2014","320500","gjennomsnittsinntekt"
"0441","alle","alle","kroner","2014","329400","gjennomsnittsinntekt"
"0501","alle","alle","kroner","2014","346100","gjennomsnittsinntekt"
"0502","alle","alle","kroner","2014","328700","gjennomsnittsinntekt"
"0511","alle","alle","kroner","2014","316900","gjennomsnittsinntekt"
"0512","alle","alle","kroner","2014","326200","gjennomsnittsinntekt"
