"naringsregion_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"01","alle","alle","kroner","2014","322100","gjennomsnittsinntekt"
"02","alle","alle","kroner","2014","326500","gjennomsnittsinntekt"
"03","alle","alle","kroner","2014","338800","gjennomsnittsinntekt"
"04","alle","alle","kroner","2014","325100","gjennomsnittsinntekt"
"05","alle","alle","kroner","2014","422500","gjennomsnittsinntekt"
"06","alle","alle","kroner","2014","377800","gjennomsnittsinntekt"
"07","alle","alle","kroner","2014","366600","gjennomsnittsinntekt"
"08","alle","alle","kroner","2014","350000","gjennomsnittsinntekt"
"09","alle","alle","kroner","2014","353400","gjennomsnittsinntekt"
"10","alle","alle","kroner","2014","322100","gjennomsnittsinntekt"
"11","alle","alle","kroner","2014","314300","gjennomsnittsinntekt"
"12","alle","alle","kroner","2014","331800","gjennomsnittsinntekt"
"13","alle","alle","kroner","2014","321000","gjennomsnittsinntekt"
"14","alle","alle","kroner","2014","324500","gjennomsnittsinntekt"
"15","alle","alle","kroner","2014","340500","gjennomsnittsinntekt"
"16","alle","alle","kroner","2014","340900","gjennomsnittsinntekt"
"17","alle","alle","kroner","2014","323900","gjennomsnittsinntekt"
"18","alle","alle","kroner","2014","316300","gjennomsnittsinntekt"
"19","alle","alle","kroner","2014","317200","gjennomsnittsinntekt"
"20","alle","alle","kroner","2014","347400","gjennomsnittsinntekt"
"21","alle","alle","kroner","2014","332800","gjennomsnittsinntekt"
"22","alle","alle","kroner","2014","365800","gjennomsnittsinntekt"
"23","alle","alle","kroner","2014","327700","gjennomsnittsinntekt"
"24","alle","alle","kroner","2014","337100","gjennomsnittsinntekt"
"25","alle","alle","kroner","2014","342800","gjennomsnittsinntekt"
"26","alle","alle","kroner","2014","330500","gjennomsnittsinntekt"
"27","alle","alle","kroner","2014","333500","gjennomsnittsinntekt"
"28","alle","alle","kroner","2014","322100","gjennomsnittsinntekt"
"29","alle","alle","kroner","2014","324600","gjennomsnittsinntekt"
"30","alle","alle","kroner","2014","328800","gjennomsnittsinntekt"
"31","alle","alle","kroner","2014","331500","gjennomsnittsinntekt"
"32","alle","alle","kroner","2014","329500","gjennomsnittsinntekt"
"33","alle","alle","kroner","2014","337000","gjennomsnittsinntekt"
"34","alle","alle","kroner","2014","327800","gjennomsnittsinntekt"
"35","alle","alle","kroner","2014","337400","gjennomsnittsinntekt"
"36","alle","alle","kroner","2014","350100","gjennomsnittsinntekt"
