"tabell_navn","aar","fylke_nr","kjonn","innvkat_5","enhet","tabellvariabel"
"grunnskolepoeng","2014","00","alle","alle","grunnskolepoeng","40,4"
"grunnskolepoeng","2014","00","alle","alle","personer","59766"
"grunnskolepoeng","2014","00","alle","bef_u_innv_og_norskf","grunnskolepoeng","40,8"
"grunnskolepoeng","2014","00","alle","bef_u_innv_og_norskf","personer","52808"
"grunnskolepoeng","2014","00","alle","befolkningen_ellers","grunnskolepoeng","40,8"
"grunnskolepoeng","2014","00","alle","befolkningen_ellers","personer","55555"
"grunnskolepoeng","2014","00","alle","innvandrere","grunnskolepoeng","35,6"
"grunnskolepoeng","2014","00","alle","innvandrere","personer","4200"
"grunnskolepoeng","2014","00","alle","norskfodte_m_innvf","grunnskolepoeng","39"
"grunnskolepoeng","2014","00","alle","norskfodte_m_innvf","personer","2701"
"grunnskolepoeng","2014","00","1","alle","grunnskolepoeng","38,4"
"grunnskolepoeng","2014","00","1","alle","personer","30480"
"grunnskolepoeng","2014","00","1","bef_u_innv_og_norskf","grunnskolepoeng","38,8"
"grunnskolepoeng","2014","00","1","bef_u_innv_og_norskf","personer","26892"
"grunnskolepoeng","2014","00","1","befolkningen_ellers","grunnskolepoeng","38,8"
"grunnskolepoeng","2014","00","1","befolkningen_ellers","personer","28314"
"grunnskolepoeng","2014","00","1","innvandrere","grunnskolepoeng","34,4"
"grunnskolepoeng","2014","00","1","innvandrere","personer","2077"
"grunnskolepoeng","2014","00","1","norskfodte_m_innvf","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","00","1","norskfodte_m_innvf","personer","1391"
"grunnskolepoeng","2014","00","0","alle","grunnskolepoeng","42,4"
"grunnskolepoeng","2014","00","0","alle","personer","29285"
"grunnskolepoeng","2014","00","0","bef_u_innv_og_norskf","grunnskolepoeng","43"
"grunnskolepoeng","2014","00","0","bef_u_innv_og_norskf","personer","25915"
"grunnskolepoeng","2014","00","0","befolkningen_ellers","grunnskolepoeng","42,8"
"grunnskolepoeng","2014","00","0","befolkningen_ellers","personer","27240"
"grunnskolepoeng","2014","00","0","innvandrere","grunnskolepoeng","37"
"grunnskolepoeng","2014","00","0","innvandrere","personer","2105"
"grunnskolepoeng","2014","00","0","norskfodte_m_innvf","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","00","0","norskfodte_m_innvf","personer","1312"
"grunnskolepoeng","2014","01","alle","alle","grunnskolepoeng","39,4"
"grunnskolepoeng","2014","01","alle","alle","personer","3348"
"grunnskolepoeng","2014","01","alle","bef_u_innv_og_norskf","grunnskolepoeng","40"
"grunnskolepoeng","2014","01","alle","bef_u_innv_og_norskf","personer","2864"
"grunnskolepoeng","2014","01","alle","befolkningen_ellers","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","01","alle","befolkningen_ellers","personer","3041"
"grunnskolepoeng","2014","01","alle","innvandrere","grunnskolepoeng","35,6"
"grunnskolepoeng","2014","01","alle","innvandrere","personer","308"
"grunnskolepoeng","2014","01","alle","norskfodte_m_innvf","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","01","alle","norskfodte_m_innvf","personer","176"
"grunnskolepoeng","2014","01","1","alle","grunnskolepoeng","37,2"
"grunnskolepoeng","2014","01","1","alle","personer","1696"
"grunnskolepoeng","2014","01","1","bef_u_innv_og_norskf","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","01","1","bef_u_innv_og_norskf","personer","1439"
"grunnskolepoeng","2014","01","1","befolkningen_ellers","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","01","1","befolkningen_ellers","personer","1533"
"grunnskolepoeng","2014","01","1","innvandrere","grunnskolepoeng","34"
"grunnskolepoeng","2014","01","1","innvandrere","personer","160"
"grunnskolepoeng","2014","01","1","norskfodte_m_innvf","grunnskolepoeng","36"
"grunnskolepoeng","2014","01","1","norskfodte_m_innvf","personer","94"
"grunnskolepoeng","2014","01","0","alle","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","01","0","alle","personer","1652"
"grunnskolepoeng","2014","01","0","bef_u_innv_og_norskf","grunnskolepoeng","42,4"
"grunnskolepoeng","2014","01","0","bef_u_innv_og_norskf","personer","1425"
"grunnskolepoeng","2014","01","0","befolkningen_ellers","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","01","0","befolkningen_ellers","personer","1508"
"grunnskolepoeng","2014","01","0","innvandrere","grunnskolepoeng","37,2"
"grunnskolepoeng","2014","01","0","innvandrere","personer","148"
"grunnskolepoeng","2014","01","0","norskfodte_m_innvf","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","01","0","norskfodte_m_innvf","personer","84"
"grunnskolepoeng","2014","02","alle","alle","grunnskolepoeng","41,6"
"grunnskolepoeng","2014","02","alle","alle","personer","7258"
"grunnskolepoeng","2014","02","alle","bef_u_innv_og_norskf","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","02","alle","bef_u_innv_og_norskf","personer","6384"
"grunnskolepoeng","2014","02","alle","befolkningen_ellers","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","02","alle","befolkningen_ellers","personer","6793"
"grunnskolepoeng","2014","02","alle","innvandrere","grunnskolepoeng","37"
"grunnskolepoeng","2014","02","alle","innvandrere","personer","465"
"grunnskolepoeng","2014","02","alle","norskfodte_m_innvf","grunnskolepoeng","41"
"grunnskolepoeng","2014","02","alle","norskfodte_m_innvf","personer","407"
"grunnskolepoeng","2014","02","1","alle","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","02","1","alle","personer","3649"
"grunnskolepoeng","2014","02","1","bef_u_innv_og_norskf","grunnskolepoeng","40"
"grunnskolepoeng","2014","02","1","bef_u_innv_og_norskf","personer","3212"
"grunnskolepoeng","2014","02","1","befolkningen_ellers","grunnskolepoeng","40"
"grunnskolepoeng","2014","02","1","befolkningen_ellers","personer","3417"
"grunnskolepoeng","2014","02","1","innvandrere","grunnskolepoeng","35,2"
"grunnskolepoeng","2014","02","1","innvandrere","personer","231"
"grunnskolepoeng","2014","02","1","norskfodte_m_innvf","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","02","1","norskfodte_m_innvf","personer","204"
"grunnskolepoeng","2014","02","0","alle","grunnskolepoeng","43,4"
"grunnskolepoeng","2014","02","0","alle","personer","3609"
"grunnskolepoeng","2014","02","0","bef_u_innv_og_norskf","grunnskolepoeng","43,8"
"grunnskolepoeng","2014","02","0","bef_u_innv_og_norskf","personer","3172"
"grunnskolepoeng","2014","02","0","befolkningen_ellers","grunnskolepoeng","43,8"
"grunnskolepoeng","2014","02","0","befolkningen_ellers","personer","3376"
"grunnskolepoeng","2014","02","0","innvandrere","grunnskolepoeng","38,8"
"grunnskolepoeng","2014","02","0","innvandrere","personer","234"
"grunnskolepoeng","2014","02","0","norskfodte_m_innvf","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","02","0","norskfodte_m_innvf","personer","202"
"grunnskolepoeng","2014","03","alle","alle","grunnskolepoeng","41,2"
"grunnskolepoeng","2014","03","alle","alle","personer","5199"
"grunnskolepoeng","2014","03","alle","bef_u_innv_og_norskf","grunnskolepoeng","43,6"
"grunnskolepoeng","2014","03","alle","bef_u_innv_og_norskf","personer","3405"
"grunnskolepoeng","2014","03","alle","befolkningen_ellers","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","03","alle","befolkningen_ellers","personer","4607"
"grunnskolepoeng","2014","03","alle","innvandrere","grunnskolepoeng","34,2"
"grunnskolepoeng","2014","03","alle","innvandrere","personer","592"
"grunnskolepoeng","2014","03","alle","norskfodte_m_innvf","grunnskolepoeng","38,2"
"grunnskolepoeng","2014","03","alle","norskfodte_m_innvf","personer","1202"
"grunnskolepoeng","2014","03","1","alle","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","03","1","alle","personer","2687"
"grunnskolepoeng","2014","03","1","bef_u_innv_og_norskf","grunnskolepoeng","41,6"
"grunnskolepoeng","2014","03","1","bef_u_innv_og_norskf","personer","1777"
"grunnskolepoeng","2014","03","1","befolkningen_ellers","grunnskolepoeng","40,4"
"grunnskolepoeng","2014","03","1","befolkningen_ellers","personer","2383"
"grunnskolepoeng","2014","03","1","innvandrere","grunnskolepoeng","33,4"
"grunnskolepoeng","2014","03","1","innvandrere","personer","304"
"grunnskolepoeng","2014","03","1","norskfodte_m_innvf","grunnskolepoeng","36,6"
"grunnskolepoeng","2014","03","1","norskfodte_m_innvf","personer","606"
"grunnskolepoeng","2014","03","0","alle","grunnskolepoeng","43"
"grunnskolepoeng","2014","03","0","alle","personer","2512"
"grunnskolepoeng","2014","03","0","bef_u_innv_og_norskf","grunnskolepoeng","45,6"
"grunnskolepoeng","2014","03","0","bef_u_innv_og_norskf","personer","1628"
"grunnskolepoeng","2014","03","0","befolkningen_ellers","grunnskolepoeng","44"
"grunnskolepoeng","2014","03","0","befolkningen_ellers","personer","2224"
"grunnskolepoeng","2014","03","0","innvandrere","grunnskolepoeng","35"
"grunnskolepoeng","2014","03","0","innvandrere","personer","288"
"grunnskolepoeng","2014","03","0","norskfodte_m_innvf","grunnskolepoeng","40"
"grunnskolepoeng","2014","03","0","norskfodte_m_innvf","personer","596"
"grunnskolepoeng","2014","04","alle","alle","grunnskolepoeng","39,2"
"grunnskolepoeng","2014","04","alle","alle","personer","2250"
"grunnskolepoeng","2014","04","alle","bef_u_innv_og_norskf","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","04","alle","bef_u_innv_og_norskf","personer","2058"
"grunnskolepoeng","2014","04","alle","befolkningen_ellers","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","04","alle","befolkningen_ellers","personer","2097"
"grunnskolepoeng","2014","04","alle","innvandrere","grunnskolepoeng","35"
"grunnskolepoeng","2014","04","alle","innvandrere","personer","153"
"grunnskolepoeng","2014","04","alle","norskfodte_m_innvf","grunnskolepoeng","36,6"
"grunnskolepoeng","2014","04","alle","norskfodte_m_innvf","personer","32"
"grunnskolepoeng","2014","04","1","alle","grunnskolepoeng","37,2"
"grunnskolepoeng","2014","04","1","alle","personer","1175"
"grunnskolepoeng","2014","04","1","bef_u_innv_og_norskf","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","04","1","bef_u_innv_og_norskf","personer","1074"
"grunnskolepoeng","2014","04","1","befolkningen_ellers","grunnskolepoeng","37,4"
"grunnskolepoeng","2014","04","1","befolkningen_ellers","personer","1097"
"grunnskolepoeng","2014","04","1","innvandrere","grunnskolepoeng","34,2"
"grunnskolepoeng","2014","04","1","innvandrere","personer","67"
"grunnskolepoeng","2014","04","1","norskfodte_m_innvf","grunnskolepoeng","33,6"
"grunnskolepoeng","2014","04","1","norskfodte_m_innvf","personer","20"
"grunnskolepoeng","2014","04","0","alle","grunnskolepoeng","41,6"
"grunnskolepoeng","2014","04","0","alle","personer","1075"
"grunnskolepoeng","2014","04","0","bef_u_innv_og_norskf","grunnskolepoeng","42"
"grunnskolepoeng","2014","04","0","bef_u_innv_og_norskf","personer","984"
"grunnskolepoeng","2014","04","0","befolkningen_ellers","grunnskolepoeng","42"
"grunnskolepoeng","2014","04","0","befolkningen_ellers","personer","1000"
"grunnskolepoeng","2014","04","0","innvandrere","grunnskolepoeng","36"
"grunnskolepoeng","2014","04","0","innvandrere","personer","83"
"grunnskolepoeng","2014","04","0","norskfodte_m_innvf","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","04","0","norskfodte_m_innvf","personer","12"
"grunnskolepoeng","2014","05","alle","alle","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","05","alle","alle","personer","2279"
"grunnskolepoeng","2014","05","alle","bef_u_innv_og_norskf","grunnskolepoeng","40"
"grunnskolepoeng","2014","05","alle","bef_u_innv_og_norskf","personer","2122"
"grunnskolepoeng","2014","05","alle","befolkningen_ellers","grunnskolepoeng","40"
"grunnskolepoeng","2014","05","alle","befolkningen_ellers","personer","2148"
"grunnskolepoeng","2014","05","alle","innvandrere","grunnskolepoeng","35,2"
"grunnskolepoeng","2014","05","alle","innvandrere","personer","133"
"grunnskolepoeng","2014","05","alle","norskfodte_m_innvf","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","05","alle","norskfodte_m_innvf","personer","19"
"grunnskolepoeng","2014","05","1","alle","grunnskolepoeng","37,4"
"grunnskolepoeng","2014","05","1","alle","personer","1157"
"grunnskolepoeng","2014","05","1","bef_u_innv_og_norskf","grunnskolepoeng","37,8"
"grunnskolepoeng","2014","05","1","bef_u_innv_og_norskf","personer","1055"
"grunnskolepoeng","2014","05","1","befolkningen_ellers","grunnskolepoeng","37,8"
"grunnskolepoeng","2014","05","1","befolkningen_ellers","personer","1075"
"grunnskolepoeng","2014","05","1","innvandrere","grunnskolepoeng","34"
"grunnskolepoeng","2014","05","1","innvandrere","personer","76"
"grunnskolepoeng","2014","05","1","norskfodte_m_innvf","grunnskolepoeng","38"
"grunnskolepoeng","2014","05","1","norskfodte_m_innvf","personer","15"
"grunnskolepoeng","2014","05","0","alle","grunnskolepoeng","42"
"grunnskolepoeng","2014","05","0","alle","personer","1122"
"grunnskolepoeng","2014","05","0","bef_u_innv_og_norskf","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","05","0","bef_u_innv_og_norskf","personer","1067"
"grunnskolepoeng","2014","05","0","befolkningen_ellers","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","05","0","befolkningen_ellers","personer","1073"
"grunnskolepoeng","2014","05","0","innvandrere","grunnskolepoeng","37,2"
"grunnskolepoeng","2014","05","0","innvandrere","personer","56"
"grunnskolepoeng","2014","05","0","norskfodte_m_innvf","grunnskolepoeng","36,6"
"grunnskolepoeng","2014","05","0","norskfodte_m_innvf","personer","3"
"grunnskolepoeng","2014","06","alle","alle","grunnskolepoeng","40"
"grunnskolepoeng","2014","06","alle","alle","personer","3158"
"grunnskolepoeng","2014","06","alle","bef_u_innv_og_norskf","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","06","alle","bef_u_innv_og_norskf","personer","2686"
"grunnskolepoeng","2014","06","alle","befolkningen_ellers","grunnskolepoeng","40,4"
"grunnskolepoeng","2014","06","alle","befolkningen_ellers","personer","2851"
"grunnskolepoeng","2014","06","alle","innvandrere","grunnskolepoeng","36,4"
"grunnskolepoeng","2014","06","alle","innvandrere","personer","307"
"grunnskolepoeng","2014","06","alle","norskfodte_m_innvf","grunnskolepoeng","39,4"
"grunnskolepoeng","2014","06","alle","norskfodte_m_innvf","personer","162"
"grunnskolepoeng","2014","06","1","alle","grunnskolepoeng","38"
"grunnskolepoeng","2014","06","1","alle","personer","1613"
"grunnskolepoeng","2014","06","1","bef_u_innv_og_norskf","grunnskolepoeng","38,4"
"grunnskolepoeng","2014","06","1","bef_u_innv_og_norskf","personer","1372"
"grunnskolepoeng","2014","06","1","befolkningen_ellers","grunnskolepoeng","38,4"
"grunnskolepoeng","2014","06","1","befolkningen_ellers","personer","1457"
"grunnskolepoeng","2014","06","1","innvandrere","grunnskolepoeng","34,8"
"grunnskolepoeng","2014","06","1","innvandrere","personer","154"
"grunnskolepoeng","2014","06","1","norskfodte_m_innvf","grunnskolepoeng","38,2"
"grunnskolepoeng","2014","06","1","norskfodte_m_innvf","personer","84"
"grunnskolepoeng","2014","06","0","alle","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","06","0","alle","personer","1545"
"grunnskolepoeng","2014","06","0","bef_u_innv_og_norskf","grunnskolepoeng","42,8"
"grunnskolepoeng","2014","06","0","bef_u_innv_og_norskf","personer","1314"
"grunnskolepoeng","2014","06","0","befolkningen_ellers","grunnskolepoeng","42,6"
"grunnskolepoeng","2014","06","0","befolkningen_ellers","personer","1394"
"grunnskolepoeng","2014","06","0","innvandrere","grunnskolepoeng","37,8"
"grunnskolepoeng","2014","06","0","innvandrere","personer","156"
"grunnskolepoeng","2014","06","0","norskfodte_m_innvf","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","06","0","norskfodte_m_innvf","personer","78"
"grunnskolepoeng","2014","07","alle","alle","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","07","alle","alle","personer","2846"
"grunnskolepoeng","2014","07","alle","bef_u_innv_og_norskf","grunnskolepoeng","41"
"grunnskolepoeng","2014","07","alle","bef_u_innv_og_norskf","personer","2568"
"grunnskolepoeng","2014","07","alle","befolkningen_ellers","grunnskolepoeng","41"
"grunnskolepoeng","2014","07","alle","befolkningen_ellers","personer","2652"
"grunnskolepoeng","2014","07","alle","innvandrere","grunnskolepoeng","35,8"
"grunnskolepoeng","2014","07","alle","innvandrere","personer","196"
"grunnskolepoeng","2014","07","alle","norskfodte_m_innvf","grunnskolepoeng","40,2"
"grunnskolepoeng","2014","07","alle","norskfodte_m_innvf","personer","82"
"grunnskolepoeng","2014","07","1","alle","grunnskolepoeng","38,8"
"grunnskolepoeng","2014","07","1","alle","personer","1452"
"grunnskolepoeng","2014","07","1","bef_u_innv_og_norskf","grunnskolepoeng","39,2"
"grunnskolepoeng","2014","07","1","bef_u_innv_og_norskf","personer","1300"
"grunnskolepoeng","2014","07","1","befolkningen_ellers","grunnskolepoeng","39,2"
"grunnskolepoeng","2014","07","1","befolkningen_ellers","personer","1339"
"grunnskolepoeng","2014","07","1","innvandrere","grunnskolepoeng","34"
"grunnskolepoeng","2014","07","1","innvandrere","personer","112"
"grunnskolepoeng","2014","07","1","norskfodte_m_innvf","grunnskolepoeng","39,4"
"grunnskolepoeng","2014","07","1","norskfodte_m_innvf","personer","39"
"grunnskolepoeng","2014","07","0","alle","grunnskolepoeng","42,6"
"grunnskolepoeng","2014","07","0","alle","personer","1394"
"grunnskolepoeng","2014","07","0","bef_u_innv_og_norskf","grunnskolepoeng","43"
"grunnskolepoeng","2014","07","0","bef_u_innv_og_norskf","personer","1268"
"grunnskolepoeng","2014","07","0","befolkningen_ellers","grunnskolepoeng","42,8"
"grunnskolepoeng","2014","07","0","befolkningen_ellers","personer","1313"
"grunnskolepoeng","2014","07","0","innvandrere","grunnskolepoeng","38,2"
"grunnskolepoeng","2014","07","0","innvandrere","personer","83"
"grunnskolepoeng","2014","07","0","norskfodte_m_innvf","grunnskolepoeng","41"
"grunnskolepoeng","2014","07","0","norskfodte_m_innvf","personer","43"
"grunnskolepoeng","2014","08","alle","alle","grunnskolepoeng","39,2"
"grunnskolepoeng","2014","08","alle","alle","personer","2030"
