"tabell_navn","aar","kommune_nr","kjonn","innvkat_5","enhet","tabellvariabel"
"grunnskolepoeng","2014","0101","alle","alle","grunnskolepoeng","39,4"
"grunnskolepoeng","2014","0101","alle","alle","personer","323"
"grunnskolepoeng","2014","0101","alle","bef_u_innv_og_norskf","grunnskolepoeng","40"
"grunnskolepoeng","2014","0101","alle","bef_u_innv_og_norskf","personer","280"
"grunnskolepoeng","2014","0101","alle","befolkningen_ellers","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","0101","alle","befolkningen_ellers","personer","298"
"grunnskolepoeng","2014","0101","alle","innvandrere","grunnskolepoeng","35"
"grunnskolepoeng","2014","0101","alle","innvandrere","personer","25"
"grunnskolepoeng","2014","0101","alle","norskfodte_m_innvf","grunnskolepoeng","37"
"grunnskolepoeng","2014","0101","alle","norskfodte_m_innvf","personer","18"
"grunnskolepoeng","2014","0101","1","alle","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","0101","1","alle","personer","162"
"grunnskolepoeng","2014","0101","1","bef_u_innv_og_norskf","grunnskolepoeng","37,8"
"grunnskolepoeng","2014","0101","1","bef_u_innv_og_norskf","personer","143"
"grunnskolepoeng","2014","0101","1","befolkningen_ellers","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","0101","1","befolkningen_ellers","personer","151"
"grunnskolepoeng","2014","0101","1","innvandrere","grunnskolepoeng","35,6"
"grunnskolepoeng","2014","0101","1","innvandrere","personer","11"
"grunnskolepoeng","2014","0101","1","norskfodte_m_innvf","grunnskolepoeng","34"
"grunnskolepoeng","2014","0101","1","norskfodte_m_innvf","personer","8"
"grunnskolepoeng","2014","0101","0","alle","grunnskolepoeng","41,4"
"grunnskolepoeng","2014","0101","0","alle","personer","161"
"grunnskolepoeng","2014","0101","0","bef_u_innv_og_norskf","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","0101","0","bef_u_innv_og_norskf","personer","137"
"grunnskolepoeng","2014","0101","0","befolkningen_ellers","grunnskolepoeng","42"
"grunnskolepoeng","2014","0101","0","befolkningen_ellers","personer","147"
"grunnskolepoeng","2014","0101","0","innvandrere","grunnskolepoeng","34,6"
"grunnskolepoeng","2014","0101","0","innvandrere","personer","14"
"grunnskolepoeng","2014","0101","0","norskfodte_m_innvf","grunnskolepoeng","39,4"
"grunnskolepoeng","2014","0101","0","norskfodte_m_innvf","personer","10"
"grunnskolepoeng","2014","0104","alle","alle","grunnskolepoeng","40,2"
"grunnskolepoeng","2014","0104","alle","alle","personer","358"
"grunnskolepoeng","2014","0104","alle","bef_u_innv_og_norskf","grunnskolepoeng","41"
"grunnskolepoeng","2014","0104","alle","bef_u_innv_og_norskf","personer","290"
"grunnskolepoeng","2014","0104","alle","befolkningen_ellers","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","0104","alle","befolkningen_ellers","personer","330"
"grunnskolepoeng","2014","0104","alle","innvandrere","grunnskolepoeng","33,6"
"grunnskolepoeng","2014","0104","alle","innvandrere","personer","28"
"grunnskolepoeng","2014","0104","alle","norskfodte_m_innvf","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","0104","alle","norskfodte_m_innvf","personer","40"
"grunnskolepoeng","2014","0104","1","alle","grunnskolepoeng","38"
"grunnskolepoeng","2014","0104","1","alle","personer","177"
"grunnskolepoeng","2014","0104","1","bef_u_innv_og_norskf","grunnskolepoeng","39"
"grunnskolepoeng","2014","0104","1","bef_u_innv_og_norskf","personer","142"
"grunnskolepoeng","2014","0104","1","befolkningen_ellers","grunnskolepoeng","38,4"
"grunnskolepoeng","2014","0104","1","befolkningen_ellers","personer","161"
"grunnskolepoeng","2014","0104","1","innvandrere","grunnskolepoeng","32"
"grunnskolepoeng","2014","0104","1","innvandrere","personer","16"
"grunnskolepoeng","2014","0104","1","norskfodte_m_innvf","grunnskolepoeng","34,6"
"grunnskolepoeng","2014","0104","1","norskfodte_m_innvf","personer","19"
"grunnskolepoeng","2014","0104","0","alle","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","0104","0","alle","personer","181"
"grunnskolepoeng","2014","0104","0","bef_u_innv_og_norskf","grunnskolepoeng","43"
