"tabell_navn","aar","naringsregion_nr","kjonn","innvkat_5","enhet","tabellvariabel"
"grunnskolepoeng","2014","01","alle","alle","grunnskolepoeng","39,4"
"grunnskolepoeng","2014","01","alle","alle","personer","323"
"grunnskolepoeng","2014","01","alle","bef_u_innv_og_norskf","grunnskolepoeng","40"
"grunnskolepoeng","2014","01","alle","bef_u_innv_og_norskf","personer","280"
"grunnskolepoeng","2014","01","alle","befolkningen_ellers","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","01","alle","befolkningen_ellers","personer","298"
"grunnskolepoeng","2014","01","alle","innvandrere","grunnskolepoeng","35"
"grunnskolepoeng","2014","01","alle","innvandrere","personer","25"
"grunnskolepoeng","2014","01","alle","norskfodte_m_innvf","grunnskolepoeng","37"
"grunnskolepoeng","2014","01","alle","norskfodte_m_innvf","personer","18"
"grunnskolepoeng","2014","01","1","alle","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","01","1","alle","personer","162"
"grunnskolepoeng","2014","01","1","bef_u_innv_og_norskf","grunnskolepoeng","37,8"
"grunnskolepoeng","2014","01","1","bef_u_innv_og_norskf","personer","143"
"grunnskolepoeng","2014","01","1","befolkningen_ellers","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","01","1","befolkningen_ellers","personer","151"
"grunnskolepoeng","2014","01","1","innvandrere","grunnskolepoeng","35,6"
"grunnskolepoeng","2014","01","1","innvandrere","personer","11"
"grunnskolepoeng","2014","01","1","norskfodte_m_innvf","grunnskolepoeng","34"
"grunnskolepoeng","2014","01","1","norskfodte_m_innvf","personer","8"
"grunnskolepoeng","2014","01","0","alle","grunnskolepoeng","41,4"
"grunnskolepoeng","2014","01","0","alle","personer","161"
"grunnskolepoeng","2014","01","0","bef_u_innv_og_norskf","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","01","0","bef_u_innv_og_norskf","personer","137"
"grunnskolepoeng","2014","01","0","befolkningen_ellers","grunnskolepoeng","42"
"grunnskolepoeng","2014","01","0","befolkningen_ellers","personer","147"
