"tabell_navn","aar","naringsregion_nr","kjonn","vreg_3","invalder_3","enhet","tabellvariabel"
"grunnskolepoeng_innvandrere","2014","01","alle","1","0_6","grunnskolepoeng","33,6"
"grunnskolepoeng_innvandrere","2014","01","alle","1","0_6","personer","3"
"grunnskolepoeng_innvandrere","2014","01","alle","1","7+","grunnskolepoeng","35,8"
"grunnskolepoeng_innvandrere","2014","01","alle","1","7+","personer","6"
"grunnskolepoeng_innvandrere","2014","01","alle","1","alle","grunnskolepoeng","35"
"grunnskolepoeng_innvandrere","2014","01","alle","1","alle","personer","9"
"grunnskolepoeng_innvandrere","2014","01","alle","2","0_6","grunnskolepoeng","37,8"
"grunnskolepoeng_innvandrere","2014","01","alle","2","0_6","personer","8"
"grunnskolepoeng_innvandrere","2014","01","alle","2","7+","grunnskolepoeng","32,4"
"grunnskolepoeng_innvandrere","2014","01","alle","2","7+","personer","8"
"grunnskolepoeng_innvandrere","2014","01","alle","2","alle","grunnskolepoeng","35"
"grunnskolepoeng_innvandrere","2014","01","alle","2","alle","personer","16"
"grunnskolepoeng_innvandrere","2014","01","alle","alle","0_6","grunnskolepoeng","36,6"
"grunnskolepoeng_innvandrere","2014","01","alle","alle","0_6","personer","11"
"grunnskolepoeng_innvandrere","2014","01","alle","alle","7+","grunnskolepoeng","33,8"
"grunnskolepoeng_innvandrere","2014","01","alle","alle","7+","personer","14"
"grunnskolepoeng_innvandrere","2014","01","alle","alle","alle","grunnskolepoeng","35"
"grunnskolepoeng_innvandrere","2014","01","alle","alle","alle","personer","25"
"grunnskolepoeng_innvandrere","2014","01","1","1","0_6","grunnskolepoeng","36,8"
"grunnskolepoeng_innvandrere","2014","01","1","1","0_6","personer","3"
"grunnskolepoeng_innvandrere","2014","01","1","1","7+","grunnskolepoeng","0"
"grunnskolepoeng_innvandrere","2014","01","1","1","7+","personer","0"
"grunnskolepoeng_innvandrere","2014","01","1","1","alle","grunnskolepoeng","32,4"
"grunnskolepoeng_innvandrere","2014","01","1","1","alle","personer","3"
"grunnskolepoeng_innvandrere","2014","01","1","2","0_6","grunnskolepoeng","38,6"
"grunnskolepoeng_innvandrere","2014","01","1","2","0_6","personer","4"
"grunnskolepoeng_innvandrere","2014","01","1","2","7+","grunnskolepoeng","35,2"
"grunnskolepoeng_innvandrere","2014","01","1","2","7+","personer","4"
"grunnskolepoeng_innvandrere","2014","01","1","2","alle","grunnskolepoeng","36,8"
"grunnskolepoeng_innvandrere","2014","01","1","2","alle","personer","8"
"grunnskolepoeng_innvandrere","2014","01","1","alle","0_6","grunnskolepoeng","38"
"grunnskolepoeng_innvandrere","2014","01","1","alle","0_6","personer","6"
"grunnskolepoeng_innvandrere","2014","01","1","alle","7+","grunnskolepoeng","33"
"grunnskolepoeng_innvandrere","2014","01","1","alle","7+","personer","5"
"grunnskolepoeng_innvandrere","2014","01","1","alle","alle","grunnskolepoeng","35,6"
"grunnskolepoeng_innvandrere","2014","01","1","alle","alle","personer","11"
"grunnskolepoeng_innvandrere","2014","01","0","1","0_6","grunnskolepoeng","0"
"grunnskolepoeng_innvandrere","2014","01","0","1","0_6","personer","0"
"grunnskolepoeng_innvandrere","2014","01","0","1","7+","grunnskolepoeng","38,2"
"grunnskolepoeng_innvandrere","2014","01","0","1","7+","personer","5"
"grunnskolepoeng_innvandrere","2014","01","0","1","alle","grunnskolepoeng","36,4"
"grunnskolepoeng_innvandrere","2014","01","0","1","alle","personer","6"
"grunnskolepoeng_innvandrere","2014","01","0","2","0_6","grunnskolepoeng","37"
"grunnskolepoeng_innvandrere","2014","01","0","2","0_6","personer","4"
"grunnskolepoeng_innvandrere","2014","01","0","2","7+","grunnskolepoeng","29,4"
"grunnskolepoeng_innvandrere","2014","01","0","2","7+","personer","4"
"grunnskolepoeng_innvandrere","2014","01","0","2","alle","grunnskolepoeng","33,2"
"grunnskolepoeng_innvandrere","2014","01","0","2","alle","personer","8"
"grunnskolepoeng_innvandrere","2014","01","0","alle","0_6","grunnskolepoeng","35"
"grunnskolepoeng_innvandrere","2014","01","0","alle","0_6","personer","5"
"grunnskolepoeng_innvandrere","2014","01","0","alle","7+","grunnskolepoeng","34,2"
"grunnskolepoeng_innvandrere","2014","01","0","alle","7+","personer","9"
"grunnskolepoeng_innvandrere","2014","01","0","alle","alle","grunnskolepoeng","34,6"
"grunnskolepoeng_innvandrere","2014","01","0","alle","alle","personer","14"
