"aar","bydel_nr","innvkat_3","kjonn","aldersinndeling_etter_grskole","tabellvariabel","tabell_navn","enhet"
"2006","00","alle","0","16_25","31171","ikke_arbutd_innvkat_alder","personer"
"2006","00","alle","0","26_66","285965","ikke_arbutd_innvkat_alder","personer"
"2006","00","alle","0","alle","317136","ikke_arbutd_innvkat_alder","personer"
"2006","00","alle","1","16_25","29913","ikke_arbutd_innvkat_alder","personer"
"2006","00","alle","1","26_66","213605","ikke_arbutd_innvkat_alder","personer"
"2006","00","alle","1","alle","243518","ikke_arbutd_innvkat_alder","personer"
"2006","00","alle","alle","16_25","61084","ikke_arbutd_innvkat_alder","personer"
"2006","00","alle","alle","26_66","499570","ikke_arbutd_innvkat_alder","personer"
"2006","00","alle","alle","alle","560654","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","0","16_25","22352","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","0","26_66","240604","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","0","alle","262956","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","1","16_25","24312","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","1","26_66","180246","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","1","alle","204558","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","alle","16_25","46664","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","alle","26_66","420850","ikke_arbutd_innvkat_alder","personer"
"2006","00","befolkningen_ellers","alle","alle","467514","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","0","16_25","8819","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","0","26_66","45361","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","0","alle","54180","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","1","16_25","5601","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","1","26_66","33359","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","1","alle","38960","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","alle","16_25","14420","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","alle","26_66","78720","ikke_arbutd_innvkat_alder","personer"
"2006","00","innvandrere","alle","alle","93140","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","0","16_25","449","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","0","26_66","3337","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","0","alle","3786","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","1","16_25","412","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","1","26_66","3234","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","1","alle","3646","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","alle","16_25","861","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","alle","26_66","6571","ikke_arbutd_innvkat_alder","personer"
"2006","030101","alle","alle","alle","7432","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","0","16_25","224","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","0","26_66","2159","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","0","alle","2383","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","1","16_25","270","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","1","26_66","2017","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","1","alle","2287","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","alle","16_25","494","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","alle","26_66","4176","ikke_arbutd_innvkat_alder","personer"
"2006","030101","befolkningen_ellers","alle","alle","4670","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","0","16_25","225","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","0","26_66","1178","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","0","alle","1403","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","1","16_25","142","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","1","26_66","1217","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","1","alle","1359","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","alle","16_25","367","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","alle","26_66","2395","ikke_arbutd_innvkat_alder","personer"
"2006","030101","innvandrere","alle","alle","2762","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","0","16_25","349","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","0","26_66","3035","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","0","alle","3384","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","1","16_25","339","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","1","26_66","2596","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","1","alle","2935","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","alle","16_25","688","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","alle","26_66","5631","ikke_arbutd_innvkat_alder","personer"
"2006","030102","alle","alle","alle","6319","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","0","16_25","175","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","0","26_66","1946","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","0","alle","2121","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","1","16_25","217","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","1","26_66","1686","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","1","alle","1903","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","alle","16_25","392","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","alle","26_66","3632","ikke_arbutd_innvkat_alder","personer"
"2006","030102","befolkningen_ellers","alle","alle","4024","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","0","16_25","174","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","0","26_66","1089","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","0","alle","1263","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","1","16_25","122","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","1","26_66","910","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","1","alle","1032","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","alle","16_25","296","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","alle","26_66","1999","ikke_arbutd_innvkat_alder","personer"
"2006","030102","innvandrere","alle","alle","2295","ikke_arbutd_innvkat_alder","personer"
"2006","030103","alle","0","16_25","472","ikke_arbutd_innvkat_alder","personer"
