"aar","naringsregion_nr","innvkat_3","kjonn","aldersinndeling_etter_grskole","tabellvariabel","tabell_navn","enhet"
"2006","48","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","66","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","31","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","66","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","alle","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2009","48","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2010","70","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2012","70","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2013","70","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2014","70","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","62","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","62","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","1","26_66","0","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","1","alle","0","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","alle","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","48","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","59","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","62","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","65","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","1","26_66","0","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","1","alle","0","ikke_arbutd_innvkat_alder","personer"
"2008","31","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2008","48","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2008","66","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","alle","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2009","70","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","48","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","48","innvandrere","alle","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","58","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","62","innvandrere","alle","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","48","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","62","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","65","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2007","80","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2008","62","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2008","66","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2008","82","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2009","66","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2009","70","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2010","62","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2010","70","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2010","70","innvandrere","alle","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2011","48","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2012","48","innvandrere","1","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2013","62","innvandrere","0","16_25","0","ikke_arbutd_innvkat_alder","personer"
"2006","45","innvandrere","0","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2006","45","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2006","59","innvandrere","0","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2006","65","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2007","45","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2007","48","innvandrere","alle","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2007","59","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2007","62","innvandrere","alle","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2007","65","innvandrere","alle","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2008","48","innvandrere","0","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2008","62","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2008","65","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2008","66","innvandrere","alle","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","1","26_66","3","ikke_arbutd_innvkat_alder","personer"
"2009","48","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2009","48","innvandrere","alle","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2009","62","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2009","70","innvandrere","alle","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2010","48","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2010","65","innvandrere","0","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2011","62","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2011","70","innvandrere","1","16_25","3","ikke_arbutd_innvkat_alder","personer"
"2006","31","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2006","54","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2006","59","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2006","65","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2006","80","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2007","17","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2007","45","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2007","59","innvandrere","alle","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2008","45","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2008","48","innvandrere","alle","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2008","57","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2008","59","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2008","59","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2008","65","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","1","alle","4","ikke_arbutd_innvkat_alder","personer"
"2009","45","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2009","62","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2009","65","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2010","48","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2010","62","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2010","66","innvandrere","1","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2011","70","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2012","70","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
