"aar","bydel_nr","innvkat_3","vreg_3","kjonn","tabellvariabel","tabell_navn","enhet"
"2006","00","alle","1","0","12608","ikke_arbutd_innvkat_land","personer"
"2006","00","alle","1","1","11010","ikke_arbutd_innvkat_land","personer"
"2006","00","alle","1","alle","23618","ikke_arbutd_innvkat_land","personer"
"2006","00","alle","2","0","41572","ikke_arbutd_innvkat_land","personer"
"2006","00","alle","2","1","27950","ikke_arbutd_innvkat_land","personer"
"2006","00","alle","2","alle","69522","ikke_arbutd_innvkat_land","personer"
"2006","00","alle","alle","0","317136","ikke_arbutd_innvkat_land","personer"
"2006","00","alle","alle","1","243518","ikke_arbutd_innvkat_land","personer"
"2006","00","alle","alle","alle","560654","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","alle","0","262956","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","alle","1","204558","ikke_arbutd_innvkat_land","personer"
"2006","00","befolkningen_ellers","alle","alle","467514","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","1","0","12608","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","1","1","11010","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","1","alle","23618","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","2","0","41572","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","2","1","27950","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","2","alle","69522","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","alle","0","54180","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","alle","1","38960","ikke_arbutd_innvkat_land","personer"
"2006","00","innvandrere","alle","alle","93140","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","1","0","263","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","1","1","302","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","1","alle","565","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","2","0","1140","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","2","1","1057","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","2","alle","2197","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","alle","0","3786","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","alle","1","3646","ikke_arbutd_innvkat_land","personer"
"2006","030101","alle","alle","alle","7432","ikke_arbutd_innvkat_land","personer"
"2006","030101","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
