"aar","naringsregion_nr","innvkat_3","vreg_3","kjonn","tabellvariabel","tabell_navn","enhet"
"2006","01","alle","1","0","120","ikke_arbutd_innvkat_land","personer"
"2006","01","alle","1","1","91","ikke_arbutd_innvkat_land","personer"
"2006","01","alle","1","alle","211","ikke_arbutd_innvkat_land","personer"
"2006","01","alle","2","0","228","ikke_arbutd_innvkat_land","personer"
"2006","01","alle","2","1","166","ikke_arbutd_innvkat_land","personer"
"2006","01","alle","2","alle","394","ikke_arbutd_innvkat_land","personer"
"2006","01","alle","alle","0","2310","ikke_arbutd_innvkat_land","personer"
"2006","01","alle","alle","1","1773","ikke_arbutd_innvkat_land","personer"
"2006","01","alle","alle","alle","4083","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","alle","0","1962","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","alle","1","1516","ikke_arbutd_innvkat_land","personer"
"2006","01","befolkningen_ellers","alle","alle","3478","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","1","0","120","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","1","1","91","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","1","alle","211","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","2","0","228","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","2","1","166","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","2","alle","394","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","alle","0","348","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","alle","1","257","ikke_arbutd_innvkat_land","personer"
"2006","01","innvandrere","alle","alle","605","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","1","0","148","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","1","1","131","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","1","alle","279","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","2","0","496","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","2","1","302","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","2","alle","798","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","alle","0","4301","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","alle","1","3075","ikke_arbutd_innvkat_land","personer"
"2006","02","alle","alle","alle","7376","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","alle","0","3657","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","alle","1","2642","ikke_arbutd_innvkat_land","personer"
"2006","02","befolkningen_ellers","alle","alle","6299","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","1","0","148","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","1","1","131","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","1","alle","279","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","2","0","496","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","2","1","302","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","2","alle","798","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","alle","0","644","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","alle","1","433","ikke_arbutd_innvkat_land","personer"
"2006","02","innvandrere","alle","alle","1077","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","1","0","171","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","1","1","128","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","1","alle","299","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","2","0","531","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","2","1","370","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","2","alle","901","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","alle","0","4225","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","alle","1","3084","ikke_arbutd_innvkat_land","personer"
"2006","03","alle","alle","alle","7309","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","alle","0","3523","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","alle","1","2586","ikke_arbutd_innvkat_land","personer"
"2006","03","befolkningen_ellers","alle","alle","6109","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","1","0","171","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","1","1","128","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","1","alle","299","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","2","0","531","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","2","1","370","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","2","alle","901","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","alle","0","702","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","alle","1","498","ikke_arbutd_innvkat_land","personer"
"2006","03","innvandrere","alle","alle","1200","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","1","0","354","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","1","1","256","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","1","alle","610","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","2","0","1317","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","2","1","914","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","2","alle","2231","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","alle","0","10471","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","alle","1","7730","ikke_arbutd_innvkat_land","personer"
"2006","04","alle","alle","alle","18201","ikke_arbutd_innvkat_land","personer"
"2006","04","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","04","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
