"aar","bydel_nr","avslutning_arsak_8","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
2014,"000301","alle","0","personer","154","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","alle","1","personer","155","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","alle","alle","personer","309","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","kvalifisering","0","personer","47","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","kvalifisering","0","prosent","30.51948052","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","kvalifisering","1","personer","32","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","kvalifisering","1","prosent","20.64516129","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","kvalifisering","alle","personer","79","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","kvalifisering","alle","prosent","25.566343","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","gr_skole","0","personer","9","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","gr_skole","0","prosent","5.844155844","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","gr_skole","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","gr_skole","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","gr_skole","alle","personer","12","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","gr_skole","alle","prosent","3.8834951","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","utdanning","0","personer","12","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","utdanning","0","prosent","7.792207792","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","utdanning","1","personer","17","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","utdanning","1","prosent","10.96774194","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","utdanning","alle","personer","29","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","utdanning","alle","prosent","9.3851133","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","arbeid","0","personer","30","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","arbeid","0","prosent","19.48051948","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","arbeid","1","personer","72","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","arbeid","1","prosent","46.4516129","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","arbeid","alle","personer","102","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","arbeid","alle","prosent","33.0097087","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","sos_stnd","0","personer","19","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","sos_stnd","0","prosent","12.33766234","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","sos_stnd","1","personer","13","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","sos_stnd","1","prosent","8.387096774","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","sos_stnd","alle","personer","32","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","sos_stnd","alle","prosent","10.3559871","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","trygd_annen","0","personer","10","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","trygd_annen","0","prosent","6.493506494","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","trygd_annen","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","trygd_annen","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","trygd_annen","alle","personer","11","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","trygd_annen","alle","prosent","3.5598706","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","annet","0","personer","27","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","annet","0","prosent","17.53246753","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","annet","1","personer","17","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","annet","1","prosent","10.96774194","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","annet","alle","personer","44","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"000301","annet","alle","prosent","14.2394822","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","alle","0","personer","17","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","alle","1","personer","12","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","alle","alle","personer","29","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","kvalifisering","0","personer","7","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","kvalifisering","0","prosent","41.17647059","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","kvalifisering","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","kvalifisering","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","kvalifisering","alle","personer","9","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","kvalifisering","alle","prosent","31.0344828","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","gr_skole","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","gr_skole","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","gr_skole","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","gr_skole","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","gr_skole","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","gr_skole","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","utdanning","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","utdanning","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","utdanning","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","utdanning","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","utdanning","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","utdanning","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","arbeid","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","arbeid","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","arbeid","1","personer","7","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","arbeid","1","prosent","58.33333333","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","arbeid","alle","personer","10","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","arbeid","alle","prosent","34.4827586","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","sos_stnd","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","sos_stnd","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","sos_stnd","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","sos_stnd","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","sos_stnd","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","sos_stnd","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","trygd_annen","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","trygd_annen","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","trygd_annen","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","trygd_annen","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","trygd_annen","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","trygd_annen","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","annet","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","annet","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","annet","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","annet","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","annet","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030101","annet","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","alle","0","personer","12","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","alle","1","personer","21","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","alle","alle","personer","33","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","kvalifisering","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","kvalifisering","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","kvalifisering","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","kvalifisering","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","kvalifisering","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","kvalifisering","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","gr_skole","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","gr_skole","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","gr_skole","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","gr_skole","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","gr_skole","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","gr_skole","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","utdanning","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","utdanning","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","utdanning","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","utdanning","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","utdanning","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","utdanning","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","arbeid","0","personer","5","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","arbeid","0","prosent","41.66666667","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","arbeid","1","personer","14","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","arbeid","1","prosent","66.66666667","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","arbeid","alle","personer","19","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","arbeid","alle","prosent","57.5757576","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","sos_stnd","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","sos_stnd","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","sos_stnd","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","sos_stnd","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","sos_stnd","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","sos_stnd","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","trygd_annen","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
