"bydel_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"0301","ettaar","alle","alle","2013","personer","270","intro_status_arbutd"
"030101","ettaar","alle","alle","2013","personer","24","intro_status_arbutd"
"030102","ettaar","alle","alle","2013","personer","30","intro_status_arbutd"
"030103","ettaar","alle","alle","2013","personer","12","intro_status_arbutd"
"030104","ettaar","alle","alle","2013","personer","15","intro_status_arbutd"
"030105","ettaar","alle","alle","2013","personer","11","intro_status_arbutd"
"030106","ettaar","alle","alle","2013","personer","10","intro_status_arbutd"
"030107","ettaar","alle","alle","2013","personer","12","intro_status_arbutd"
"030108","ettaar","alle","alle","2013","personer","11","intro_status_arbutd"
"030109","ettaar","alle","alle","2013","personer","18","intro_status_arbutd"
"030110","ettaar","alle","alle","2013","personer","19","intro_status_arbutd"
"030111","ettaar","alle","alle","2013","personer","28","intro_status_arbutd"
"030112","ettaar","alle","alle","2013","personer","27","intro_status_arbutd"
"030113","ettaar","alle","alle","2013","personer","10","intro_status_arbutd"
"030114","ettaar","alle","alle","2013","personer","17","intro_status_arbutd"
"030115","ettaar","alle","alle","2013","personer","18","intro_status_arbutd"
"030116","ettaar","alle","alle","2013","personer","0","intro_status_arbutd"
"030117","ettaar","alle","alle","2013","personer","0","intro_status_arbutd"
"030199","ettaar","alle","alle","2013","personer","8","intro_status_arbutd"
"0301","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030101","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030102","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030103","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030104","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030105","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030106","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030107","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030108","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030109","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030110","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030111","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030112","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030113","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030114","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030115","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"030116","ettaar","alle","alle","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","alle","alle","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"0301","ettaar","alle","arbutd","2013","personer","164","intro_status_arbutd"
"030101","ettaar","alle","arbutd","2013","personer","12","intro_status_arbutd"
"030102","ettaar","alle","arbutd","2013","personer","22","intro_status_arbutd"
"030103","ettaar","alle","arbutd","2013","personer","8","intro_status_arbutd"
"030104","ettaar","alle","arbutd","2013","personer","10","intro_status_arbutd"
"030105","ettaar","alle","arbutd","2013","personer","7","intro_status_arbutd"
"030106","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"030107","ettaar","alle","arbutd","2013","personer","6","intro_status_arbutd"
"030108","ettaar","alle","arbutd","2013","personer","7","intro_status_arbutd"
"030109","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"030110","ettaar","alle","arbutd","2013","personer","15","intro_status_arbutd"
"030111","ettaar","alle","arbutd","2013","personer","15","intro_status_arbutd"
"030112","ettaar","alle","arbutd","2013","personer","20","intro_status_arbutd"
"030113","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"030114","ettaar","alle","arbutd","2013","personer","11","intro_status_arbutd"
"030115","ettaar","alle","arbutd","2013","personer","12","intro_status_arbutd"
"030116","ettaar","alle","arbutd","2013","personer","0","intro_status_arbutd"
"030117","ettaar","alle","arbutd","2013","personer","0","intro_status_arbutd"
"030199","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"0301","ettaar","alle","ledig_tiltak","2013","personer","24","intro_status_arbutd"
"030101","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030102","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030103","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030104","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030105","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030106","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030107","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030108","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030109","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030110","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030111","ettaar","alle","ledig_tiltak","2013","personer","5","intro_status_arbutd"
"030112","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030113","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030114","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030115","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
