"fylke_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"00","ettaar","alle","alle","2013","personer","3843","intro_status_arbutd"
"01","ettaar","alle","alle","2013","personer","131","intro_status_arbutd"
"02","ettaar","alle","alle","2013","personer","262","intro_status_arbutd"
"03","ettaar","alle","alle","2013","personer","270","intro_status_arbutd"
"04","ettaar","alle","alle","2013","personer","134","intro_status_arbutd"
"05","ettaar","alle","alle","2013","personer","220","intro_status_arbutd"
"06","ettaar","alle","alle","2013","personer","192","intro_status_arbutd"
"07","ettaar","alle","alle","2013","personer","105","intro_status_arbutd"
"08","ettaar","alle","alle","2013","personer","191","intro_status_arbutd"
"09","ettaar","alle","alle","2013","personer","114","intro_status_arbutd"
"10","ettaar","alle","alle","2013","personer","228","intro_status_arbutd"
"11","ettaar","alle","alle","2013","personer","313","intro_status_arbutd"
"12","ettaar","alle","alle","2013","personer","310","intro_status_arbutd"
"14","ettaar","alle","alle","2013","personer","99","intro_status_arbutd"
"15","ettaar","alle","alle","2013","personer","188","intro_status_arbutd"
"16","ettaar","alle","alle","2013","personer","219","intro_status_arbutd"
"17","ettaar","alle","alle","2013","personer","207","intro_status_arbutd"
"18","ettaar","alle","alle","2013","personer","348","intro_status_arbutd"
"19","ettaar","alle","alle","2013","personer","232","intro_status_arbutd"
"20","ettaar","alle","alle","2013","personer","80","intro_status_arbutd"
"00","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"01","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"02","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"03","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"04","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"05","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"06","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"07","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"08","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"09","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"10","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"11","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"12","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"14","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"15","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"16","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"17","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"18","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"19","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"20","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"00","ettaar","alle","arbutd","2013","personer","2382","intro_status_arbutd"
"01","ettaar","alle","arbutd","2013","personer","68","intro_status_arbutd"
"02","ettaar","alle","arbutd","2013","personer","167","intro_status_arbutd"
"03","ettaar","alle","arbutd","2013","personer","164","intro_status_arbutd"
