"fylke_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"00","ettaar","alle","alle","2014","personer","3842","intro_status_arbutd"
"01","ettaar","alle","alle","2014","personer","136","intro_status_arbutd"
"02","ettaar","alle","alle","2014","personer","321","intro_status_arbutd"
"03","ettaar","alle","alle","2014","personer","251","intro_status_arbutd"
"04","ettaar","alle","alle","2014","personer","152","intro_status_arbutd"
"05","ettaar","alle","alle","2014","personer","192","intro_status_arbutd"
"06","ettaar","alle","alle","2014","personer","194","intro_status_arbutd"
"07","ettaar","alle","alle","2014","personer","113","intro_status_arbutd"
"08","ettaar","alle","alle","2014","personer","245","intro_status_arbutd"
"09","ettaar","alle","alle","2014","personer","110","intro_status_arbutd"
"10","ettaar","alle","alle","2014","personer","235","intro_status_arbutd"
"11","ettaar","alle","alle","2014","personer","297","intro_status_arbutd"
"12","ettaar","alle","alle","2014","personer","318","intro_status_arbutd"
"14","ettaar","alle","alle","2014","personer","98","intro_status_arbutd"
"15","ettaar","alle","alle","2014","personer","179","intro_status_arbutd"
"16","ettaar","alle","alle","2014","personer","235","intro_status_arbutd"
"17","ettaar","alle","alle","2014","personer","174","intro_status_arbutd"
"18","ettaar","alle","alle","2014","personer","331","intro_status_arbutd"
"19","ettaar","alle","alle","2014","personer","198","intro_status_arbutd"
"20","ettaar","alle","alle","2014","personer","63","intro_status_arbutd"
"00","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"01","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"02","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"03","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"04","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"05","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"06","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"07","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"08","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"09","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"10","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"11","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"12","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"14","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"15","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"16","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"17","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"18","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"19","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"20","ettaar","alle","alle","2014","prosent","100","intro_status_arbutd"
"00","ettaar","alle","arbutd","2014","personer","2388","intro_status_arbutd"
"01","ettaar","alle","arbutd","2014","personer","59","intro_status_arbutd"
"02","ettaar","alle","arbutd","2014","personer","208","intro_status_arbutd"
"03","ettaar","alle","arbutd","2014","personer","140","intro_status_arbutd"
"04","ettaar","alle","arbutd","2014","personer","76","intro_status_arbutd"
"05","ettaar","alle","arbutd","2014","personer","121","intro_status_arbutd"
"06","ettaar","alle","arbutd","2014","personer","103","intro_status_arbutd"
"07","ettaar","alle","arbutd","2014","personer","72","intro_status_arbutd"
"08","ettaar","alle","arbutd","2014","personer","130","intro_status_arbutd"
"09","ettaar","alle","arbutd","2014","personer","67","intro_status_arbutd"
"10","ettaar","alle","arbutd","2014","personer","159","intro_status_arbutd"
"11","ettaar","alle","arbutd","2014","personer","213","intro_status_arbutd"
"12","ettaar","alle","arbutd","2014","personer","199","intro_status_arbutd"
"14","ettaar","alle","arbutd","2014","personer","61","intro_status_arbutd"
"15","ettaar","alle","arbutd","2014","personer","122","intro_status_arbutd"
"16","ettaar","alle","arbutd","2014","personer","137","intro_status_arbutd"
"17","ettaar","alle","arbutd","2014","personer","125","intro_status_arbutd"
"18","ettaar","alle","arbutd","2014","personer","214","intro_status_arbutd"
"19","ettaar","alle","arbutd","2014","personer","138","intro_status_arbutd"
"20","ettaar","alle","arbutd","2014","personer","44","intro_status_arbutd"
"00","ettaar","alle","ledig_tiltak","2014","personer","421","intro_status_arbutd"
"01","ettaar","alle","ledig_tiltak","2014","personer","39","intro_status_arbutd"
"02","ettaar","alle","ledig_tiltak","2014","personer","13","intro_status_arbutd"
"03","ettaar","alle","ledig_tiltak","2014","personer","11","intro_status_arbutd"
"04","ettaar","alle","ledig_tiltak","2014","personer","25","intro_status_arbutd"
"05","ettaar","alle","ledig_tiltak","2014","personer","37","intro_status_arbutd"
"06","ettaar","alle","ledig_tiltak","2014","personer","26","intro_status_arbutd"
"07","ettaar","alle","ledig_tiltak","2014","personer","13","intro_status_arbutd"
"08","ettaar","alle","ledig_tiltak","2014","personer","36","intro_status_arbutd"
"09","ettaar","alle","ledig_tiltak","2014","personer","9","intro_status_arbutd"
"10","ettaar","alle","ledig_tiltak","2014","personer","18","intro_status_arbutd"
"11","ettaar","alle","ledig_tiltak","2014","personer","24","intro_status_arbutd"
