"kommune_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"0101","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"0104","ettaar","alle","alle","2014","personer","27","intro_status_arbutd"
"0105","ettaar","alle","alle","2014","personer","28","intro_status_arbutd"
"0106","ettaar","alle","alle","2014","personer","43","intro_status_arbutd"
"0111","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0118","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0119","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0121","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0122","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0123","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0124","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"0125","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0127","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0128","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0135","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0136","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0137","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0138","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0211","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"0213","ettaar","alle","alle","2014","personer","20","intro_status_arbutd"
"0214","ettaar","alle","alle","2014","personer","13","intro_status_arbutd"
"0215","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"0216","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"0217","ettaar","alle","alle","2014","personer","23","intro_status_arbutd"
"0219","ettaar","alle","alle","2014","personer","70","intro_status_arbutd"
"0220","ettaar","alle","alle","2014","personer","26","intro_status_arbutd"
"0221","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"0226","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0227","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0228","ettaar","alle","alle","2014","personer","18","intro_status_arbutd"
"0229","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"0230","ettaar","alle","alle","2014","personer","25","intro_status_arbutd"
"0231","ettaar","alle","alle","2014","personer","19","intro_status_arbutd"
"0233","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0234","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0235","ettaar","alle","alle","2014","personer","14","intro_status_arbutd"
"0236","ettaar","alle","alle","2014","personer","17","intro_status_arbutd"
"0237","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"0238","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0239","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0301","ettaar","alle","alle","2014","personer","251","intro_status_arbutd"
"0402","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"0403","ettaar","alle","alle","2014","personer","21","intro_status_arbutd"
"0412","ettaar","alle","alle","2014","personer","16","intro_status_arbutd"
"0415","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"0417","ettaar","alle","alle","2014","personer","17","intro_status_arbutd"
"0418","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0419","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0420","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"0423","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0425","ettaar","alle","alle","2014","personer","13","intro_status_arbutd"
"0426","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0427","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"0428","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"0429","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0430","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"0432","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0434","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0436","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0437","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0438","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0439","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0441","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0501","ettaar","alle","alle","2014","personer","21","intro_status_arbutd"
"0502","ettaar","alle","alle","2014","personer","36","intro_status_arbutd"
"0511","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0512","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0513","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0514","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"0515","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0516","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0517","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0519","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0520","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0521","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0522","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0528","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"0529","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0532","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0533","ettaar","alle","alle","2014","personer","20","intro_status_arbutd"
"0534","ettaar","alle","alle","2014","personer","24","intro_status_arbutd"
"0536","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0538","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"0540","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0541","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"0542","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"0543","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0544","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0545","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0602","ettaar","alle","alle","2014","personer","57","intro_status_arbutd"
"0604","ettaar","alle","alle","2014","personer","23","intro_status_arbutd"
"0605","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0612","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0615","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0616","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"0617","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0618","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0619","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0620","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0621","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0622","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0623","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"0624","ettaar","alle","alle","2014","personer","14","intro_status_arbutd"
"0625","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"0626","ettaar","alle","alle","2014","personer","25","intro_status_arbutd"
"0627","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"0628","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"0631","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0632","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0633","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0701","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"0702","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0704","ettaar","alle","alle","2014","personer","14","intro_status_arbutd"
"0706","ettaar","alle","alle","2014","personer","21","intro_status_arbutd"
"0709","ettaar","alle","alle","2014","personer","17","intro_status_arbutd"
"0711","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"0713","ettaar","alle","alle","2014","personer","13","intro_status_arbutd"
"0714","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0716","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0719","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0720","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"0722","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"0723","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"0728","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0805","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0806","ettaar","alle","alle","2014","personer","108","intro_status_arbutd"
"0807","ettaar","alle","alle","2014","personer","24","intro_status_arbutd"
"0811","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"0814","ettaar","alle","alle","2014","personer","27","intro_status_arbutd"
"0815","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"0817","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0819","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"0821","ettaar","alle","alle","2014","personer","17","intro_status_arbutd"
"0822","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"0826","ettaar","alle","alle","2014","personer","19","intro_status_arbutd"
"0827","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0828","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"0829","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0830","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0831","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"0833","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0834","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0901","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"0904","ettaar","alle","alle","2014","personer","22","intro_status_arbutd"
"0906","ettaar","alle","alle","2014","personer","19","intro_status_arbutd"
"0911","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"0912","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"0914","ettaar","alle","alle","2014","personer","16","intro_status_arbutd"
"0919","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
