"naringsregion_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"01","ettaar","alle","alle","2013","personer","8","intro_status_arbutd"
"02","ettaar","alle","alle","2013","personer","24","intro_status_arbutd"
"03","ettaar","alle","alle","2013","personer","32","intro_status_arbutd"
"04","ettaar","alle","alle","2013","personer","67","intro_status_arbutd"
"05","ettaar","alle","alle","2013","personer","51","intro_status_arbutd"
"06","ettaar","alle","alle","2013","personer","74","intro_status_arbutd"
"07","ettaar","alle","alle","2013","personer","100","intro_status_arbutd"
"08","ettaar","alle","alle","2013","personer","37","intro_status_arbutd"
"09","ettaar","alle","alle","2013","personer","270","intro_status_arbutd"
"10","ettaar","alle","alle","2013","personer","14","intro_status_arbutd"
"11","ettaar","alle","alle","2013","personer","36","intro_status_arbutd"
"12","ettaar","alle","alle","2013","personer","55","intro_status_arbutd"
"13","ettaar","alle","alle","2013","personer","29","intro_status_arbutd"
"14","ettaar","alle","alle","2013","personer","69","intro_status_arbutd"
"15","ettaar","alle","alle","2013","personer","37","intro_status_arbutd"
"16","ettaar","alle","alle","2013","personer","71","intro_status_arbutd"
"17","ettaar","alle","alle","2013","personer","9","intro_status_arbutd"
"18","ettaar","alle","alle","2013","personer","8","intro_status_arbutd"
"19","ettaar","alle","alle","2013","personer","26","intro_status_arbutd"
"20","ettaar","alle","alle","2013","personer","123","intro_status_arbutd"
"21","ettaar","alle","alle","2013","personer","21","intro_status_arbutd"
"22","ettaar","alle","alle","2013","personer","28","intro_status_arbutd"
"23","ettaar","alle","alle","2013","personer","19","intro_status_arbutd"
"24","ettaar","alle","alle","2013","personer","15","intro_status_arbutd"
"25","ettaar","alle","alle","2013","personer","52","intro_status_arbutd"
"26","ettaar","alle","alle","2013","personer","39","intro_status_arbutd"
"27","ettaar","alle","alle","2013","personer","128","intro_status_arbutd"
"28","ettaar","alle","alle","2013","personer","30","intro_status_arbutd"
"29","ettaar","alle","alle","2013","personer","20","intro_status_arbutd"
"30","ettaar","alle","alle","2013","personer","13","intro_status_arbutd"
"31","ettaar","alle","alle","2013","personer","23","intro_status_arbutd"
"32","ettaar","alle","alle","2013","personer","76","intro_status_arbutd"
"33","ettaar","alle","alle","2013","personer","40","intro_status_arbutd"
"34","ettaar","alle","alle","2013","personer","26","intro_status_arbutd"
"35","ettaar","alle","alle","2013","personer","177","intro_status_arbutd"
"36","ettaar","alle","alle","2013","personer","21","intro_status_arbutd"
"37","ettaar","alle","alle","2013","personer","100","intro_status_arbutd"
"38","ettaar","alle","alle","2013","personer","31","intro_status_arbutd"
"39","ettaar","alle","alle","2013","personer","161","intro_status_arbutd"
"40","ettaar","alle","alle","2013","personer","192","intro_status_arbutd"
"41","ettaar","alle","alle","2013","personer","14","intro_status_arbutd"
"42","ettaar","alle","alle","2013","personer","10","intro_status_arbutd"
"43","ettaar","alle","alle","2013","personer",":","intro_status_arbutd"
"44","ettaar","alle","alle","2013","personer","15","intro_status_arbutd"
"45","ettaar","alle","alle","2013","personer",":","intro_status_arbutd"
"46","ettaar","alle","alle","2013","personer","36","intro_status_arbutd"
"47","ettaar","alle","alle","2013","personer","40","intro_status_arbutd"
"48","ettaar","alle","alle","2013","personer","0","intro_status_arbutd"
"49","ettaar","alle","alle","2013","personer","25","intro_status_arbutd"
"50","ettaar","alle","alle","2013","personer","42","intro_status_arbutd"
"51","ettaar","alle","alle","2013","personer","32","intro_status_arbutd"
"52","ettaar","alle","alle","2013","personer","56","intro_status_arbutd"
"53","ettaar","alle","alle","2013","personer","30","intro_status_arbutd"
"54","ettaar","alle","alle","2013","personer","15","intro_status_arbutd"
"55","ettaar","alle","alle","2013","personer","45","intro_status_arbutd"
"56","ettaar","alle","alle","2013","personer","42","intro_status_arbutd"
"57","ettaar","alle","alle","2013","personer","5","intro_status_arbutd"
"58","ettaar","alle","alle","2013","personer","7","intro_status_arbutd"
"59","ettaar","alle","alle","2013","personer","6","intro_status_arbutd"
"60","ettaar","alle","alle","2013","personer","18","intro_status_arbutd"
"61","ettaar","alle","alle","2013","personer","181","intro_status_arbutd"
"62","ettaar","alle","alle","2013","personer","4","intro_status_arbutd"
"63","ettaar","alle","alle","2013","personer","34","intro_status_arbutd"
"64","ettaar","alle","alle","2013","personer","94","intro_status_arbutd"
"65","ettaar","alle","alle","2013","personer","12","intro_status_arbutd"
"66","ettaar","alle","alle","2013","personer","26","intro_status_arbutd"
"67","ettaar","alle","alle","2013","personer","39","intro_status_arbutd"
"68","ettaar","alle","alle","2013","personer","12","intro_status_arbutd"
"69","ettaar","alle","alle","2013","personer","22","intro_status_arbutd"
"70","ettaar","alle","alle","2013","personer","0","intro_status_arbutd"
"71","ettaar","alle","alle","2013","personer","28","intro_status_arbutd"
"72","ettaar","alle","alle","2013","personer","30","intro_status_arbutd"
"73","ettaar","alle","alle","2013","personer","117","intro_status_arbutd"
"74","ettaar","alle","alle","2013","personer","25","intro_status_arbutd"
"75","ettaar","alle","alle","2013","personer","42","intro_status_arbutd"
"76","ettaar","alle","alle","2013","personer","72","intro_status_arbutd"
"77","ettaar","alle","alle","2013","personer","27","intro_status_arbutd"
"78","ettaar","alle","alle","2013","personer","49","intro_status_arbutd"
"79","ettaar","alle","alle","2013","personer","100","intro_status_arbutd"
"80","ettaar","alle","alle","2013","personer","13","intro_status_arbutd"
"81","ettaar","alle","alle","2013","personer","41","intro_status_arbutd"
"82","ettaar","alle","alle","2013","personer",":","intro_status_arbutd"
"83","ettaar","alle","alle","2013","personer","38","intro_status_arbutd"
"99","ettaar","alle","alle","2013","personer","43","intro_status_arbutd"
"01","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"02","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"03","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"04","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"05","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"06","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"07","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"08","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"09","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"10","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"11","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"12","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"13","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"14","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"15","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"16","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"17","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"18","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"19","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"20","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"21","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"22","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"23","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"24","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"25","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"26","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"27","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"28","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"29","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"30","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"31","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"32","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"33","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"34","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"35","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"36","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"37","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"38","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"39","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"40","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"41","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"42","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"43","ettaar","alle","alle","2013","prosent",":","intro_status_arbutd"
"44","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"45","ettaar","alle","alle","2013","prosent",":","intro_status_arbutd"
"46","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"47","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"48","ettaar","alle","alle","2013","prosent","0","intro_status_arbutd"
"49","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"50","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"51","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"52","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"53","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"54","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"55","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"56","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"57","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"58","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"59","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"60","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"61","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"62","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"63","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"64","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"65","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"66","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"67","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"68","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"69","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"70","ettaar","alle","alle","2013","prosent","0","intro_status_arbutd"
"71","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"72","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"73","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"74","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"75","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"76","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"77","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"78","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"79","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"80","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"81","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"82","ettaar","alle","alle","2013","prosent",":","intro_status_arbutd"
"83","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"99","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"01","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"02","ettaar","alle","arbutd","2013","personer","18","intro_status_arbutd"
"03","ettaar","alle","arbutd","2013","personer","19","intro_status_arbutd"
"04","ettaar","alle","arbutd","2013","personer","26","intro_status_arbutd"
