"aar","fylke_nr","rettigheter_introlov_nosfk","kjonn","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2015","00","alle","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","alle","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","alle","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","rett","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","rett","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","rett","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","rett_og_plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","rett_og_plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","00","rett_og_plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","alle","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","alle","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","alle","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","rett","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","rett","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","rett","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","rett_og_plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","rett_og_plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","01","rett_og_plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","alle","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","alle","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","alle","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","rett","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","rett","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","rett","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","rett_og_plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","rett_og_plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","02","rett_og_plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","alle","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","alle","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","alle","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","rett","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","rett","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","rett","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","rett_og_plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","rett_og_plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","03","rett_og_plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","alle","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","alle","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","alle","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","rett","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","rett","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","rett","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","rett_og_plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","rett_og_plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","04","rett_og_plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","alle","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","alle","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","alle","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","rett","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","rett","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","rett","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","rett_og_plikt","0","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","rett_og_plikt","1","personer",".","norsk_deltakere","NULL","NULL"
"2015","05","rett_og_plikt","alle","personer",".","norsk_deltakere","NULL","NULL"
"2015","06","alle","0","personer",".","norsk_deltakere","NULL","NULL"
