"fylke_nr","spraaknivaa","provetype","enhet","tabellvariabel","aar","tabell_navn"
"00","alle","alle","personer","37139",2014,"norsk_prover"
"01","alle","alle","personer","1262",2014,"norsk_prover"
"02","alle","alle","personer","4585",2014,"norsk_prover"
"03","alle","alle","personer","9275",2014,"norsk_prover"
"04","alle","alle","personer","787",2014,"norsk_prover"
"05","alle","alle","personer","1474",2014,"norsk_prover"
"06","alle","alle","personer","2024",2014,"norsk_prover"
"07","alle","alle","personer","786",2014,"norsk_prover"
"08","alle","alle","personer","1241",2014,"norsk_prover"
"09","alle","alle","personer","839",2014,"norsk_prover"
"10","alle","alle","personer","870",2014,"norsk_prover"
"11","alle","alle","personer","3064",2014,"norsk_prover"
"12","alle","alle","personer","3214",2014,"norsk_prover"
"14","alle","alle","personer","776",2014,"norsk_prover"
"15","alle","alle","personer","1329",2014,"norsk_prover"
"16","alle","alle","personer","1273",2014,"norsk_prover"
"17","alle","alle","personer","655",2014,"norsk_prover"
"18","alle","alle","personer","1288",2014,"norsk_prover"
"19","alle","alle","personer","1376",2014,"norsk_prover"
"20","alle","alle","personer","997",2014,"norsk_prover"
"99","alle","alle","personer","24",2014,"norsk_prover"
"00","alle","muntlig","personer","8050",2014,"norsk_prover"
"01","alle","muntlig","personer","259",2014,"norsk_prover"
"02","alle","muntlig","personer","969",2014,"norsk_prover"
"03","alle","muntlig","personer","1882",2014,"norsk_prover"
"04","alle","muntlig","personer","158",2014,"norsk_prover"
"05","alle","muntlig","personer","316",2014,"norsk_prover"
"06","alle","muntlig","personer","468",2014,"norsk_prover"
"07","alle","muntlig","personer","167",2014,"norsk_prover"
"08","alle","muntlig","personer","295",2014,"norsk_prover"
"09","alle","muntlig","personer","186",2014,"norsk_prover"
"10","alle","muntlig","personer","196",2014,"norsk_prover"
"11","alle","muntlig","personer","674",2014,"norsk_prover"
"12","alle","muntlig","personer","713",2014,"norsk_prover"
"14","alle","muntlig","personer","170",2014,"norsk_prover"
"15","alle","muntlig","personer","289",2014,"norsk_prover"
"16","alle","muntlig","personer","313",2014,"norsk_prover"
"17","alle","muntlig","personer","143",2014,"norsk_prover"
"18","alle","muntlig","personer","309",2014,"norsk_prover"
"19","alle","muntlig","personer","303",2014,"norsk_prover"
"20","alle","muntlig","personer","234",2014,"norsk_prover"
"99","alle","muntlig","personer","6",2014,"norsk_prover"
"00","alle","lytting","personer","9694",2014,"norsk_prover"
"01","alle","lytting","personer","334",2014,"norsk_prover"
"02","alle","lytting","personer","1204",2014,"norsk_prover"
"03","alle","lytting","personer","2464",2014,"norsk_prover"
"04","alle","lytting","personer","209",2014,"norsk_prover"
"05","alle","lytting","personer","385",2014,"norsk_prover"
"06","alle","lytting","personer","518",2014,"norsk_prover"
"07","alle","lytting","personer","207",2014,"norsk_prover"
"08","alle","lytting","personer","315",2014,"norsk_prover"
"09","alle","lytting","personer","218",2014,"norsk_prover"
"10","alle","lytting","personer","225",2014,"norsk_prover"
"11","alle","lytting","personer","796",2014,"norsk_prover"
"12","alle","lytting","personer","832",2014,"norsk_prover"
"14","alle","lytting","personer","202",2014,"norsk_prover"
"15","alle","lytting","personer","347",2014,"norsk_prover"
"16","alle","lytting","personer","320",2014,"norsk_prover"
"17","alle","lytting","personer","171",2014,"norsk_prover"
"18","alle","lytting","personer","328",2014,"norsk_prover"
"19","alle","lytting","personer","359",2014,"norsk_prover"
"20","alle","lytting","personer","255",2014,"norsk_prover"
"99","alle","lytting","personer","5",2014,"norsk_prover"
"00","alle","lese","personer","9698",2014,"norsk_prover"
"01","alle","lese","personer","335",2014,"norsk_prover"
"02","alle","lese","personer","1206",2014,"norsk_prover"
