"fylke_nr","provetype","enhet","aar","tabell_navn","spraaknivaa","tabellvariabel"
"00","lese","personer","2015","norsk_prover","a1","1205"
"00","lese","prosent","2015","norsk_prover","a1","15"
"00","lytting","personer","2015","norsk_prover","a1","810"
"00","lytting","prosent","2015","norsk_prover","a1","10"
"00","muntlig","personer","2015","norsk_prover","a1","717"
"00","muntlig","prosent","2015","norsk_prover","a1","9"
"00","skriftlig","personer","2015","norsk_prover","a1","1879"
"00","skriftlig","prosent","2015","norsk_prover","a1","21"
"01","lese","personer","2015","norsk_prover","a1","28"
"01","lese","prosent","2015","norsk_prover","a1","12"
"01","lytting","personer","2015","norsk_prover","a1","14"
"01","lytting","prosent","2015","norsk_prover","a1","6"
"01","muntlig","personer","2015","norsk_prover","a1","9"
"01","muntlig","prosent","2015","norsk_prover","a1","4"
"01","skriftlig","personer","2015","norsk_prover","a1","57"
"01","skriftlig","prosent","2015","norsk_prover","a1","22"
"02","lese","personer","2015","norsk_prover","a1","113"
"02","lese","prosent","2015","norsk_prover","a1","10"
"02","lytting","personer","2015","norsk_prover","a1","80"
"02","lytting","prosent","2015","norsk_prover","a1","7"
"02","muntlig","personer","2015","norsk_prover","a1","53"
"02","muntlig","prosent","2015","norsk_prover","a1","5"
"02","skriftlig","personer","2015","norsk_prover","a1","179"
"02","skriftlig","prosent","2015","norsk_prover","a1","14"
"03","lese","personer","2015","norsk_prover","a1","136"
"03","lese","prosent","2015","norsk_prover","a1","9"
"03","lytting","personer","2015","norsk_prover","a1","93"
"03","lytting","prosent","2015","norsk_prover","a1","6"
"03","muntlig","personer","2015","norsk_prover","a1","78"
"03","muntlig","prosent","2015","norsk_prover","a1","5"
"03","skriftlig","personer","2015","norsk_prover","a1","236"
"03","skriftlig","prosent","2015","norsk_prover","a1","13"
"04","lese","personer","2015","norsk_prover","a1","48"
"04","lese","prosent","2015","norsk_prover","a1","24"
"04","lytting","personer","2015","norsk_prover","a1","31"
"04","lytting","prosent","2015","norsk_prover","a1","16"
"04","muntlig","personer","2015","norsk_prover","a1","23"
"04","muntlig","prosent","2015","norsk_prover","a1","12"
"04","skriftlig","personer","2015","norsk_prover","a1","63"
"04","skriftlig","prosent","2015","norsk_prover","a1","29"
"05","lese","personer","2015","norsk_prover","a1","53"
"05","lese","prosent","2015","norsk_prover","a1","21"
"05","lytting","personer","2015","norsk_prover","a1","34"
"05","lytting","prosent","2015","norsk_prover","a1","13"
"05","muntlig","personer","2015","norsk_prover","a1","35"
"05","muntlig","prosent","2015","norsk_prover","a1","13"
"05","skriftlig","personer","2015","norsk_prover","a1","78"
"05","skriftlig","prosent","2015","norsk_prover","a1","26"
"06","lese","personer","2015","norsk_prover","a1","56"
"06","lese","prosent","2015","norsk_prover","a1","14"
"06","lytting","personer","2015","norsk_prover","a1","36"
"06","lytting","prosent","2015","norsk_prover","a1","9"
"06","muntlig","personer","2015","norsk_prover","a1","32"
"06","muntlig","prosent","2015","norsk_prover","a1","8"
"06","skriftlig","personer","2015","norsk_prover","a1","94"
"06","skriftlig","prosent","2015","norsk_prover","a1","21"
"07","lese","personer","2015","norsk_prover","a1","26"
"07","lese","prosent","2015","norsk_prover","a1","13"
"07","lytting","personer","2015","norsk_prover","a1","24"
"07","lytting","prosent","2015","norsk_prover","a1","12"
"07","muntlig","personer","2015","norsk_prover","a1","19"
"07","muntlig","prosent","2015","norsk_prover","a1","10"
"07","skriftlig","personer","2015","norsk_prover","a1","46"
"07","skriftlig","prosent","2015","norsk_prover","a1","21"
"08","lese","personer","2015","norsk_prover","a1","66"
"08","lese","prosent","2015","norsk_prover","a1","23"
"08","lytting","personer","2015","norsk_prover","a1","38"
"08","lytting","prosent","2015","norsk_prover","a1","13"
"08","muntlig","personer","2015","norsk_prover","a1","34"
"08","muntlig","prosent","2015","norsk_prover","a1","12"
"08","skriftlig","personer","2015","norsk_prover","a1","97"
"08","skriftlig","prosent","2015","norsk_prover","a1","31"
"09","lese","personer","2015","norsk_prover","a1","32"
"09","lese","prosent","2015","norsk_prover","a1","20"
"09","lytting","personer","2015","norsk_prover","a1","17"
"09","lytting","prosent","2015","norsk_prover","a1","11"
"09","muntlig","personer","2015","norsk_prover","a1","22"
"09","muntlig","prosent","2015","norsk_prover","a1","13"
"09","skriftlig","personer","2015","norsk_prover","a1","38"
"09","skriftlig","prosent","2015","norsk_prover","a1","21"
"10","lese","personer","2015","norsk_prover","a1","51"
"10","lese","prosent","2015","norsk_prover","a1","19"
"10","lytting","personer","2015","norsk_prover","a1","32"
"10","lytting","prosent","2015","norsk_prover","a1","12"
"10","muntlig","personer","2015","norsk_prover","a1","13"
"10","muntlig","prosent","2015","norsk_prover","a1","5"
"10","skriftlig","personer","2015","norsk_prover","a1","72"
"10","skriftlig","prosent","2015","norsk_prover","a1","26"
"11","lese","personer","2015","norsk_prover","a1","105"
"11","lese","prosent","2015","norsk_prover","a1","13"
"11","lytting","personer","2015","norsk_prover","a1","64"
"11","lytting","prosent","2015","norsk_prover","a1","8"
"11","muntlig","personer","2015","norsk_prover","a1","89"
"11","muntlig","prosent","2015","norsk_prover","a1","11"
"11","skriftlig","personer","2015","norsk_prover","a1","164"
"11","skriftlig","prosent","2015","norsk_prover","a1","19"
"12","lese","personer","2015","norsk_prover","a1","101"
"12","lese","prosent","2015","norsk_prover","a1","15"
"12","lytting","personer","2015","norsk_prover","a1","68"
"12","lytting","prosent","2015","norsk_prover","a1","10"
"12","muntlig","personer","2015","norsk_prover","a1","84"
"12","muntlig","prosent","2015","norsk_prover","a1","12"
"12","skriftlig","personer","2015","norsk_prover","a1","172"
"12","skriftlig","prosent","2015","norsk_prover","a1","23"
"14","lese","personer","2015","norsk_prover","a1","29"
"14","lese","prosent","2015","norsk_prover","a1","20"
"14","lytting","personer","2015","norsk_prover","a1","14"
"14","lytting","prosent","2015","norsk_prover","a1","10"
"14","muntlig","personer","2015","norsk_prover","a1","15"
"14","muntlig","prosent","2015","norsk_prover","a1","10"
"14","skriftlig","personer","2015","norsk_prover","a1","49"
"14","skriftlig","prosent","2015","norsk_prover","a1","32"
"15","lese","personer","2015","norsk_prover","a1","54"
"15","lese","prosent","2015","norsk_prover","a1","16"
"15","lytting","personer","2015","norsk_prover","a1","31"
"15","lytting","prosent","2015","norsk_prover","a1","9"
"15","muntlig","personer","2015","norsk_prover","a1","20"
"15","muntlig","prosent","2015","norsk_prover","a1","6"
"15","skriftlig","personer","2015","norsk_prover","a1","95"
"15","skriftlig","prosent","2015","norsk_prover","a1","26"
"16","lese","personer","2015","norsk_prover","a1","63"
"16","lese","prosent","2015","norsk_prover","a1","17"
"16","lytting","personer","2015","norsk_prover","a1","45"
"16","lytting","prosent","2015","norsk_prover","a1","12"
"16","muntlig","personer","2015","norsk_prover","a1","53"
"16","muntlig","prosent","2015","norsk_prover","a1","15"
"16","skriftlig","personer","2015","norsk_prover","a1","117"
"16","skriftlig","prosent","2015","norsk_prover","a1","30"
