"kommune_nr","spraaknivaa","provetype","enhet","aar","tabellvariabel","tabell_navn"
"0101","alle","muntlig","personer","2015","29","norsk_prover"
"0104","alle","muntlig","personer","2015","35","norsk_prover"
"0105","alle","muntlig","personer","2015","51","norsk_prover"
"0106","alle","muntlig","personer","2015","84","norsk_prover"
"0124","alle","muntlig","personer","2015","35","norsk_prover"
"0231","alle","muntlig","personer","2015","47","norsk_prover"
"0214","alle","muntlig","personer","2015","79","norsk_prover"
"0216","alle","muntlig","personer","2015","16","norsk_prover"
"0217","alle","muntlig","personer","2015","31","norsk_prover"
"0219","alle","muntlig","personer","2015","256","norsk_prover"
"0220","alle","muntlig","personer","2015","132","norsk_prover"
"0221","alle","muntlig","personer","2015","21","norsk_prover"
"0226","alle","muntlig","personer","2015","22","norsk_prover"
"0228","alle","muntlig","personer","2015","6","norsk_prover"
"0230","alle","muntlig","personer","2015","172","norsk_prover"
"0231","alle","muntlig","personer","2015","162","norsk_prover"
"0233","alle","muntlig","personer","2015","25","norsk_prover"
"0235","alle","muntlig","personer","2015","93","norsk_prover"
"0301","alle","muntlig","personer","2015","1559","norsk_prover"
"0402","alle","muntlig","personer","2015","22","norsk_prover"
"0403","alle","muntlig","personer","2015","31","norsk_prover"
"0412","alle","muntlig","personer","2015","19","norsk_prover"
"0415","alle","muntlig","personer","2015","13","norsk_prover"
"0417","alle","muntlig","personer","2015","26","norsk_prover"
"0425","alle","muntlig","personer","2015","16","norsk_prover"
"0427","alle","muntlig","personer","2015","29","norsk_prover"
"0428","alle","muntlig","personer","2015","3","norsk_prover"
"0430","alle","muntlig","personer","2015","8","norsk_prover"
"0432","alle","muntlig","personer","2015","3","norsk_prover"
"0434","alle","muntlig","personer","2015",":","norsk_prover"
"0437","alle","muntlig","personer","2015","23","norsk_prover"
"0501","alle","muntlig","personer","2015","43","norsk_prover"
"0502","alle","muntlig","personer","2015","57","norsk_prover"
"0513","alle","muntlig","personer","2015",":","norsk_prover"
"0514","alle","muntlig","personer","2015",":","norsk_prover"
"0515","alle","muntlig","personer","2015",":","norsk_prover"
"0516","alle","muntlig","personer","2015",":","norsk_prover"
"0517","alle","muntlig","personer","2015","28","norsk_prover"
"0520","alle","muntlig","personer","2015","3","norsk_prover"
"0521","alle","muntlig","personer","2015","1","norsk_prover"
"0528","alle","muntlig","personer","2015","9","norsk_prover"
"0529","alle","muntlig","personer","2015","25","norsk_prover"
