"kommune_nr","provetype","enhet","aar","tabell_navn","spraaknivaa","tabellvariabel"
"0101","lese","personer","2015","norsk_prover","a1","3"
"0101","lese","prosent","2015","norsk_prover","a1","12"
"0101","lytting","personer","2015","norsk_prover","a1","2"
"0101","lytting","prosent","2015","norsk_prover","a1","7"
"0101","muntlig","personer","2015","norsk_prover","a1","0"
"0101","muntlig","prosent","2015","norsk_prover","a1","0"
"0101","skriftlig","personer","2015","norsk_prover","a1","7"
"0101","skriftlig","prosent","2015","norsk_prover","a1","23"
"0104","lese","personer","2015","norsk_prover","a1","4"
"0104","lese","prosent","2015","norsk_prover","a1","12"
"0104","lytting","personer","2015","norsk_prover","a1","2"
"0104","lytting","prosent","2015","norsk_prover","a1","6"
"0104","muntlig","personer","2015","norsk_prover","a1","0"
"0104","muntlig","prosent","2015","norsk_prover","a1","0"
"0104","skriftlig","personer","2015","norsk_prover","a1","10"
"0104","skriftlig","prosent","2015","norsk_prover","a1","26"
"0105","lese","personer","2015","norsk_prover","a1","7"
"0105","lese","prosent","2015","norsk_prover","a1","14"
"0105","lytting","personer","2015","norsk_prover","a1","5"
"0105","lytting","prosent","2015","norsk_prover","a1","10"
"0105","muntlig","personer","2015","norsk_prover","a1","0"
"0105","muntlig","prosent","2015","norsk_prover","a1","0"
"0105","skriftlig","personer","2015","norsk_prover","a1","14"
"0105","skriftlig","prosent","2015","norsk_prover","a1","26"
"0106","lese","personer","2015","norsk_prover","a1","9"
"0106","lese","prosent","2015","norsk_prover","a1","10"
"0106","lytting","personer","2015","norsk_prover","a1","2"
"0106","lytting","prosent","2015","norsk_prover","a1","2"
"0106","muntlig","personer","2015","norsk_prover","a1","6"
"0106","muntlig","prosent","2015","norsk_prover","a1","7"
"0106","skriftlig","personer","2015","norsk_prover","a1","18"
"0106","skriftlig","prosent","2015","norsk_prover","a1","18"
"0124","lese","personer","2015","norsk_prover","a1","6"
"0124","lese","prosent","2015","norsk_prover","a1","17"
"0124","lytting","personer","2015","norsk_prover","a1","3"
"0124","lytting","prosent","2015","norsk_prover","a1","8"
"0124","muntlig","personer","2015","norsk_prover","a1","4"
"0124","muntlig","prosent","2015","norsk_prover","a1","11"
"0124","skriftlig","personer","2015","norsk_prover","a1","8"
"0124","skriftlig","prosent","2015","norsk_prover","a1","22"
"0213","lese","personer","2015","norsk_prover","a1","13"
"0213","lese","prosent","2015","norsk_prover","a1","24"
"0213","lytting","personer","2015","norsk_prover","a1","8"
"0213","lytting","prosent","2015","norsk_prover","a1","15"
"0213","muntlig","personer","2015","norsk_prover","a1","3"
"0213","muntlig","prosent","2015","norsk_prover","a1","6"
"0213","skriftlig","personer","2015","norsk_prover","a1","7"
"0213","skriftlig","prosent","2015","norsk_prover","a1","12"
"0214","lese","personer","2015","norsk_prover","a1","3"
"0214","lese","prosent","2015","norsk_prover","a1","3"
"0214","lytting","personer","2015","norsk_prover","a1","9"
"0214","lytting","prosent","2015","norsk_prover","a1","10"
"0214","muntlig","personer","2015","norsk_prover","a1","2"
"0214","muntlig","prosent","2015","norsk_prover","a1","3"
"0214","skriftlig","personer","2015","norsk_prover","a1","10"
"0214","skriftlig","prosent","2015","norsk_prover","a1","11"
"0216","lese","personer","2015","norsk_prover","a1","2"
"0216","lese","prosent","2015","norsk_prover","a1","9"
"0216","lytting","personer","2015","norsk_prover","a1","0"
"0216","lytting","prosent","2015","norsk_prover","a1","0"
"0216","muntlig","personer","2015","norsk_prover","a1","0"
"0216","muntlig","prosent","2015","norsk_prover","a1","0"
"0216","skriftlig","personer","2015","norsk_prover","a1","4"
"0216","skriftlig","prosent","2015","norsk_prover","a1","16"
"0217","lese","personer","2015","norsk_prover","a1","9"
"0217","lese","prosent","2015","norsk_prover","a1","26"
"0217","lytting","personer","2015","norsk_prover","a1","5"
"0217","lytting","prosent","2015","norsk_prover","a1","15"
"0217","muntlig","personer","2015","norsk_prover","a1","2"
"0217","muntlig","prosent","2015","norsk_prover","a1","6"
"0217","skriftlig","personer","2015","norsk_prover","a1","15"
"0217","skriftlig","prosent","2015","norsk_prover","a1","38"
"0219","lese","personer","2015","norsk_prover","a1","19"
"0219","lese","prosent","2015","norsk_prover","a1","7"
"0219","lytting","personer","2015","norsk_prover","a1","12"
"0219","lytting","prosent","2015","norsk_prover","a1","4"
"0219","muntlig","personer","2015","norsk_prover","a1","13"
"0219","muntlig","prosent","2015","norsk_prover","a1","5"
"0219","skriftlig","personer","2015","norsk_prover","a1","37"
"0219","skriftlig","prosent","2015","norsk_prover","a1","11"
"0220","lese","personer","2015","norsk_prover","a1","11"
"0220","lese","prosent","2015","norsk_prover","a1","8"
