"tabell_navn","aar","kommune_nr","fylke_nr","bydel_nr","naringsregion_nr","innvkat_3","kjonn","enhet","tabellvariabel"
"sosialhjelp","2013","NULL","00","NULL","NULL","alle","alle","personer","117988"
"sosialhjelp","2013","NULL","00","NULL","NULL","alle","alle","prosent","2.96"
"sosialhjelp","2013","NULL","00","NULL","NULL","alle","1","personer","65072"
"sosialhjelp","2013","NULL","00","NULL","NULL","alle","1","prosent","3.27"
"sosialhjelp","2013","NULL","00","NULL","NULL","alle","0","personer","52916"
"sosialhjelp","2013","NULL","00","NULL","NULL","alle","0","prosent","2.66"
"sosialhjelp","2013","NULL","00","NULL","NULL","befolkningen_ellers","alle","personer","76079"
"sosialhjelp","2013","NULL","00","NULL","NULL","befolkningen_ellers","alle","prosent","2.23"
"sosialhjelp","2013","NULL","00","NULL","NULL","befolkningen_ellers","1","personer","42253"
"sosialhjelp","2013","NULL","00","NULL","NULL","befolkningen_ellers","1","prosent","2.50"
"sosialhjelp","2013","NULL","00","NULL","NULL","befolkningen_ellers","0","personer","33826"
"sosialhjelp","2013","NULL","00","NULL","NULL","befolkningen_ellers","0","prosent","1.96"
"sosialhjelp","2013","NULL","00","NULL","NULL","innvandrere","alle","personer","41909"
"sosialhjelp","2013","NULL","00","NULL","NULL","innvandrere","alle","prosent","7.39"
"sosialhjelp","2013","NULL","00","NULL","NULL","innvandrere","1","personer","22819"
"sosialhjelp","2013","NULL","00","NULL","NULL","innvandrere","1","prosent","7.67"
"sosialhjelp","2013","NULL","00","NULL","NULL","innvandrere","0","personer","19090"
"sosialhjelp","2013","NULL","00","NULL","NULL","innvandrere","0","prosent","7.09"
"sosialhjelp","2013","NULL","01","NULL","NULL","alle","alle","personer","8501"
"sosialhjelp","2013","NULL","01","NULL","NULL","alle","alle","prosent","3.80"
"sosialhjelp","2013","NULL","01","NULL","NULL","alle","1","personer","4623"
"sosialhjelp","2013","NULL","01","NULL","NULL","alle","1","prosent","4.18"
"sosialhjelp","2013","NULL","01","NULL","NULL","alle","0","personer","3878"
"sosialhjelp","2013","NULL","01","NULL","NULL","alle","0","prosent","3.43"
"sosialhjelp","2013","NULL","01","NULL","NULL","befolkningen_ellers","alle","personer","5540"
"sosialhjelp","2013","NULL","01","NULL","NULL","befolkningen_ellers","alle","prosent","2.86"
"sosialhjelp","2013","NULL","01","NULL","NULL","befolkningen_ellers","1","personer","2992"
"sosialhjelp","2013","NULL","01","NULL","NULL","befolkningen_ellers","1","prosent","3.15"
"sosialhjelp","2013","NULL","01","NULL","NULL","befolkningen_ellers","0","personer","2548"
"sosialhjelp","2013","NULL","01","NULL","NULL","befolkningen_ellers","0","prosent","2.58"
"sosialhjelp","2013","NULL","01","NULL","NULL","innvandrere","alle","personer","2961"
"sosialhjelp","2013","NULL","01","NULL","NULL","innvandrere","alle","prosent","9.88"
"sosialhjelp","2013","NULL","01","NULL","NULL","innvandrere","1","personer","1631"
"sosialhjelp","2013","NULL","01","NULL","NULL","innvandrere","1","prosent","10.46"
"sosialhjelp","2013","NULL","01","NULL","NULL","innvandrere","0","personer","1330"
"sosialhjelp","2013","NULL","01","NULL","NULL","innvandrere","0","prosent","9.25"
"sosialhjelp","2013","NULL","02","NULL","NULL","alle","alle","personer","10049"
"sosialhjelp","2013","NULL","02","NULL","NULL","alle","alle","prosent","2.30"
"sosialhjelp","2013","NULL","02","NULL","NULL","alle","1","personer","5450"
"sosialhjelp","2013","NULL","02","NULL","NULL","alle","1","prosent","2.51"
"sosialhjelp","2013","NULL","02","NULL","NULL","alle","0","personer","4599"
"sosialhjelp","2013","NULL","02","NULL","NULL","alle","0","prosent","2.08"
"sosialhjelp","2013","NULL","02","NULL","NULL","befolkningen_ellers","alle","personer","5797"
"sosialhjelp","2013","NULL","02","NULL","NULL","befolkningen_ellers","alle","prosent","1.59"
"sosialhjelp","2013","NULL","02","NULL","NULL","befolkningen_ellers","1","personer","3208"
