"aar","kommune_nr","botid_5","tabellvariabel","tabell_navn","enhet"
"2006","0935","5_9","0","sysselsatte_botid","personer"
"2006","1252","10+","0","sysselsatte_botid","personer"
"2006","1839","10+","0","sysselsatte_botid","personer"
"2006","1845","0_4","0","sysselsatte_botid","personer"
"2007","0935","5_9","0","sysselsatte_botid","personer"
"2007","1252","10+","0","sysselsatte_botid","personer"
"2007","1839","0_4","0","sysselsatte_botid","personer"
"2007","1839","10+","0","sysselsatte_botid","personer"
"2007","1920","0_4","0","sysselsatte_botid","personer"
"2008","0938","5_9","0","sysselsatte_botid","personer"
"2008","1227","5_9","0","sysselsatte_botid","personer"
"2008","1633","0_4","0","sysselsatte_botid","personer"
"2008","1839","0_4","0","sysselsatte_botid","personer"
"2009","1227","5_9","0","sysselsatte_botid","personer"
"2009","1633","5_9","0","sysselsatte_botid","personer"
"2009","1748","5_9","0","sysselsatte_botid","personer"
"2009","1839","0_4","0","sysselsatte_botid","personer"
"2010","1743","10+","0","sysselsatte_botid","personer"
"2011","1743","10+","0","sysselsatte_botid","personer"
"2006","0827","5_9","0","sysselsatte_botid","personer"
"2006","0938","0_4","0","sysselsatte_botid","personer"
"2006","1026","5_9","0","sysselsatte_botid","personer"
"2006","1227","0_4","0","sysselsatte_botid","personer"
"2006","1234","0_4","0","sysselsatte_botid","personer"
"2006","1252","0_4","0","sysselsatte_botid","personer"
"2006","1252","alle","0","sysselsatte_botid","personer"
"2006","1632","10+","0","sysselsatte_botid","personer"
"2006","1633","10+","0","sysselsatte_botid","personer"
"2006","1665","5_9","0","sysselsatte_botid","personer"
"2006","1723","10+","0","sysselsatte_botid","personer"
"2006","1723","5_9","0","sysselsatte_botid","personer"
"2006","1755","5_9","0","sysselsatte_botid","personer"
"2006","1811","5_9","0","sysselsatte_botid","personer"
"2006","1835","10+","0","sysselsatte_botid","personer"
"2006","1852","0_4","0","sysselsatte_botid","personer"
"2006","1857","10+","0","sysselsatte_botid","personer"
"2006","1857","5_9","0","sysselsatte_botid","personer"
"2006","1943","5_9","0","sysselsatte_botid","personer"
"2007","1151","0_4","0","sysselsatte_botid","personer"
"2007","1227","0_4","0","sysselsatte_botid","personer"
"2007","1227","5_9","0","sysselsatte_botid","personer"
"2007","1266","5_9","0","sysselsatte_botid","personer"
"2007","1444","5_9","0","sysselsatte_botid","personer"
"2007","1632","5_9","0","sysselsatte_botid","personer"
"2007","1633","10+","0","sysselsatte_botid","personer"
"2007","1723","10+","0","sysselsatte_botid","personer"
"2007","1740","5_9","0","sysselsatte_botid","personer"
"2007","1743","10+","0","sysselsatte_botid","personer"
"2007","1748","5_9","0","sysselsatte_botid","personer"
"2007","1749","5_9","0","sysselsatte_botid","personer"
"2007","1755","5_9","0","sysselsatte_botid","personer"
"2007","1816","5_9","0","sysselsatte_botid","personer"
"2007","1857","5_9","0","sysselsatte_botid","personer"
"2007","1929","10+","0","sysselsatte_botid","personer"
"2008","0118","5_9","0","sysselsatte_botid","personer"
"2008","1252","0_4","0","sysselsatte_botid","personer"
"2008","1252","5_9","0","sysselsatte_botid","personer"
"2008","1613","5_9","0","sysselsatte_botid","personer"
"2008","1632","5_9","0","sysselsatte_botid","personer"
"2008","1633","10+","0","sysselsatte_botid","personer"
"2008","1633","alle","0","sysselsatte_botid","personer"
"2008","1743","10+","0","sysselsatte_botid","personer"
"2008","1749","5_9","0","sysselsatte_botid","personer"
"2008","1755","5_9","0","sysselsatte_botid","personer"
"2008","1835","5_9","0","sysselsatte_botid","personer"
"2008","1839","5_9","0","sysselsatte_botid","personer"
"2008","1856","5_9","0","sysselsatte_botid","personer"
"2008","1920","5_9","0","sysselsatte_botid","personer"
"2009","0118","5_9","0","sysselsatte_botid","personer"
