"aar","naringsregion_nr","vreg_3","botid_5","tabellvariabel","tabell_navn","enhet"
"2006","01","1","0_4","79","sysselsatte_botid_land","personer"
"2006","01","1","10+","284","sysselsatte_botid_land","personer"
"2006","01","1","5_9","81","sysselsatte_botid_land","personer"
"2006","01","1","alle","444","sysselsatte_botid_land","personer"
"2006","01","2","0_4","56","sysselsatte_botid_land","personer"
"2006","01","2","10+","237","sysselsatte_botid_land","personer"
"2006","01","2","5_9","96","sysselsatte_botid_land","personer"
"2006","01","2","alle","389","sysselsatte_botid_land","personer"
"2006","01","alle","0_4","135","sysselsatte_botid_land","personer"
"2006","01","alle","10+","521","sysselsatte_botid_land","personer"
"2006","01","alle","5_9","177","sysselsatte_botid_land","personer"
"2006","01","alle","alle","833","sysselsatte_botid_land","personer"
"2006","02","1","0_4","254","sysselsatte_botid_land","personer"
"2006","02","1","10+","416","sysselsatte_botid_land","personer"
"2006","02","1","5_9","145","sysselsatte_botid_land","personer"
"2006","02","1","alle","815","sysselsatte_botid_land","personer"
"2006","02","2","0_4","177","sysselsatte_botid_land","personer"
"2006","02","2","10+","601","sysselsatte_botid_land","personer"
"2006","02","2","5_9","267","sysselsatte_botid_land","personer"
"2006","02","2","alle","1045","sysselsatte_botid_land","personer"
"2006","02","alle","0_4","431","sysselsatte_botid_land","personer"
"2006","02","alle","10+","1017","sysselsatte_botid_land","personer"
"2006","02","alle","5_9","412","sysselsatte_botid_land","personer"
"2006","02","alle","alle","1860","sysselsatte_botid_land","personer"
"2006","03","1","0_4","242","sysselsatte_botid_land","personer"
"2006","03","1","10+","547","sysselsatte_botid_land","personer"
"2006","03","1","5_9","139","sysselsatte_botid_land","personer"
"2006","03","1","alle","928","sysselsatte_botid_land","personer"
"2006","03","2","0_4","176","sysselsatte_botid_land","personer"
"2006","03","2","10+","705","sysselsatte_botid_land","personer"
"2006","03","2","5_9","211","sysselsatte_botid_land","personer"
"2006","03","2","alle","1092","sysselsatte_botid_land","personer"
"2006","03","alle","0_4","418","sysselsatte_botid_land","personer"
"2006","03","alle","10+","1252","sysselsatte_botid_land","personer"
"2006","03","alle","5_9","350","sysselsatte_botid_land","personer"
"2006","03","alle","alle","2020","sysselsatte_botid_land","personer"
"2006","04","1","0_4","499","sysselsatte_botid_land","personer"
"2006","04","1","10+","971","sysselsatte_botid_land","personer"
"2006","04","1","5_9","307","sysselsatte_botid_land","personer"
"2006","04","1","alle","1777","sysselsatte_botid_land","personer"
"2006","04","2","0_4","389","sysselsatte_botid_land","personer"
"2006","04","2","10+","1364","sysselsatte_botid_land","personer"
"2006","04","2","5_9","684","sysselsatte_botid_land","personer"
"2006","04","2","alle","2437","sysselsatte_botid_land","personer"
"2006","04","alle","0_4","888","sysselsatte_botid_land","personer"
"2006","04","alle","10+","2335","sysselsatte_botid_land","personer"
"2006","04","alle","5_9","991","sysselsatte_botid_land","personer"
"2006","04","alle","alle","4214","sysselsatte_botid_land","personer"
"2006","05","1","0_4","1580","sysselsatte_botid_land","personer"
"2006","05","1","10+","2925","sysselsatte_botid_land","personer"
"2006","05","1","5_9","903","sysselsatte_botid_land","personer"
"2006","05","1","alle","5408","sysselsatte_botid_land","personer"
"2006","05","2","0_4","849","sysselsatte_botid_land","personer"
"2006","05","2","10+","2253","sysselsatte_botid_land","personer"
"2006","05","2","5_9","931","sysselsatte_botid_land","personer"
"2006","05","2","alle","4033","sysselsatte_botid_land","personer"
"2006","05","alle","0_4","2429","sysselsatte_botid_land","personer"
"2006","05","alle","10+","5178","sysselsatte_botid_land","personer"
"2006","05","alle","5_9","1834","sysselsatte_botid_land","personer"
"2006","05","alle","alle","9441","sysselsatte_botid_land","personer"
"2006","06","1","0_4","558","sysselsatte_botid_land","personer"
"2006","06","1","10+","1886","sysselsatte_botid_land","personer"
"2006","06","1","5_9","485","sysselsatte_botid_land","personer"
"2006","06","1","alle","2929","sysselsatte_botid_land","personer"
"2006","06","2","0_4","561","sysselsatte_botid_land","personer"
"2006","06","2","10+","1427","sysselsatte_botid_land","personer"
"2006","06","2","5_9","555","sysselsatte_botid_land","personer"
"2006","06","2","alle","2543","sysselsatte_botid_land","personer"
"2006","06","alle","0_4","1119","sysselsatte_botid_land","personer"
"2006","06","alle","10+","3313","sysselsatte_botid_land","personer"
"2006","06","alle","5_9","1040","sysselsatte_botid_land","personer"
"2006","06","alle","alle","5472","sysselsatte_botid_land","personer"
"2006","07","1","0_4","768","sysselsatte_botid_land","personer"
"2006","07","1","10+","1500","sysselsatte_botid_land","personer"
"2006","07","1","5_9","591","sysselsatte_botid_land","personer"
"2006","07","1","alle","2859","sysselsatte_botid_land","personer"
"2006","07","2","0_4","669","sysselsatte_botid_land","personer"
"2006","07","2","10+","3017","sysselsatte_botid_land","personer"
"2006","07","2","5_9","873","sysselsatte_botid_land","personer"
"2006","07","2","alle","4559","sysselsatte_botid_land","personer"
"2006","07","alle","0_4","1437","sysselsatte_botid_land","personer"
"2006","07","alle","10+","4517","sysselsatte_botid_land","personer"
"2006","07","alle","5_9","1464","sysselsatte_botid_land","personer"
"2006","07","alle","alle","7418","sysselsatte_botid_land","personer"
