"aar","bydel_nr","innvgrunn_6","kjonn","tabellvariabel","tabell_navn","enhet"
"2007","030199","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2007","030199","annet","alle","0","sysselsatte_innvandringsgrunn","personer"
"2008","030199","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2010","030117","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2011","030199","utdanning","1","0","sysselsatte_innvandringsgrunn","personer"
"2006","030112","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2006","030116","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2006","030199","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2007","030113","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2007","030113","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2007","030116","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2008","030113","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2008","030117","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2009","030115","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2009","030116","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2009","030116","annet","alle","0","sysselsatte_innvandringsgrunn","personer"
"2009","030117","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2009","030199","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2010","030115","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2010","030116","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2010","030199","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2010","030199","annet","alle","0","sysselsatte_innvandringsgrunn","personer"
"2011","030116","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2011","030117","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2011","030199","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2011","030199","annet","alle","0","sysselsatte_innvandringsgrunn","personer"
"2011","030199","utdanning","0","0","sysselsatte_innvandringsgrunn","personer"
"2011","030199","utdanning","alle","0","sysselsatte_innvandringsgrunn","personer"
"2012","030111","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2012","030114","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2012","030117","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2012","030199","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2013","030114","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2014","030114","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2006","030112","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2006","030113","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2006","030114","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2006","030115","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2006","030199","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2007","030101","annet","1","0","sysselsatte_innvandringsgrunn","personer"
