"aar","bydel_nr","vreg_3","kjonn","tabellvariabel","tabell_navn","enhet"
"2006","00","1","0","35538","sysselsatte_kjonn_land","personer"
"2006","00","1","1","44355","sysselsatte_kjonn_land","personer"
"2006","00","1","alle","79893","sysselsatte_kjonn_land","personer"
"2006","00","2","0","47163","sysselsatte_kjonn_land","personer"
"2006","00","2","1","54355","sysselsatte_kjonn_land","personer"
"2006","00","2","alle","101518","sysselsatte_kjonn_land","personer"
"2006","00","alle","0","82701","sysselsatte_kjonn_land","personer"
"2006","00","alle","1","98710","sysselsatte_kjonn_land","personer"
"2006","00","alle","alle","181411","sysselsatte_kjonn_land","personer"
"2006","030101","1","0","983","sysselsatte_kjonn_land","personer"
"2006","030101","1","1","1113","sysselsatte_kjonn_land","personer"
"2006","030101","1","alle","2096","sysselsatte_kjonn_land","personer"
"2006","030101","2","0","1041","sysselsatte_kjonn_land","personer"
"2006","030101","2","1","1521","sysselsatte_kjonn_land","personer"
"2006","030101","2","alle","2562","sysselsatte_kjonn_land","personer"
"2006","030101","alle","0","2024","sysselsatte_kjonn_land","personer"
"2006","030101","alle","1","2634","sysselsatte_kjonn_land","personer"
"2006","030101","alle","alle","4658","sysselsatte_kjonn_land","personer"
"2006","030102","1","0","872","sysselsatte_kjonn_land","personer"
"2006","030102","1","1","866","sysselsatte_kjonn_land","personer"
"2006","030102","1","alle","1738","sysselsatte_kjonn_land","personer"
"2006","030102","2","0","969","sysselsatte_kjonn_land","personer"
"2006","030102","2","1","1219","sysselsatte_kjonn_land","personer"
"2006","030102","2","alle","2188","sysselsatte_kjonn_land","personer"
"2006","030102","alle","0","1841","sysselsatte_kjonn_land","personer"
"2006","030102","alle","1","2085","sysselsatte_kjonn_land","personer"
"2006","030102","alle","alle","3926","sysselsatte_kjonn_land","personer"
"2006","030103","1","0","1043","sysselsatte_kjonn_land","personer"
"2006","030103","1","1","1195","sysselsatte_kjonn_land","personer"
"2006","030103","1","alle","2238","sysselsatte_kjonn_land","personer"
"2006","030103","2","0","1243","sysselsatte_kjonn_land","personer"
"2006","030103","2","1","1611","sysselsatte_kjonn_land","personer"
"2006","030103","2","alle","2854","sysselsatte_kjonn_land","personer"
"2006","030103","alle","0","2286","sysselsatte_kjonn_land","personer"
"2006","030103","alle","1","2806","sysselsatte_kjonn_land","personer"
"2006","030103","alle","alle","5092","sysselsatte_kjonn_land","personer"
"2006","030104","1","0","890","sysselsatte_kjonn_land","personer"
"2006","030104","1","1","1020","sysselsatte_kjonn_land","personer"
"2006","030104","1","alle","1910","sysselsatte_kjonn_land","personer"
"2006","030104","2","0","1119","sysselsatte_kjonn_land","personer"
"2006","030104","2","1","1743","sysselsatte_kjonn_land","personer"
"2006","030104","2","alle","2862","sysselsatte_kjonn_land","personer"
"2006","030104","alle","0","2009","sysselsatte_kjonn_land","personer"
"2006","030104","alle","1","2763","sysselsatte_kjonn_land","personer"
"2006","030104","alle","alle","4772","sysselsatte_kjonn_land","personer"
"2006","030105","1","0","728","sysselsatte_kjonn_land","personer"
"2006","030105","1","1","855","sysselsatte_kjonn_land","personer"
"2006","030105","1","alle","1583","sysselsatte_kjonn_land","personer"
"2006","030105","2","0","883","sysselsatte_kjonn_land","personer"
"2006","030105","2","1","1212","sysselsatte_kjonn_land","personer"
"2006","030105","2","alle","2095","sysselsatte_kjonn_land","personer"
"2006","030105","alle","0","1611","sysselsatte_kjonn_land","personer"
"2006","030105","alle","1","2067","sysselsatte_kjonn_land","personer"
"2006","030105","alle","alle","3678","sysselsatte_kjonn_land","personer"
"2006","030106","1","0","697","sysselsatte_kjonn_land","personer"
"2006","030106","1","1","792","sysselsatte_kjonn_land","personer"
"2006","030106","1","alle","1489","sysselsatte_kjonn_land","personer"
"2006","030106","2","0","984","sysselsatte_kjonn_land","personer"
"2006","030106","2","1","1387","sysselsatte_kjonn_land","personer"
"2006","030106","2","alle","2371","sysselsatte_kjonn_land","personer"
"2006","030106","alle","0","1681","sysselsatte_kjonn_land","personer"
"2006","030106","alle","1","2179","sysselsatte_kjonn_land","personer"
"2006","030106","alle","alle","3860","sysselsatte_kjonn_land","personer"
"2006","030107","1","0","492","sysselsatte_kjonn_land","personer"
"2006","030107","1","1","661","sysselsatte_kjonn_land","personer"
"2006","030107","1","alle","1153","sysselsatte_kjonn_land","personer"
"2006","030107","2","0","860","sysselsatte_kjonn_land","personer"
"2006","030107","2","1","1298","sysselsatte_kjonn_land","personer"
"2006","030107","2","alle","2158","sysselsatte_kjonn_land","personer"
"2006","030107","alle","0","1352","sysselsatte_kjonn_land","personer"
"2006","030107","alle","1","1959","sysselsatte_kjonn_land","personer"
"2006","030107","alle","alle","3311","sysselsatte_kjonn_land","personer"
"2006","030108","1","0","614","sysselsatte_kjonn_land","personer"
"2006","030108","1","1","734","sysselsatte_kjonn_land","personer"
"2006","030108","1","alle","1348","sysselsatte_kjonn_land","personer"
"2006","030108","2","0","973","sysselsatte_kjonn_land","personer"
"2006","030108","2","1","1345","sysselsatte_kjonn_land","personer"
"2006","030108","2","alle","2318","sysselsatte_kjonn_land","personer"
"2006","030108","alle","0","1587","sysselsatte_kjonn_land","personer"
"2006","030108","alle","1","2079","sysselsatte_kjonn_land","personer"
"2006","030108","alle","alle","3666","sysselsatte_kjonn_land","personer"
"2006","030109","1","0","397","sysselsatte_kjonn_land","personer"
"2006","030109","1","1","495","sysselsatte_kjonn_land","personer"
"2006","030109","1","alle","892","sysselsatte_kjonn_land","personer"
