"fylke_nr","tilskudd_til_kommuner","tabellvariabel","tabell_navn","aar","enhet"
"01","barnehage_tilsk",763200,"tilskudd","2015","kroner"
"02","barnehage_tilsk",1664600,"tilskudd","2015","kroner"
"03","barnehage_tilsk",1365800,"tilskudd","2015","kroner"
"04","barnehage_tilsk",1216000,"tilskudd","2015","kroner"
"05","barnehage_tilsk",1406200,"tilskudd","2015","kroner"
"06","barnehage_tilsk",1793600,"tilskudd","2015","kroner"
"07","barnehage_tilsk",1284200,"tilskudd","2015","kroner"
"08","barnehage_tilsk",1867800,"tilskudd","2015","kroner"
"09","barnehage_tilsk",1139800,"tilskudd","2015","kroner"
"10","barnehage_tilsk",1279600,"tilskudd","2015","kroner"
"11","barnehage_tilsk",2154100,"tilskudd","2015","kroner"
"12","barnehage_tilsk",2528700,"tilskudd","2015","kroner"
"14","barnehage_tilsk",946100,"tilskudd","2015","kroner"
"15","barnehage_tilsk",1920100,"tilskudd","2015","kroner"
"16","barnehage_tilsk",2276100,"tilskudd","2015","kroner"
"17","barnehage_tilsk",909200,"tilskudd","2015","kroner"
"18","barnehage_tilsk",2921700,"tilskudd","2015","kroner"
"19","barnehage_tilsk",1797600,"tilskudd","2015","kroner"
"20","barnehage_tilsk",916200,"tilskudd","2015","kroner"
"99","barnehage_tilsk",0,"tilskudd","2015","kroner"
"00","barnehage_tilsk",30150600,"tilskudd","2015","kroner"
"01","ekstra_bosetting_tilsk",4e+05,"tilskudd","2015","kroner"
"02","ekstra_bosetting_tilsk",1550000,"tilskudd","2015","kroner"
"03","ekstra_bosetting_tilsk",1e+05,"tilskudd","2015","kroner"
"04","ekstra_bosetting_tilsk",1525000,"tilskudd","2015","kroner"
"05","ekstra_bosetting_tilsk",2250000,"tilskudd","2015","kroner"
"06","ekstra_bosetting_tilsk",2400000,"tilskudd","2015","kroner"
"07","ekstra_bosetting_tilsk",3e+06,"tilskudd","2015","kroner"
"08","ekstra_bosetting_tilsk",2650000,"tilskudd","2015","kroner"
"09","ekstra_bosetting_tilsk",1800000,"tilskudd","2015","kroner"
"10","ekstra_bosetting_tilsk",3500000,"tilskudd","2015","kroner"
"11","ekstra_bosetting_tilsk",2800000,"tilskudd","2015","kroner"
"12","ekstra_bosetting_tilsk",1150000,"tilskudd","2015","kroner"
"14","ekstra_bosetting_tilsk",3825000,"tilskudd","2015","kroner"
"15","ekstra_bosetting_tilsk",3950000,"tilskudd","2015","kroner"
"16","ekstra_bosetting_tilsk",3100000,"tilskudd","2015","kroner"
"17","ekstra_bosetting_tilsk",2375000,"tilskudd","2015","kroner"
"18","ekstra_bosetting_tilsk",4175000,"tilskudd","2015","kroner"
"19","ekstra_bosetting_tilsk",4900000,"tilskudd","2015","kroner"
"20","ekstra_bosetting_tilsk",1950000,"tilskudd","2015","kroner"
"99","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"00","ekstra_bosetting_tilsk",47400000,"tilskudd","2015","kroner"
"01","eldre_tilsk",624700,"tilskudd","2015","kroner"
"02","eldre_tilsk",1097200,"tilskudd","2015","kroner"
"03","eldre_tilsk",2194400,"tilskudd","2015","kroner"
"04","eldre_tilsk",982000,"tilskudd","2015","kroner"
"05","eldre_tilsk",619400,"tilskudd","2015","kroner"
"06","eldre_tilsk",2768200,"tilskudd","2015","kroner"
"07","eldre_tilsk",1254700,"tilskudd","2015","kroner"
"08","eldre_tilsk",2871600,"tilskudd","2015","kroner"
"09","eldre_tilsk",467200,"tilskudd","2015","kroner"
"10","eldre_tilsk",1083700,"tilskudd","2015","kroner"
"11","eldre_tilsk",2047500,"tilskudd","2015","kroner"
"12","eldre_tilsk",939700,"tilskudd","2015","kroner"
"14","eldre_tilsk",630000,"tilskudd","2015","kroner"
"15","eldre_tilsk",939700,"tilskudd","2015","kroner"
"16","eldre_tilsk",1583500,"tilskudd","2015","kroner"
"17","eldre_tilsk",157500,"tilskudd","2015","kroner"
"18","eldre_tilsk",782200,"tilskudd","2015","kroner"
"19","eldre_tilsk",782200,"tilskudd","2015","kroner"
"20","eldre_tilsk",630000,"tilskudd","2015","kroner"
"99","eldre_tilsk",0,"tilskudd","2015","kroner"
"00","eldre_tilsk",22455400,"tilskudd","2015","kroner"
"01","em_tilsk",20363124,"tilskudd","2015","kroner"
"02","em_tilsk",36510560,"tilskudd","2015","kroner"
"03","em_tilsk",29103555,"tilskudd","2015","kroner"
"04","em_tilsk",20357319,"tilskudd","2015","kroner"
"05","em_tilsk",14874830,"tilskudd","2015","kroner"
"06","em_tilsk",18983282,"tilskudd","2015","kroner"
"07","em_tilsk",24142194,"tilskudd","2015","kroner"
"08","em_tilsk",25658218,"tilskudd","2015","kroner"
"09","em_tilsk",13482228,"tilskudd","2015","kroner"
"10","em_tilsk",13325268,"tilskudd","2015","kroner"
"11","em_tilsk",22649668,"tilskudd","2015","kroner"
"12","em_tilsk",30134876,"tilskudd","2015","kroner"
"14","em_tilsk",5436108,"tilskudd","2015","kroner"
"15","em_tilsk",23040100,"tilskudd","2015","kroner"
"16","em_tilsk",18155101,"tilskudd","2015","kroner"
"17","em_tilsk",15140861,"tilskudd","2015","kroner"
"18","em_tilsk",33883626,"tilskudd","2015","kroner"
"19","em_tilsk",19038344,"tilskudd","2015","kroner"
"20","em_tilsk",27190579,"tilskudd","2015","kroner"
"99","em_tilsk",0,"tilskudd","2015","kroner"
"00","em_tilsk",411469841,"tilskudd","2015","kroner"
"01","funkhem",2894399.49,"tilskudd","2015","kroner"
"02","funkhem",27756442,"tilskudd","2015","kroner"
"03","funkhem",14592693,"tilskudd","2015","kroner"
"04","funkhem",25846825,"tilskudd","2015","kroner"
"05","funkhem",35183560,"tilskudd","2015","kroner"
"06","funkhem",24861791,"tilskudd","2015","kroner"
"07","funkhem",15140130,"tilskudd","2015","kroner"
"08","funkhem",31491188,"tilskudd","2015","kroner"
"09","funkhem",15804997,"tilskudd","2015","kroner"
"10","funkhem",43491599,"tilskudd","2015","kroner"
"11","funkhem",18654468.45,"tilskudd","2015","kroner"
"12","funkhem",12314856,"tilskudd","2015","kroner"
"14","funkhem",8297640,"tilskudd","2015","kroner"
"15","funkhem",18125258,"tilskudd","2015","kroner"
"16","funkhem",41560934,"tilskudd","2015","kroner"
"17","funkhem",8920725,"tilskudd","2015","kroner"
"18","funkhem",16687872,"tilskudd","2015","kroner"
"19","funkhem",11094462,"tilskudd","2015","kroner"
"20","funkhem",5200895,"tilskudd","2015","kroner"
"99","funkhem",0,"tilskudd","2015","kroner"
"00","funkhem",377920734.94,"tilskudd","2015","kroner"
"01","inttilsk_1",64442000,"tilskudd","2015","kroner"
"02","inttilsk_1",171477000,"tilskudd","2015","kroner"
"03","inttilsk_1",125216500,"tilskudd","2015","kroner"
"04","inttilsk_1",77511600,"tilskudd","2015","kroner"
"05","inttilsk_1",106157000,"tilskudd","2015","kroner"
"06","inttilsk_1",122430000,"tilskudd","2015","kroner"
"07","inttilsk_1",90675000,"tilskudd","2015","kroner"
"08","inttilsk_1",119429000,"tilskudd","2015","kroner"
"09","inttilsk_1",64118800,"tilskudd","2015","kroner"
"10","inttilsk_1",125448500,"tilskudd","2015","kroner"
"11","inttilsk_1",163851900,"tilskudd","2015","kroner"
"12","inttilsk_1",164115200,"tilskudd","2015","kroner"
"14","inttilsk_1",78877000,"tilskudd","2015","kroner"
"15","inttilsk_1",144232400,"tilskudd","2015","kroner"
"16","inttilsk_1",169218700,"tilskudd","2015","kroner"
"17","inttilsk_1",78686400,"tilskudd","2015","kroner"
"18","inttilsk_1",181174960,"tilskudd","2015","kroner"
"19","inttilsk_1",118364500,"tilskudd","2015","kroner"
"20","inttilsk_1",57516500,"tilskudd","2015","kroner"
"99","inttilsk_1",0,"tilskudd","2015","kroner"
"00","inttilsk_1",2222942960,"tilskudd","2015","kroner"
"01","inttilsk_1_5",199686600,"tilskudd","2015","kroner"
"02","inttilsk_1_5",503711937.5,"tilskudd","2015","kroner"
"03","inttilsk_1_5",459729712.5,"tilskudd","2015","kroner"
"04","inttilsk_1_5",230020400,"tilskudd","2015","kroner"
"05","inttilsk_1_5",317480700,"tilskudd","2015","kroner"
"06","inttilsk_1_5",351439450,"tilskudd","2015","kroner"
"07","inttilsk_1_5",231190000,"tilskudd","2015","kroner"
"08","inttilsk_1_5",337987450,"tilskudd","2015","kroner"
"09","inttilsk_1_5",187969150,"tilskudd","2015","kroner"
"10","inttilsk_1_5",357178600,"tilskudd","2015","kroner"
"11","inttilsk_1_5",468108250,"tilskudd","2015","kroner"
"12","inttilsk_1_5",531934550,"tilskudd","2015","kroner"
"14","inttilsk_1_5",196070000,"tilskudd","2015","kroner"
"15","inttilsk_1_5",384609900,"tilskudd","2015","kroner"
"16","inttilsk_1_5",416730900,"tilskudd","2015","kroner"
"17","inttilsk_1_5",261736350,"tilskudd","2015","kroner"
"18","inttilsk_1_5",547755960,"tilskudd","2015","kroner"
"19","inttilsk_1_5",316439200,"tilskudd","2015","kroner"
"20","inttilsk_1_5",177526800,"tilskudd","2015","kroner"
"99","inttilsk_1_5",0,"tilskudd","2015","kroner"
"00","inttilsk_1_5",6477305910,"tilskudd","2015","kroner"
"01","inttilsk_2_5",135244600,"tilskudd","2015","kroner"
"02","inttilsk_2_5",332234937.5,"tilskudd","2015","kroner"
"03","inttilsk_2_5",334513212.5,"tilskudd","2015","kroner"
"04","inttilsk_2_5",152508800,"tilskudd","2015","kroner"
"05","inttilsk_2_5",211323700,"tilskudd","2015","kroner"
"06","inttilsk_2_5",229009450,"tilskudd","2015","kroner"
"07","inttilsk_2_5",140515000,"tilskudd","2015","kroner"
"08","inttilsk_2_5",218558450,"tilskudd","2015","kroner"
"09","inttilsk_2_5",123850350,"tilskudd","2015","kroner"
"10","inttilsk_2_5",231730100,"tilskudd","2015","kroner"
"11","inttilsk_2_5",304256350,"tilskudd","2015","kroner"
"12","inttilsk_2_5",367819350,"tilskudd","2015","kroner"
"14","inttilsk_2_5",117193000,"tilskudd","2015","kroner"
"15","inttilsk_2_5",240377500,"tilskudd","2015","kroner"
"16","inttilsk_2_5",247512200,"tilskudd","2015","kroner"
"17","inttilsk_2_5",183049950,"tilskudd","2015","kroner"
"18","inttilsk_2_5",366581000,"tilskudd","2015","kroner"
"19","inttilsk_2_5",198074700,"tilskudd","2015","kroner"
"20","inttilsk_2_5",120010300,"tilskudd","2015","kroner"
"99","inttilsk_2_5",0,"tilskudd","2015","kroner"
"00","inttilsk_2_5",4254362950,"tilskudd","2015","kroner"
"01","norsk_samf_tilsk",75853769.13,"tilskudd","2015","kroner"
"02","norsk_samf_tilsk",121765960.82,"tilskudd","2015","kroner"
"03","norsk_samf_tilsk",176671987.5,"tilskudd","2015","kroner"
"04","norsk_samf_tilsk",75503663.3,"tilskudd","2015","kroner"
"05","norsk_samf_tilsk",96554384.97,"tilskudd","2015","kroner"
"06","norsk_samf_tilsk",93501667.47,"tilskudd","2015","kroner"
"07","norsk_samf_tilsk",59044187.5,"tilskudd","2015","kroner"
"08","norsk_samf_tilsk",73029608.32,"tilskudd","2015","kroner"
"09","norsk_samf_tilsk",50749933.31,"tilskudd","2015","kroner"
"10","norsk_samf_tilsk",92453339.15,"tilskudd","2015","kroner"
"11","norsk_samf_tilsk",134974712.48,"tilskudd","2015","kroner"
"12","norsk_samf_tilsk",130048141.62,"tilskudd","2015","kroner"
"14","norsk_samf_tilsk",63155606.63,"tilskudd","2015","kroner"
"15","norsk_samf_tilsk",110166396.64,"tilskudd","2015","kroner"
"16","norsk_samf_tilsk",89642262.49,"tilskudd","2015","kroner"
"17","norsk_samf_tilsk",66288864.15,"tilskudd","2015","kroner"
"18","norsk_samf_tilsk",140554519.12,"tilskudd","2015","kroner"
"19","norsk_samf_tilsk",96229049.14,"tilskudd","2015","kroner"
"20","norsk_samf_tilsk",49628679.15,"tilskudd","2015","kroner"
"99","norsk_samf_tilsk",72800,"tilskudd","2015","kroner"
"00","norsk_samf_tilsk",1795889532.89,"tilskudd","2015","kroner"
"01","skole_tilsk",0,"tilskudd","2015","kroner"
"02","skole_tilsk",-1312.5,"tilskudd","2015","kroner"
"03","skole_tilsk",23712.5,"tilskudd","2015","kroner"
"04","skole_tilsk",11400,"tilskudd","2015","kroner"
"05","skole_tilsk",0,"tilskudd","2015","kroner"
"06","skole_tilsk",0,"tilskudd","2015","kroner"
"07","skole_tilsk",64600,"tilskudd","2015","kroner"
"08","skole_tilsk",0,"tilskudd","2015","kroner"
"09","skole_tilsk",0,"tilskudd","2015","kroner"
"10","skole_tilsk",20700,"tilskudd","2015","kroner"
"11","skole_tilsk",0,"tilskudd","2015","kroner"
"12","skole_tilsk",11400,"tilskudd","2015","kroner"
"14","skole_tilsk",0,"tilskudd","2015","kroner"
"15","skole_tilsk",0,"tilskudd","2015","kroner"
"16","skole_tilsk",128800,"tilskudd","2015","kroner"
"17","skole_tilsk",0,"tilskudd","2015","kroner"
"18","skole_tilsk",0,"tilskudd","2015","kroner"
"19","skole_tilsk",0,"tilskudd","2015","kroner"
"20","skole_tilsk",67100,"tilskudd","2015","kroner"
"99","skole_tilsk",0,"tilskudd","2015","kroner"
"00","skole_tilsk",326400,"tilskudd","2015","kroner"
"01","totalt",300585792.62,"tilskudd","2015","kroner"
"02","totalt",694055387.82,"tilskudd","2015","kroner"
"03","totalt",683781860.5,"tilskudd","2015","kroner"
"04","totalt",355462607.3,"tilskudd","2015","kroner"
"05","totalt",468369074.97,"tilskudd","2015","kroner"
"06","totalt",495747990.47,"tilskudd","2015","kroner"
"07","totalt",335120011.5,"tilskudd","2015","kroner"
"08","totalt",475555864.32,"tilskudd","2015","kroner"
"09","totalt",271413308.31,"tilskudd","2015","kroner"
"10","totalt",512332806.15,"tilskudd","2015","kroner"
"11","totalt",651388698.93,"tilskudd","2015","kroner"
"12","totalt",709062223.62,"tilskudd","2015","kroner"
"14","totalt",278360454.63,"tilskudd","2015","kroner"
"15","totalt",542751454.64,"tilskudd","2015","kroner"
"16","totalt",573177597.49,"tilskudd","2015","kroner"
"17","totalt",355528500.15,"tilskudd","2015","kroner"
"18","totalt",746760877.12,"tilskudd","2015","kroner"
"19","totalt",450280855.14,"tilskudd","2015","kroner"
"20","totalt",263110253.15,"tilskudd","2015","kroner"
"99","totalt",72800,"tilskudd","2015","kroner"
"00","totalt",9162918418.83,"tilskudd","2015","kroner"
