"naringsregion_nr","tilskudd_til_kommuner","tabellvariabel","tabell_navn","aar","enhet"
"01","barnehage_tilsk",24400,"tilskudd","2015","kroner"
"02","barnehage_tilsk",377800,"tilskudd","2015","kroner"
"03","barnehage_tilsk",168800,"tilskudd","2015","kroner"
"04","barnehage_tilsk",192200,"tilskudd","2015","kroner"
"05","barnehage_tilsk",338600,"tilskudd","2015","kroner"
"06","barnehage_tilsk",479000,"tilskudd","2015","kroner"
"07","barnehage_tilsk",580600,"tilskudd","2015","kroner"
"08","barnehage_tilsk",266400,"tilskudd","2015","kroner"
"09","barnehage_tilsk",1365800,"tilskudd","2015","kroner"
"10","barnehage_tilsk",122000,"tilskudd","2015","kroner"
"11","barnehage_tilsk",290800,"tilskudd","2015","kroner"
"12","barnehage_tilsk",463600,"tilskudd","2015","kroner"
"13","barnehage_tilsk",339600,"tilskudd","2015","kroner"
"14","barnehage_tilsk",438200,"tilskudd","2015","kroner"
"15","barnehage_tilsk",143400,"tilskudd","2015","kroner"
"16","barnehage_tilsk",268400,"tilskudd","2015","kroner"
"17","barnehage_tilsk",72200,"tilskudd","2015","kroner"
"18","barnehage_tilsk",264400,"tilskudd","2015","kroner"
"19","barnehage_tilsk",219600,"tilskudd","2015","kroner"
"20","barnehage_tilsk",1091000,"tilskudd","2015","kroner"
"21","barnehage_tilsk",263400,"tilskudd","2015","kroner"
"22","barnehage_tilsk",97600,"tilskudd","2015","kroner"
"23","barnehage_tilsk",219600,"tilskudd","2015","kroner"
"24","barnehage_tilsk",244000,"tilskudd","2015","kroner"
"25","barnehage_tilsk",874400,"tilskudd","2015","kroner"
"26","barnehage_tilsk",287800,"tilskudd","2015","kroner"
"27","barnehage_tilsk",1041200,"tilskudd","2015","kroner"
"28","barnehage_tilsk",121000,"tilskudd","2015","kroner"
"29","barnehage_tilsk",364000,"tilskudd","2015","kroner"
"30","barnehage_tilsk",341600,"tilskudd","2015","kroner"
"31","barnehage_tilsk",240000,"tilskudd","2015","kroner"
"32","barnehage_tilsk",755400,"tilskudd","2015","kroner"
"33","barnehage_tilsk",386400,"tilskudd","2015","kroner"
"34","barnehage_tilsk",242000,"tilskudd","2015","kroner"
"35","barnehage_tilsk",795600,"tilskudd","2015","kroner"
"36","barnehage_tilsk",218600,"tilskudd","2015","kroner"
"37","barnehage_tilsk",701600,"tilskudd","2015","kroner"
"38","barnehage_tilsk",122000,"tilskudd","2015","kroner"
"39","barnehage_tilsk",1111900,"tilskudd","2015","kroner"
"40","barnehage_tilsk",964000,"tilskudd","2015","kroner"
"41","barnehage_tilsk",122000,"tilskudd","2015","kroner"
"42","barnehage_tilsk",195200,"tilskudd","2015","kroner"
"43","barnehage_tilsk",0,"tilskudd","2015","kroner"
"44","barnehage_tilsk",195200,"tilskudd","2015","kroner"
"45","barnehage_tilsk",72200,"tilskudd","2015","kroner"
"46","barnehage_tilsk",508400,"tilskudd","2015","kroner"
"47","barnehage_tilsk",471700,"tilskudd","2015","kroner"
"48","barnehage_tilsk",24400,"tilskudd","2015","kroner"
"49","barnehage_tilsk",313700,"tilskudd","2015","kroner"
"50","barnehage_tilsk",365000,"tilskudd","2015","kroner"
"51","barnehage_tilsk",243000,"tilskudd","2015","kroner"
"52","barnehage_tilsk",314200,"tilskudd","2015","kroner"
"53","barnehage_tilsk",854500,"tilskudd","2015","kroner"
"54","barnehage_tilsk",0,"tilskudd","2015","kroner"
"55","barnehage_tilsk",244000,"tilskudd","2015","kroner"
"56","barnehage_tilsk",507400,"tilskudd","2015","kroner"
"57","barnehage_tilsk",243000,"tilskudd","2015","kroner"
"58","barnehage_tilsk",0,"tilskudd","2015","kroner"
"59","barnehage_tilsk",167800,"tilskudd","2015","kroner"
"60","barnehage_tilsk",169800,"tilskudd","2015","kroner"
"61","barnehage_tilsk",1672100,"tilskudd","2015","kroner"
"62","barnehage_tilsk",23400,"tilskudd","2015","kroner"
"63","barnehage_tilsk",400800,"tilskudd","2015","kroner"
"64","barnehage_tilsk",194200,"tilskudd","2015","kroner"
"65","barnehage_tilsk",95600,"tilskudd","2015","kroner"
"66","barnehage_tilsk",97600,"tilskudd","2015","kroner"
"67","barnehage_tilsk",121000,"tilskudd","2015","kroner"
"68","barnehage_tilsk",166800,"tilskudd","2015","kroner"
"69","barnehage_tilsk",291800,"tilskudd","2015","kroner"
"70","barnehage_tilsk",0,"tilskudd","2015","kroner"
"71","barnehage_tilsk",73200,"tilskudd","2015","kroner"
"72","barnehage_tilsk",93600,"tilskudd","2015","kroner"
"73","barnehage_tilsk",1044200,"tilskudd","2015","kroner"
"74","barnehage_tilsk",214900,"tilskudd","2015","kroner"
"75","barnehage_tilsk",408800,"tilskudd","2015","kroner"
"76","barnehage_tilsk",628400,"tilskudd","2015","kroner"
"77","barnehage_tilsk",511400,"tilskudd","2015","kroner"
"78","barnehage_tilsk",608000,"tilskudd","2015","kroner"
"79","barnehage_tilsk",460600,"tilskudd","2015","kroner"
"80","barnehage_tilsk",217600,"tilskudd","2015","kroner"
"81","barnehage_tilsk",336600,"tilskudd","2015","kroner"
"82","barnehage_tilsk",97600,"tilskudd","2015","kroner"
"83","barnehage_tilsk",482000,"tilskudd","2015","kroner"
"99","barnehage_tilsk",0,"tilskudd","2015","kroner"
"01","ekstra_bosetting_tilsk",1e+05,"tilskudd","2015","kroner"
"02","ekstra_bosetting_tilsk",1e+05,"tilskudd","2015","kroner"
"03","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"04","ekstra_bosetting_tilsk",2e+05,"tilskudd","2015","kroner"
"05","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"06","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"07","ekstra_bosetting_tilsk",1300000,"tilskudd","2015","kroner"
"08","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"09","ekstra_bosetting_tilsk",1e+05,"tilskudd","2015","kroner"
"10","ekstra_bosetting_tilsk",750000,"tilskudd","2015","kroner"
"11","ekstra_bosetting_tilsk",75000,"tilskudd","2015","kroner"
"12","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"13","ekstra_bosetting_tilsk",450000,"tilskudd","2015","kroner"
"14","ekstra_bosetting_tilsk",550000,"tilskudd","2015","kroner"
"15","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"16","ekstra_bosetting_tilsk",1050000,"tilskudd","2015","kroner"
"17","ekstra_bosetting_tilsk",150000,"tilskudd","2015","kroner"
"18","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"19","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"20","ekstra_bosetting_tilsk",1850000,"tilskudd","2015","kroner"
"21","ekstra_bosetting_tilsk",550000,"tilskudd","2015","kroner"
"22","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"23","ekstra_bosetting_tilsk",2e+05,"tilskudd","2015","kroner"
"24","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"25","ekstra_bosetting_tilsk",1325000,"tilskudd","2015","kroner"
"26","ekstra_bosetting_tilsk",1225000,"tilskudd","2015","kroner"
"27","ekstra_bosetting_tilsk",4e+05,"tilskudd","2015","kroner"
"28","ekstra_bosetting_tilsk",750000,"tilskudd","2015","kroner"
"29","ekstra_bosetting_tilsk",850000,"tilskudd","2015","kroner"
"30","ekstra_bosetting_tilsk",650000,"tilskudd","2015","kroner"
"31","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"32","ekstra_bosetting_tilsk",1800000,"tilskudd","2015","kroner"
"33","ekstra_bosetting_tilsk",850000,"tilskudd","2015","kroner"
"34","ekstra_bosetting_tilsk",950000,"tilskudd","2015","kroner"
"35","ekstra_bosetting_tilsk",1700000,"tilskudd","2015","kroner"
"36","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"37","ekstra_bosetting_tilsk",1650000,"tilskudd","2015","kroner"
"38","ekstra_bosetting_tilsk",750000,"tilskudd","2015","kroner"
"39","ekstra_bosetting_tilsk",4e+05,"tilskudd","2015","kroner"
"40","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"41","ekstra_bosetting_tilsk",2e+05,"tilskudd","2015","kroner"
"42","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"43","ekstra_bosetting_tilsk",4e+05,"tilskudd","2015","kroner"
"44","ekstra_bosetting_tilsk",4e+05,"tilskudd","2015","kroner"
"45","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"46","ekstra_bosetting_tilsk",1e+05,"tilskudd","2015","kroner"
"47","ekstra_bosetting_tilsk",50000,"tilskudd","2015","kroner"
"48","ekstra_bosetting_tilsk",50000,"tilskudd","2015","kroner"
"49","ekstra_bosetting_tilsk",1775000,"tilskudd","2015","kroner"
"50","ekstra_bosetting_tilsk",1450000,"tilskudd","2015","kroner"
"51","ekstra_bosetting_tilsk",550000,"tilskudd","2015","kroner"
"52","ekstra_bosetting_tilsk",1800000,"tilskudd","2015","kroner"
"53","ekstra_bosetting_tilsk",1100000,"tilskudd","2015","kroner"
"54","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"55","ekstra_bosetting_tilsk",1e+06,"tilskudd","2015","kroner"
"56","ekstra_bosetting_tilsk",50000,"tilskudd","2015","kroner"
"57","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"58","ekstra_bosetting_tilsk",50000,"tilskudd","2015","kroner"
"59","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"60","ekstra_bosetting_tilsk",350000,"tilskudd","2015","kroner"
"61","ekstra_bosetting_tilsk",2450000,"tilskudd","2015","kroner"
"62","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"63","ekstra_bosetting_tilsk",25000,"tilskudd","2015","kroner"
"64","ekstra_bosetting_tilsk",1500000,"tilskudd","2015","kroner"
"65","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"66","ekstra_bosetting_tilsk",350000,"tilskudd","2015","kroner"
"67","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"68","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"69","ekstra_bosetting_tilsk",1050000,"tilskudd","2015","kroner"
"70","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"71","ekstra_bosetting_tilsk",2e+05,"tilskudd","2015","kroner"
"72","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"73","ekstra_bosetting_tilsk",575000,"tilskudd","2015","kroner"
"74","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"75","ekstra_bosetting_tilsk",7e+05,"tilskudd","2015","kroner"
"76","ekstra_bosetting_tilsk",1650000,"tilskudd","2015","kroner"
"77","ekstra_bosetting_tilsk",2e+06,"tilskudd","2015","kroner"
"78","ekstra_bosetting_tilsk",1350000,"tilskudd","2015","kroner"
"79","ekstra_bosetting_tilsk",1400000,"tilskudd","2015","kroner"
"80","ekstra_bosetting_tilsk",150000,"tilskudd","2015","kroner"
"81","ekstra_bosetting_tilsk",1700000,"tilskudd","2015","kroner"
"82","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"83","ekstra_bosetting_tilsk",250000,"tilskudd","2015","kroner"
"99","ekstra_bosetting_tilsk",0,"tilskudd","2015","kroner"
"01","eldre_tilsk",467200,"tilskudd","2015","kroner"
"02","eldre_tilsk",0,"tilskudd","2015","kroner"
"03","eldre_tilsk",157500,"tilskudd","2015","kroner"
"04","eldre_tilsk",0,"tilskudd","2015","kroner"
"05","eldre_tilsk",315000,"tilskudd","2015","kroner"
"06","eldre_tilsk",152200,"tilskudd","2015","kroner"
"07","eldre_tilsk",315000,"tilskudd","2015","kroner"
"08","eldre_tilsk",315000,"tilskudd","2015","kroner"
"09","eldre_tilsk",2194400,"tilskudd","2015","kroner"
"10","eldre_tilsk",315000,"tilskudd","2015","kroner"
"11","eldre_tilsk",157500,"tilskudd","2015","kroner"
