"aar","bydel_nr","innvkat_3","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr","utd_4"
2013,"000301","alle","0","personer","13724","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","alle","0","prosent","13.8","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","alle","1","personer","16542","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","alle","1","prosent","15.1","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","alle","alle","personer","30266","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","alle","alle","prosent","14.5","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","innvandrere","0","personer","8159","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","innvandrere","0","prosent","24.1","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","innvandrere","1","personer","8145","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","innvandrere","1","prosent","20.2","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","innvandrere","alle","personer","16304","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","innvandrere","alle","prosent","21.9","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","befolkningen_ellers","0","personer","5565","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","befolkningen_ellers","0","prosent","8.5","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","befolkningen_ellers","1","personer","8397","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","befolkningen_ellers","1","prosent","12.1","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","befolkningen_ellers","alle","personer","13962","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","befolkningen_ellers","alle","prosent","10.4","utdanningsniva","NULL","NULL","NULL","grunnskole"
2013,"000301","alle","0","personer","20368","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","alle","0","prosent","20.5","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","alle","1","personer","27179","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","alle","1","prosent","24.8","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","alle","alle","personer","47547","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","alle","alle","prosent","22.8","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","innvandrere","0","personer","6444","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","innvandrere","0","prosent","19","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","innvandrere","1","personer","8849","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","innvandrere","1","prosent","21.9","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","innvandrere","alle","personer","15293","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","innvandrere","alle","prosent","20.6","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","befolkningen_ellers","0","personer","13924","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","befolkningen_ellers","0","prosent","21.3","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","befolkningen_ellers","1","personer","18330","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","befolkningen_ellers","1","prosent","26.5","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","befolkningen_ellers","alle","personer","32254","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","befolkningen_ellers","alle","prosent","24","utdanningsniva","NULL","NULL","NULL","vgs"
2013,"000301","alle","0","personer","57993","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","alle","0","prosent","58.4","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","alle","1","personer","53830","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","alle","1","prosent","49.1","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","alle","alle","personer","111823","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","alle","alle","prosent","53.5","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","innvandrere","0","personer","12207","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","innvandrere","0","prosent","36","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","innvandrere","1","personer","11587","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
2013,"000301","innvandrere","1","prosent","28.7","utdanningsniva","NULL","NULL","NULL","universitet_og_hogskole"
