"bydel_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"030101","alle","alle","prosent","2014","20.6","vedvarende_lavinntekt"
"030102","alle","alle","prosent","2014","18.5","vedvarende_lavinntekt"
"030103","alle","alle","prosent","2014","15.3","vedvarende_lavinntekt"
"030104","alle","alle","prosent","2014","17.4","vedvarende_lavinntekt"
"030105","alle","alle","prosent","2014","13.8","vedvarende_lavinntekt"
"030106","alle","alle","prosent","2014","6.7","vedvarende_lavinntekt"
"030107","alle","alle","prosent","2014","7.7","vedvarende_lavinntekt"
"030108","alle","alle","prosent","2014","8.5","vedvarende_lavinntekt"
"030109","alle","alle","prosent","2014","16.6","vedvarende_lavinntekt"
"030110","alle","alle","prosent","2014","16.9","vedvarende_lavinntekt"
"030111","alle","alle","prosent","2014","18.7","vedvarende_lavinntekt"
"030112","alle","alle","prosent","2014","16.1","vedvarende_lavinntekt"
"030113","alle","alle","prosent","2014","9.2","vedvarende_lavinntekt"
"030114","alle","alle","prosent","2014","7.5","vedvarende_lavinntekt"
"030115","alle","alle","prosent","2014","18.4","vedvarende_lavinntekt"
"030116","alle","alle","prosent","2014","29.7","vedvarende_lavinntekt"
"030117","alle","alle","prosent","2014","9.2","vedvarende_lavinntekt"
"030199","alle","alle","prosent","2014","30.5","vedvarende_lavinntekt"
"030101","innvandrere","1","prosent","2014","22.5","vedvarende_lavinntekt"
"030102","innvandrere","1","prosent","2014","25.6","vedvarende_lavinntekt"
"030103","innvandrere","1","prosent","2014","19.8","vedvarende_lavinntekt"
"030104","innvandrere","1","prosent","2014","22.0","vedvarende_lavinntekt"
"030105","innvandrere","1","prosent","2014","16.6","vedvarende_lavinntekt"
"030106","innvandrere","1","prosent","2014","14.7","vedvarende_lavinntekt"
"030107","innvandrere","1","prosent","2014","18.7","vedvarende_lavinntekt"
"030108","innvandrere","1","prosent","2014","21.8","vedvarende_lavinntekt"
"030109","innvandrere","1","prosent","2014","26.8","vedvarende_lavinntekt"
"030110","innvandrere","1","prosent","2014","23.7","vedvarende_lavinntekt"
"030111","innvandrere","1","prosent","2014","23.3","vedvarende_lavinntekt"
"030112","innvandrere","1","prosent","2014","18.0","vedvarende_lavinntekt"
"030113","innvandrere","1","prosent","2014","17.0","vedvarende_lavinntekt"
"030114","innvandrere","1","prosent","2014","17.9","vedvarende_lavinntekt"
"030115","innvandrere","1","prosent","2014","22.8","vedvarende_lavinntekt"
"030116","innvandrere","1","prosent","2014","31.0","vedvarende_lavinntekt"
"030117","innvandrere","1","prosent","2014","30.6","vedvarende_lavinntekt"
"030199","innvandrere","1","prosent","2014",":","vedvarende_lavinntekt"
"030101","innvandrere","2","prosent","2014","41.1","vedvarende_lavinntekt"
"030102","innvandrere","2","prosent","2014","37.7","vedvarende_lavinntekt"
"030103","innvandrere","2","prosent","2014","37.2","vedvarende_lavinntekt"
"030104","innvandrere","2","prosent","2014","39.0","vedvarende_lavinntekt"
"030105","innvandrere","2","prosent","2014","30.0","vedvarende_lavinntekt"
"030106","innvandrere","2","prosent","2014","25.5","vedvarende_lavinntekt"
"030107","innvandrere","2","prosent","2014","31.8","vedvarende_lavinntekt"
"030108","innvandrere","2","prosent","2014","39.3","vedvarende_lavinntekt"
"030109","innvandrere","2","prosent","2014","33.0","vedvarende_lavinntekt"
"030110","innvandrere","2","prosent","2014","27.9","vedvarende_lavinntekt"
"030111","innvandrere","2","prosent","2014","30.6","vedvarende_lavinntekt"
"030112","innvandrere","2","prosent","2014","26.0","vedvarende_lavinntekt"
"030113","innvandrere","2","prosent","2014","26.9","vedvarende_lavinntekt"
"030114","innvandrere","2","prosent","2014","30.4","vedvarende_lavinntekt"
"030115","innvandrere","2","prosent","2014","28.9","vedvarende_lavinntekt"
"030116","innvandrere","2","prosent","2014","49.4","vedvarende_lavinntekt"
"030117","innvandrere","2","prosent","2014",":","vedvarende_lavinntekt"
"030199","innvandrere","2","prosent","2014","56.6","vedvarende_lavinntekt"
"030101","innvandrere","alle","prosent","2014","35.5","vedvarende_lavinntekt"
"030102","innvandrere","alle","prosent","2014","32.7","vedvarende_lavinntekt"
"030103","innvandrere","alle","prosent","2014","30.3","vedvarende_lavinntekt"
"030104","innvandrere","alle","prosent","2014","30.0","vedvarende_lavinntekt"
"030105","innvandrere","alle","prosent","2014","22.0","vedvarende_lavinntekt"
"030106","innvandrere","alle","prosent","2014","19.0","vedvarende_lavinntekt"
"030107","innvandrere","alle","prosent","2014","23.8","vedvarende_lavinntekt"
"030108","innvandrere","alle","prosent","2014","30.0","vedvarende_lavinntekt"
"030109","innvandrere","alle","prosent","2014","31.4","vedvarende_lavinntekt"
"030110","innvandrere","alle","prosent","2014","27.2","vedvarende_lavinntekt"
"030111","innvandrere","alle","prosent","2014","29.5","vedvarende_lavinntekt"
"030112","innvandrere","alle","prosent","2014","24.7","vedvarende_lavinntekt"
"030113","innvandrere","alle","prosent","2014","23.8","vedvarende_lavinntekt"
"030114","innvandrere","alle","prosent","2014","23.9","vedvarende_lavinntekt"
"030115","innvandrere","alle","prosent","2014","27.7","vedvarende_lavinntekt"
"030116","innvandrere","alle","prosent","2014","39.4","vedvarende_lavinntekt"
"030117","innvandrere","alle","prosent","2014","28.1","vedvarende_lavinntekt"
"030199","innvandrere","alle","prosent","2014","53.0","vedvarende_lavinntekt"
"030101","befolkningen_ellers","alle","prosent","2014","14.8","vedvarende_lavinntekt"
"030102","befolkningen_ellers","alle","prosent","2014","13.5","vedvarende_lavinntekt"
"030103","befolkningen_ellers","alle","prosent","2014","11.9","vedvarende_lavinntekt"
