"fylke_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"00","alle","alle","prosent","2014","9.0","vedvarende_lavinntekt"
"01","alle","alle","prosent","2014","10.6","vedvarende_lavinntekt"
"02","alle","alle","prosent","2014","6.9","vedvarende_lavinntekt"
"03","alle","alle","prosent","2014","13.9","vedvarende_lavinntekt"
"04","alle","alle","prosent","2014","10.1","vedvarende_lavinntekt"
"05","alle","alle","prosent","2014","9.7","vedvarende_lavinntekt"
"06","alle","alle","prosent","2014","9.1","vedvarende_lavinntekt"
"07","alle","alle","prosent","2014","9.5","vedvarende_lavinntekt"
"08","alle","alle","prosent","2014","10.3","vedvarende_lavinntekt"
"09","alle","alle","prosent","2014","9.4","vedvarende_lavinntekt"
"10","alle","alle","prosent","2014","9.2","vedvarende_lavinntekt"
"11","alle","alle","prosent","2014","6.3","vedvarende_lavinntekt"
"12","alle","alle","prosent","2014","7.8","vedvarende_lavinntekt"
"14","alle","alle","prosent","2014","7.1","vedvarende_lavinntekt"
"15","alle","alle","prosent","2014","7.3","vedvarende_lavinntekt"
"16","alle","alle","prosent","2014","8.9","vedvarende_lavinntekt"
"17","alle","alle","prosent","2014","8.2","vedvarende_lavinntekt"
"18","alle","alle","prosent","2014","7.9","vedvarende_lavinntekt"
"19","alle","alle","prosent","2014","7.7","vedvarende_lavinntekt"
"20","alle","alle","prosent","2014","7.4","vedvarende_lavinntekt"
"00","innvandrere","1","prosent","2014","19.8","vedvarende_lavinntekt"
"01","innvandrere","1","prosent","2014","22.4","vedvarende_lavinntekt"
"02","innvandrere","1","prosent","2014","17.8","vedvarende_lavinntekt"
"03","innvandrere","1","prosent","2014","20.6","vedvarende_lavinntekt"
"04","innvandrere","1","prosent","2014","24.9","vedvarende_lavinntekt"
"05","innvandrere","1","prosent","2014","25.7","vedvarende_lavinntekt"
"06","innvandrere","1","prosent","2014","20.5","vedvarende_lavinntekt"
"07","innvandrere","1","prosent","2014","23.1","vedvarende_lavinntekt"
"08","innvandrere","1","prosent","2014","25.3","vedvarende_lavinntekt"
"09","innvandrere","1","prosent","2014","23.9","vedvarende_lavinntekt"
"10","innvandrere","1","prosent","2014","19.1","vedvarende_lavinntekt"
"11","innvandrere","1","prosent","2014","14.5","vedvarende_lavinntekt"
"12","innvandrere","1","prosent","2014","18.6","vedvarende_lavinntekt"
"14","innvandrere","1","prosent","2014","18.8","vedvarende_lavinntekt"
"15","innvandrere","1","prosent","2014","19.3","vedvarende_lavinntekt"
"16","innvandrere","1","prosent","2014","19.5","vedvarende_lavinntekt"
"17","innvandrere","1","prosent","2014","23.5","vedvarende_lavinntekt"
"18","innvandrere","1","prosent","2014","22.3","vedvarende_lavinntekt"
"19","innvandrere","1","prosent","2014","19.2","vedvarende_lavinntekt"
"20","innvandrere","1","prosent","2014","17.6","vedvarende_lavinntekt"
"00","innvandrere","2","prosent","2014","32.1","vedvarende_lavinntekt"
"01","innvandrere","2","prosent","2014","39.0","vedvarende_lavinntekt"
"02","innvandrere","2","prosent","2014","24.3","vedvarende_lavinntekt"
"03","innvandrere","2","prosent","2014","32.0","vedvarende_lavinntekt"
"04","innvandrere","2","prosent","2014","42.9","vedvarende_lavinntekt"
"05","innvandrere","2","prosent","2014","43.1","vedvarende_lavinntekt"
"06","innvandrere","2","prosent","2014","31.9","vedvarende_lavinntekt"
"07","innvandrere","2","prosent","2014","36.3","vedvarende_lavinntekt"
"08","innvandrere","2","prosent","2014","44.0","vedvarende_lavinntekt"
"09","innvandrere","2","prosent","2014","39.6","vedvarende_lavinntekt"
"10","innvandrere","2","prosent","2014","34.8","vedvarende_lavinntekt"
"11","innvandrere","2","prosent","2014","23.7","vedvarende_lavinntekt"
"12","innvandrere","2","prosent","2014","30.5","vedvarende_lavinntekt"
"14","innvandrere","2","prosent","2014","32.5","vedvarende_lavinntekt"
"15","innvandrere","2","prosent","2014","28.7","vedvarende_lavinntekt"
"16","innvandrere","2","prosent","2014","33.3","vedvarende_lavinntekt"
"17","innvandrere","2","prosent","2014","44.9","vedvarende_lavinntekt"
"18","innvandrere","2","prosent","2014","38.5","vedvarende_lavinntekt"
"19","innvandrere","2","prosent","2014","34.6","vedvarende_lavinntekt"
"20","innvandrere","2","prosent","2014","26.2","vedvarende_lavinntekt"
"00","innvandrere","alle","prosent","2014","26.3","vedvarende_lavinntekt"
"01","innvandrere","alle","prosent","2014","31.9","vedvarende_lavinntekt"
"02","innvandrere","alle","prosent","2014","21.1","vedvarende_lavinntekt"
"03","innvandrere","alle","prosent","2014","28.1","vedvarende_lavinntekt"
"04","innvandrere","alle","prosent","2014","33.6","vedvarende_lavinntekt"
"05","innvandrere","alle","prosent","2014","34.2","vedvarende_lavinntekt"
"06","innvandrere","alle","prosent","2014","26.4","vedvarende_lavinntekt"
"07","innvandrere","alle","prosent","2014","29.4","vedvarende_lavinntekt"
"08","innvandrere","alle","prosent","2014","35.8","vedvarende_lavinntekt"
"09","innvandrere","alle","prosent","2014","31.2","vedvarende_lavinntekt"
"10","innvandrere","alle","prosent","2014","28.1","vedvarende_lavinntekt"
"11","innvandrere","alle","prosent","2014","18.7","vedvarende_lavinntekt"
"12","innvandrere","alle","prosent","2014","24.2","vedvarende_lavinntekt"
"14","innvandrere","alle","prosent","2014","23.6","vedvarende_lavinntekt"
"15","innvandrere","alle","prosent","2014","22.9","vedvarende_lavinntekt"
"16","innvandrere","alle","prosent","2014","26.7","vedvarende_lavinntekt"
"17","innvandrere","alle","prosent","2014","34.6","vedvarende_lavinntekt"
"18","innvandrere","alle","prosent","2014","30.7","vedvarende_lavinntekt"
"19","innvandrere","alle","prosent","2014","26.8","vedvarende_lavinntekt"
"20","innvandrere","alle","prosent","2014","21.9","vedvarende_lavinntekt"
"00","befolkningen_ellers","alle","prosent","2014","6.8","vedvarende_lavinntekt"
"01","befolkningen_ellers","alle","prosent","2014","7.9","vedvarende_lavinntekt"
"02","befolkningen_ellers","alle","prosent","2014","4.8","vedvarende_lavinntekt"
"03","befolkningen_ellers","alle","prosent","2014","9.9","vedvarende_lavinntekt"
"04","befolkningen_ellers","alle","prosent","2014","8.4","vedvarende_lavinntekt"
"05","befolkningen_ellers","alle","prosent","2014","7.9","vedvarende_lavinntekt"
"06","befolkningen_ellers","alle","prosent","2014","6.6","vedvarende_lavinntekt"
"07","befolkningen_ellers","alle","prosent","2014","7.4","vedvarende_lavinntekt"
"08","befolkningen_ellers","alle","prosent","2014","7.9","vedvarende_lavinntekt"
"09","befolkningen_ellers","alle","prosent","2014","7.3","vedvarende_lavinntekt"
"10","befolkningen_ellers","alle","prosent","2014","7.1","vedvarende_lavinntekt"
"11","befolkningen_ellers","alle","prosent","2014","4.6","vedvarende_lavinntekt"
"12","befolkningen_ellers","alle","prosent","2014","6.1","vedvarende_lavinntekt"
"14","befolkningen_ellers","alle","prosent","2014","5.8","vedvarende_lavinntekt"
"15","befolkningen_ellers","alle","prosent","2014","5.9","vedvarende_lavinntekt"
"16","befolkningen_ellers","alle","prosent","2014","7.4","vedvarende_lavinntekt"
"17","befolkningen_ellers","alle","prosent","2014","6.8","vedvarende_lavinntekt"
"18","befolkningen_ellers","alle","prosent","2014","6.5","vedvarende_lavinntekt"
"19","befolkningen_ellers","alle","prosent","2014","6.3","vedvarende_lavinntekt"
"20","befolkningen_ellers","alle","prosent","2014","6.0","vedvarende_lavinntekt"
