"kommune_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"0101","alle","alle","prosent","2012","10.3","vedvarende_lavinntekt"
"0104","alle","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"0105","alle","alle","prosent","2012","10.0","vedvarende_lavinntekt"
"0106","alle","alle","prosent","2012","10.1","vedvarende_lavinntekt"
"0111","alle","alle","prosent","2012","5.6","vedvarende_lavinntekt"
"0118","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"0119","alle","alle","prosent","2012","9.5","vedvarende_lavinntekt"
"0121","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"0122","alle","alle","prosent","2012","7.7","vedvarende_lavinntekt"
"0123","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"0124","alle","alle","prosent","2012","10.0","vedvarende_lavinntekt"
"0125","alle","alle","prosent","2012","10.7","vedvarende_lavinntekt"
"0127","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"0128","alle","alle","prosent","2012","8.9","vedvarende_lavinntekt"
"0135","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"0136","alle","alle","prosent","2012","5.5","vedvarende_lavinntekt"
"0137","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"0138","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"0211","alle","alle","prosent","2012","5.5","vedvarende_lavinntekt"
"0213","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"0214","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"0215","alle","alle","prosent","2012","5.2","vedvarende_lavinntekt"
"0216","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"0217","alle","alle","prosent","2012","4.4","vedvarende_lavinntekt"
"0219","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"0220","alle","alle","prosent","2012","6.1","vedvarende_lavinntekt"
"0221","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"0226","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"0227","alle","alle","prosent","2012","4.8","vedvarende_lavinntekt"
"0228","alle","alle","prosent","2012","5.2","vedvarende_lavinntekt"
"0229","alle","alle","prosent","2012","5.2","vedvarende_lavinntekt"
"0230","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"0231","alle","alle","prosent","2012","6.7","vedvarende_lavinntekt"
"0233","alle","alle","prosent","2012","4.6","vedvarende_lavinntekt"
"0234","alle","alle","prosent","2012","4.1","vedvarende_lavinntekt"
"0235","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"0236","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"0237","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"0238","alle","alle","prosent","2012","5.7","vedvarende_lavinntekt"
"0239","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"0301","alle","alle","prosent","2012","12.87","vedvarende_lavinntekt"
"0402","alle","alle","prosent","2012","10.2","vedvarende_lavinntekt"
"0403","alle","alle","prosent","2012","8.5","vedvarende_lavinntekt"
"0412","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"0415","alle","alle","prosent","2012","7.9","vedvarende_lavinntekt"
"0417","alle","alle","prosent","2012","8.8","vedvarende_lavinntekt"
"0418","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"0419","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"0420","alle","alle","prosent","2012","11.6","vedvarende_lavinntekt"
"0423","alle","alle","prosent","2012","11.5","vedvarende_lavinntekt"
"0425","alle","alle","prosent","2012","10.7","vedvarende_lavinntekt"
"0426","alle","alle","prosent","2012","8.6","vedvarende_lavinntekt"
"0427","alle","alle","prosent","2012","8.3","vedvarende_lavinntekt"
"0428","alle","alle","prosent","2012","10.4","vedvarende_lavinntekt"
"0429","alle","alle","prosent","2012","10.4","vedvarende_lavinntekt"
"0430","alle","alle","prosent","2012","11.7","vedvarende_lavinntekt"
"0432","alle","alle","prosent","2012","10.1","vedvarende_lavinntekt"
"0434","alle","alle","prosent","2012","10.3","vedvarende_lavinntekt"
"0436","alle","alle","prosent","2012","12.2","vedvarende_lavinntekt"
"0437","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"0438","alle","alle","prosent","2012","7.9","vedvarende_lavinntekt"
"0439","alle","alle","prosent","2012","10.7","vedvarende_lavinntekt"
"0441","alle","alle","prosent","2012","9.9","vedvarende_lavinntekt"
"0501","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"0502","alle","alle","prosent","2012","8.7","vedvarende_lavinntekt"
"0511","alle","alle","prosent","2012","9.6","vedvarende_lavinntekt"
"0512","alle","alle","prosent","2012","9.5","vedvarende_lavinntekt"
"0513","alle","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"0514","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"0515","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"0516","alle","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"0517","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"0519","alle","alle","prosent","2012","10.6","vedvarende_lavinntekt"
"0520","alle","alle","prosent","2012","10.2","vedvarende_lavinntekt"
"0521","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"0522","alle","alle","prosent","2012","8.9","vedvarende_lavinntekt"
"0528","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"0529","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"0532","alle","alle","prosent","2012","7.7","vedvarende_lavinntekt"
"0533","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"0534","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"0536","alle","alle","prosent","2012","9.9","vedvarende_lavinntekt"
"0538","alle","alle","prosent","2012","9.7","vedvarende_lavinntekt"
"0540","alle","alle","prosent","2012","12.1","vedvarende_lavinntekt"
"0541","alle","alle","prosent","2012","13.1","vedvarende_lavinntekt"
"0542","alle","alle","prosent","2012","10.0","vedvarende_lavinntekt"
"0543","alle","alle","prosent","2012","9.6","vedvarende_lavinntekt"
"0544","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"0545","alle","alle","prosent","2012","10.6","vedvarende_lavinntekt"
"0602","alle","alle","prosent","2012","10.7","vedvarende_lavinntekt"
"0604","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"0605","alle","alle","prosent","2012","9.1","vedvarende_lavinntekt"
"0612","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"0615","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"0616","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"0617","alle","alle","prosent","2012","8.8","vedvarende_lavinntekt"
"0618","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"0619","alle","alle","prosent","2012","9.0","vedvarende_lavinntekt"
"0620","alle","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"0621","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"0622","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"0623","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"0624","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"0625","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"0626","alle","alle","prosent","2012","6.7","vedvarende_lavinntekt"
"0627","alle","alle","prosent","2012","4.6","vedvarende_lavinntekt"
"0628","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"0631","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"0632","alle","alle","prosent","2012","4.8","vedvarende_lavinntekt"
"0633","alle","alle","prosent","2012","10.1","vedvarende_lavinntekt"
