"naringsregion_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"01","alle","alle","prosent","2012","10.3","vedvarende_lavinntekt"
"02","alle","alle","prosent","2012","8.9","vedvarende_lavinntekt"
"03","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"04","alle","alle","prosent","2012","9.9","vedvarende_lavinntekt"
"05","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"06","alle","alle","prosent","2012","5.6","vedvarende_lavinntekt"
"07","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"08","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"09","alle","alle","prosent","2012","12.9","vedvarende_lavinntekt"
"10","alle","alle","prosent","2012","9.0","vedvarende_lavinntekt"
"11","alle","alle","prosent","2012","9.9","vedvarende_lavinntekt"
"12","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"13","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"14","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"15","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"16","alle","alle","prosent","2012","8.3","vedvarende_lavinntekt"
"17","alle","alle","prosent","2012","9.9","vedvarende_lavinntekt"
"18","alle","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"19","alle","alle","prosent","2012","10.2","vedvarende_lavinntekt"
"20","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"21","alle","alle","prosent","2012","9.0","vedvarende_lavinntekt"
"22","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"23","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"24","alle","alle","prosent","2012","8.6","vedvarende_lavinntekt"
"25","alle","alle","prosent","2012","7.9","vedvarende_lavinntekt"
"26","alle","alle","prosent","2012","9.0","vedvarende_lavinntekt"
"27","alle","alle","prosent","2012","8.6","vedvarende_lavinntekt"
"28","alle","alle","prosent","2012","10.6","vedvarende_lavinntekt"
"29","alle","alle","prosent","2012","8.6","vedvarende_lavinntekt"
"30","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"31","alle","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"32","alle","alle","prosent","2012","8.6","vedvarende_lavinntekt"
"33","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"34","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"35","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"36","alle","alle","prosent","2012","5.5","vedvarende_lavinntekt"
"37","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"38","alle","alle","prosent","2012","5.7","vedvarende_lavinntekt"
"39","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"40","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"41","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"42","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"43","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"44","alle","alle","prosent","2012","5.5","vedvarende_lavinntekt"
"45","alle","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"46","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"47","alle","alle","prosent","2012","4.9","vedvarende_lavinntekt"
"48","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"49","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"50","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"51","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"52","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"53","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"54","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"55","alle","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"56","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"57","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"58","alle","alle","prosent","2012","9.1","vedvarende_lavinntekt"
"59","alle","alle","prosent","2012","8.7","vedvarende_lavinntekt"
"60","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"61","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"62","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"63","alle","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"64","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"65","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"66","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"67","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"68","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"69","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"70","alle","alle","prosent","2012","9.7","vedvarende_lavinntekt"
"71","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"72","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"73","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"74","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"75","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"76","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"77","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"78","alle","alle","prosent","2012","6.6","vedvarende_lavinntekt"
