"tabell_navn","aar","fylke_nr","naringsregion_nr","kommune_nr","bydel_nr","innvkat_5","kjonn","enhet","tabellvariabel"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","alle","0","personer","21731"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","alle","0","prosent","74.77"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","alle","1","personer","20027"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","alle","1","prosent","64.94"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","alle","alle","personer","41758"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","alle","alle","prosent","69.71"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","bef_u_innv_og_norskf","0","personer","20359"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","bef_u_innv_og_norskf","0","prosent","75.48"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","bef_u_innv_og_norskf","1","personer","18875"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","bef_u_innv_og_norskf","1","prosent","66.17"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","bef_u_innv_og_norskf","alle","personer","39234"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","bef_u_innv_og_norskf","alle","prosent","70.7"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","befolkningen_ellers","0","personer","20930"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","befolkningen_ellers","0","prosent","75.44"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","befolkningen_ellers","1","personer","19379"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","befolkningen_ellers","1","prosent","66.01"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","befolkningen_ellers","alle","personer","40309"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","befolkningen_ellers","alle","prosent","70.59"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","innvandrere","0","personer","801"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","innvandrere","0","prosent","60.77"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","innvandrere","1","personer","648"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","innvandrere","1","prosent","43.84"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","innvandrere","alle","personer","1449"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","innvandrere","alle","prosent","51.82"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","norskfodte_m_innvf","0","personer","571"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","norskfodte_m_innvf","0","prosent","73.87"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","norskfodte_m_innvf","1","personer","504"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","norskfodte_m_innvf","1","prosent","60.29"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","norskfodte_m_innvf","alle","personer","1075"
"videregaende_fullfort","2010","00","NULL","NULL","NULL","norskfodte_m_innvf","alle","prosent","66.81"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","alle","0","personer","1058"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","alle","0","prosent","70.49"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","alle","1","personer","939"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","alle","1","prosent","56.87"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","alle","alle","personer","1997"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","alle","alle","prosent","63.36"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","bef_u_innv_og_norskf","0","personer","972"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","bef_u_innv_og_norskf","0","prosent","71.63"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","bef_u_innv_og_norskf","1","personer","875"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","bef_u_innv_og_norskf","1","prosent","59.2"
"videregaende_fullfort","2010","01","NULL","NULL","NULL","bef_u_innv_og_norskf","alle","personer","1847"
