"aar","fylke_nr","spraak","undervisning_grskole","enhet","tabellvariabel","tabell_navn"
"2013","00","alle","alle","personer","10071","voksne_grunnskole"
"2013","00","alle","alle","prosent","100","voksne_grunnskole"
"2013","00","alle","kun_grunnskoleoppl","personer","6417","voksne_grunnskole"
"2013","00","alle","kun_grunnskoleoppl","prosent","63.717605","voksne_grunnskole"
"2013","00","alle","kun_spesialund","personer","3486","voksne_grunnskole"
"2013","00","alle","kun_spesialund","prosent","34.6142389","voksne_grunnskole"
"2013","00","alle","grskole_og_spesial","personer","168","voksne_grunnskole"
"2013","00","alle","grskole_og_spesial","prosent","1.6681561","voksne_grunnskole"
"2013","00","minoritet","alle","personer","6429","voksne_grunnskole"
"2013","00","minoritet","alle","prosent","63.8","voksne_grunnskole"
"2013","00","ikke_minoritet","alle","personer","3642","voksne_grunnskole"
"2013","00","ikke_minoritet","alle","prosent","36.16324099","voksne_grunnskole"
"2013","01","alle","alle","personer","250","voksne_grunnskole"
"2013","01","alle","alle","prosent","100","voksne_grunnskole"
"2013","01","alle","kun_grunnskoleoppl","personer","200","voksne_grunnskole"
"2013","01","alle","kun_grunnskoleoppl","prosent","80","voksne_grunnskole"
"2013","01","alle","kun_spesialund","personer","45","voksne_grunnskole"
"2013","01","alle","kun_spesialund","prosent","18","voksne_grunnskole"
"2013","01","alle","grskole_og_spesial","personer","5","voksne_grunnskole"
"2013","01","alle","grskole_og_spesial","prosent","2","voksne_grunnskole"
"2013","01","minoritet","alle","personer","202","voksne_grunnskole"
"2013","01","minoritet","alle","prosent","80.8","voksne_grunnskole"
"2013","01","ikke_minoritet","alle","personer","48","voksne_grunnskole"
"2013","01","ikke_minoritet","alle","prosent","19.2","voksne_grunnskole"
"2013","02","alle","alle","personer","745","voksne_grunnskole"
"2013","02","alle","alle","prosent","100","voksne_grunnskole"
"2013","02","alle","kun_grunnskoleoppl","personer","420","voksne_grunnskole"
"2013","02","alle","kun_grunnskoleoppl","prosent","56.3758389","voksne_grunnskole"
"2013","02","alle","kun_spesialund","personer","324","voksne_grunnskole"
