"";"aar";"bydel_nr";"utd_6";"innvkat_3";"kjonn";"enhet";"tabell_navn";"fylke_nr";"naringsregion_nr";"kommune_nr";"grunnskole";"NULL";"universitet_og_hogskole";"uoppgitt_ingen";"vgs";"alle"
"1";2013;"000301";"grunnskole";"alle";"0";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"13724";NA;NA;NA;NA
"2";2013;"000301";"grunnskole";"alle";"0";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"13.8";NA;NA;NA;NA
"3";2013;"000301";"grunnskole";"alle";"1";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"16542";NA;NA;NA;NA
"4";2013;"000301";"grunnskole";"alle";"1";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"15.1";NA;NA;NA;NA
"5";2013;"000301";"grunnskole";"alle";"alle";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"30266";NA;NA;NA;NA
"6";2013;"000301";"grunnskole";"alle";"alle";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"14.5";NA;NA;NA;NA
"7";2013;"000301";"grunnskole";"befolkningen_ellers";"0";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"5565";NA;NA;NA;NA
"8";2013;"000301";"grunnskole";"befolkningen_ellers";"0";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"8.5";NA;NA;NA;NA
"9";2013;"000301";"grunnskole";"befolkningen_ellers";"1";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"8397";NA;NA;NA;NA
"10";2013;"000301";"grunnskole";"befolkningen_ellers";"1";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"12.1";NA;NA;NA;NA
"11";2013;"000301";"grunnskole";"befolkningen_ellers";"alle";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"13962";NA;NA;NA;NA
"12";2013;"000301";"grunnskole";"befolkningen_ellers";"alle";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"10.4";NA;NA;NA;NA
"13";2013;"000301";"grunnskole";"innvandrere";"0";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"8159";NA;NA;NA;NA
"14";2013;"000301";"grunnskole";"innvandrere";"0";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"24.1";NA;NA;NA;NA
"15";2013;"000301";"grunnskole";"innvandrere";"1";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"8145";NA;NA;NA;NA
"16";2013;"000301";"grunnskole";"innvandrere";"1";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"20.2";NA;NA;NA;NA
"17";2013;"000301";"grunnskole";"innvandrere";"alle";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"16304";NA;NA;NA;NA
"18";2013;"000301";"grunnskole";"innvandrere";"alle";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"21.9";NA;NA;NA;NA
"19";2013;"000301";"universitet_og_hogskole";"alle";"0";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"57993";NA;NA;NA;NA
"20";2013;"000301";"universitet_og_hogskole";"alle";"0";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"58.4";NA;NA;NA;NA
"21";2013;"000301";"universitet_og_hogskole";"alle";"1";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"53830";NA;NA;NA;NA
"22";2013;"000301";"universitet_og_hogskole";"alle";"1";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"49.1";NA;NA;NA;NA
"23";2013;"000301";"universitet_og_hogskole";"alle";"alle";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"111823";NA;NA;NA;NA
"24";2013;"000301";"universitet_og_hogskole";"alle";"alle";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"53.5";NA;NA;NA;NA
"25";2013;"000301";"universitet_og_hogskole";"befolkningen_ellers";"0";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"45786";NA;NA;NA;NA
"26";2013;"000301";"universitet_og_hogskole";"befolkningen_ellers";"0";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"69.9";NA;NA;NA;NA
"27";2013;"000301";"universitet_og_hogskole";"befolkningen_ellers";"1";"personer";"utdanningsniva";"NULL";"NULL";"NULL";NA;"42243";NA;NA;NA;NA
"28";2013;"000301";"universitet_og_hogskole";"befolkningen_ellers";"1";"prosent";"utdanningsniva";"NULL";"NULL";"NULL";NA;"61";NA;NA;NA;NA
