fylke_nr;fylke_navn;fylke_note
01;Østfold;
02;Akershus;
03;Oslo;
04;Hedmark;
05;Oppland;
06;Buskerud;
07;Vestfold;
08;Telemark;
09;Aust-Agder;
10;Vest-Agder;
11;Rogaland;
12;Hordaland;
13;Bergen (t.o.m. 1971);
14;Sogn og Fjordane;
15;Møre og Romsdal;
16;Sør-Trøndelag;
17;Nord-Trøndelag;
18;Nordland;
19;Troms - Romsa;
20;Finnmark - Finnmárku;
21;Svalbard;Svalbard er ikke definert som fylke i lovens forstand, men i offisiell statistikk behandles Svalbard på lik linje med de andre fylkene i Norge.
22;Jan Mayen;
23;Kontinentalsokkelen;
26;Havområder;
25;Utlandet;
88;Ikke bosatt i Norge;
99;Uoppgitt fylke;
