Identifikasjon (rad nr.);Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
1;0101;1;Halden;;;;;;;
2;0104;1;Moss;;;;;;;
3;0105;1;Sarpsborg;;Kommunene 0102 Sarpsborg, 0114 Varteig, 0115 Skjeberg og 0130 Tune ble den 1.1.92 slått sammen til 0105 Sarpsborg kommune.;;;;;
4;0106;1;Fredrikstad;;Kommunene 0103 Fredrikstad, 0113 Borge, 0131 Rolvsøy, 0133 Kråkerøy og 0134 Onsøy ble den 1.1.94 slått sammen til 0106 Fredrikstad kommune.;;;;;
5;0111;1;Hvaler;;;;;;;
6;0118;1;Aremark;;;;;;;
7;0119;1;Marker;;;;;;;
8;0121;1;Rømskog;;;;;;;
9;0122;1;Trøgstad;;;;;;;
10;0123;1;Spydeberg;;;;;;;
11;0124;1;Askim;;;;;;;
12;0125;1;Eidsberg;;;;;;;
13;0127;1;Skiptvet;;;;;;;
14;0128;1;Rakkestad;;En del av grunnkrets 0104 Furuholmen (12 personer) i 0114 Varteig kommune overført til grunnkrets 0102 Vestre Os den 1.1.92.;;;;;
15;0135;1;Råde;;;;;;;
16;0136;1;Rygge;;;;;;;
17;0137;1;Våler;;;;;;;
18;0138;1;Hobøl;;;;;;;
19;0211;1;Vestby;;;;;;;
20;0213;1;Ski;;;;;;;
21;0214;1;Ås;;;;;;;
22;0215;1;Frogn;;;;;;;
23;0216;1;Nesodden;;;;;;;
24;0217;1;Oppegård;;;;;;;
25;0219;1;Bærum;;;;;;;
26;0220;1;Asker;;Del av 0627 Røyken kommune ble den 1.1.96 overført til 0220 Asker kommune (ca. 70 personer, 0,2 km2).;;;;;
27;0221;1;Aurskog-Høland;;;;;;;
28;0226;1;Sørum;;;;;;;
29;0227;1;Fet;;;;;;;
30;0228;1;Rælingen;Den 1.1. 1985 ble et ubebodd område overrført fra 0230 Lørenskog kommune til 0228 Rælingen kommune. Den 1.1. 1990 ble et ubebodd område (gnr. 106 bnr. 389 og 396) overført fra Rælingen til Lørenskog. Fra samme dato ble et ubebodd område (gnr. 83 bnr. 236,237 og parsell av bnr. 234) overført fra Lørenskog til Rælingen.;;;;;;
31;0229;1;Enebakk;;;;;;;
32;0230;1;Lørenskog;Den 1.1. 1985 ble et ubebodd område overført fra 0230 Lørenskog kommune til 0228 Rælingen kommune. Den 1.1. 1990 ble et ubebodd område (gnr. 106 bnr. 389 og 396) overført fra Rælingen til Lørenskog. Fra samme dato ble et ubebodd område (gnr. 83 bnr. 236,237 og parsell av bnr. 234) overført fra Lørenskog til Rælingen.;Den 1.1. 1980 ble 3 personer overført fra 0230 Lørenskog kommune til 0231 Skedsmo kommune. Fra samme dato ble 36 personer overført fra Skedsmo til Lørenskog kommune.;;;;;
33;0231;1;Skedsmo;;Den 1.1. 1980 ble 3 personer overført fra 0230 Lørenskog kommune til 0231 Skedsmo kommune. Fra samme dato ble 36 personer overført fra Skedsmo kommune til Lørenskog kommune og 53 personer fra Skedsmo kommune til 0301 Oslo kommune.;;;;;
34;0233;1;Nittedal;Den 1.1. 1984 ble et ubebodd område (Danielshøgda, Sandungen) overført fra 0233 Nittedal kommune til 0301 Oslo kommune. Fra samme dato ble et ubebodd område overført fra Oslo til Nittedal.;;;;;;
35;0234;1;Gjerdrum;;;;;;;
36;0235;1;Ullensaker;;;;;;;
37;0236;1;Nes;;;;;;;
38;0237;1;Eidsvoll;;;;;;;
39;0238;1;Nannestad;;;;;;;
40;0239;1;Hurdal;;;;;;;
41;0301;1;Oslo;Den 1.1. 1984 ble et ubebodd område (del Danielshøgda, Sandungen) overført fra 0233 Nittedal kommune til 0301Oslo kommune. Fra samme dato ble et ubebodd område overført fra Oslo til Nittedal.;Den 1.1. 1980 ble 53 personer overført fra 0231 Skedsmo kommune til 0301 Oslo kommune.;;;;;
42;0402;1;Kongsvinger;;Den 1.1. 1986 ble deler av Åbogen-området overført fra 0402 Kongsvinger kommune til 0420 Eidskog kommune (14 personer).;;;;;
43;0403;1;Hamar;Områdene som ble overflyttet fra 0412 Ringsaker kommune til 0403 Hamar kommune den 1.1.92 var grunnkretsene 0102 Hanstad, 0121 Viker, 0201 Stammerud og deler av grunnkrets 0101 Stensby. Totalt 224 personer bodde i det overførte området.;Kommune 0401Hamar, 0414 Vang og deler av kommune 0412 Ringsaker ble den 1.1.92 slått sammen til 0403 Hamar kommune.;;;;;
44;0412;1;Ringsaker;De overførte områdene fra Ringsaker til Hamar den 1.1.92 var grunnkretsene 0102 Hanstad, 0121 Viker, 0201 Stammerud og deler av grunnkrets 0101 Stensby.;En del av 0412 Ringsaker ble den 1.1.92 overført til den nye kommunen 0403 Hamar (224 personer).;;;;;
45;0415;1;Løten;;;;;;;
46;0417;1;Stange;;;;;;;
47;0418;1;Nord-Odal;;;;;;;
48;0419;1;Sør-Odal;;;;;;;
49;0420;1;Eidskog;;Den 1.1. 1986 ble deler av Åbogen-området overført fra 0402 Kongsvinger kommune til 0420 Eidskog kommune (14 personer).;;;;;
50;0423;1;Grue;;;;;;;
51;0425;1;Åsnes;;;;;;;
52;0426;1;Våler;;;;;;;
53;0427;1;Elverum;;;;;;;
54;0428;1;Trysil;;;;;;;
55;0429;1;Åmot;;;;;;;
56;0430;1;Stor-Elvdal;;;;;;;
57;0432;1;Rendalen;Den 1.1. 1984 ble et ubebodd område overført fra 0437 Tynset kommune (Spekedalen) til 0432 Rendalen kommune.;;;;;;
58;0434;1;Engerdal;;;;;;;
59;0436;1;Tolga;;;;;;;
60;0437;1;Tynset;Den 1.1. 1984 ble et ubebodd område overført fra 0437 Tynset kommune (Spekedalen) til 0432 Rendalen kommune.;;;;;;
61;0438;1;Alvdal;;;;;;;
62;0439;1;Folldal;;;;;;;
63;0441;1;Os;;;;;;;
64;0501;1;Lillehammer;;;;;;;
65;0502;1;Gjøvik;;;;;;;
66;0511;1;Dovre;;;;;;;
67;0512;1;Lesja;;;;;;;
68;0513;1;Skjåk;;;;;;;
69;0514;1;Lom;;;;;;;
70;0515;1;Vågå;;;;;;;
71;0516;1;Nord-Fron;;;;;;;
72;0517;1;Sel;;;;;;;
73;0519;1;Sør-Fron;;;;;;;
74;0520;1;Ringebu;;;;;;;
75;0521;1;Øyer;;;;;;;
76;0522;1;Gausdal;;;;;;;
77;0528;1;Østre Toten;;;;;;;
78;0529;1;Vestre Toten;;;;;;;
79;0532;1;Jevnaker;;;;;;;
80;0533;1;Lunner;;;;;;;
81;0534;1;Gran;;;;;;;
82;0536;1;Søndre Land;;;;;;;
83;0538;1;Nordre Land;;;;;;;
84;0540;1;Sør-Aurdal;Den 1.1. 1984 ble et ubebodd område overført fra 0540 Sør-Aurdal kommune (Makalausfjellet) til 0542 Nord-Aurdal.;;;;;;
85;0541;1;Etnedal;;;;;;;
86;0542;1;Nord-Aurdal;Den 1.1. 1984 ble et ubebodd område overført fra 0540 Sør-Aurdal kommune (Makalausfjellet) til 0542 Nord-Aurdal kommune.;;;;;;
87;0543;1;Vestre Slidre;;;;;;;
88;0544;1;Øystre Slidre;;;;;;;
89;0545;1;Vang;;;;;;;
90;0602;1;Drammen;;;;;;;
91;0604;1;Kongsberg;;;;;;;
92;0605;1;Ringerike;;Den 1.1. 1980 ble en del av 0605 Ringerike kommune overført til 0612 Hole kommune (13 personer).;;;;;
93;0612;1;Hole;;Den 1.1. 1980 ble en del av 0605 Ringerike kommune overført til 0612 Hole kommune (13 personer).;;;;;
94;0615;1;Flå;;;;;;;
95;0616;1;Nes;;;;;;;
96;0617;1;Gol;;;;;;;
97;0618;1;Hemsedal;;;;;;;
98;0619;1;Ål;;;;;;;
99;0620;1;Hol;;;;;;;
100;0621;1;Sigdal;;;;;;;
101;0622;1;Krødsherad;;;;;;;
102;0623;1;Modum;;;;;;;
103;0624;1;Øvre Eiker;;;;;;;
104;0625;1;Nedre Eiker;;;;;;;
