Identifikasjon (rad nr.);Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
1;0101;1;Halden;;;;;;;
2;0104;1;Moss;;;;;;;
3;0105;1;Sarpsborg;;;;;;;
4;0106;1;Fredrikstad;;;;;;;
5;0111;1;Hvaler;;;;;;;
6;0118;1;Aremark;;;;;;;
7;0119;1;Marker;;;;;;;
8;0121;1;Rømskog;;;;;;;
9;0122;1;Trøgstad;;;;;;;
10;0123;1;Spydeberg;;;;;;;
11;0124;1;Askim;;;;;;;
12;0125;1;Eidsberg;;;;;;;
13;0127;1;Skiptvet;;;;;;;
14;0128;1;Rakkestad;;;;;;;
15;0135;1;Råde;;;;;;;
16;0136;1;Rygge;;;;;;;
17;0137;1;Våler;;;;;;;
18;0138;1;Hobøl;;;;;;;
19;0211;1;Vestby;;;;;;;
20;0213;1;Ski;;;;;;;
21;0214;1;Ås;;;;;;;
22;0215;1;Frogn;;;;;;;
23;0216;1;Nesodden;;;;;;;
24;0217;1;Oppegård;;;;;;;
25;0219;1;Bærum;;;;;;;
26;0220;1;Asker;;;;;;;
27;0221;1;Aurskog-Høland;;;;;;;
28;0226;1;Sørum;;;;;;;
29;0227;1;Fet;;;;;;;
30;0228;1;Rælingen;;;;;;;
31;0229;1;Enebakk;;;;;;;
32;0230;1;Lørenskog;;;;;;;
33;0231;1;Skedsmo;;;;;;;
34;0233;1;Nittedal;;;;;;;
35;0234;1;Gjerdrum;;;;;;;
36;0235;1;Ullensaker;;;;;;;
37;0236;1;Nes;;;;;;;
38;0237;1;Eidsvoll;;;;;;;
39;0238;1;Nannestad;;;;;;;
40;0239;1;Hurdal;;;;;;;
41;0301;1;Oslo;;;;;;;
42;0402;1;Kongsvinger;;;;;;;
43;0403;1;Hamar;;;;;;;
44;0412;1;Ringsaker;;;;;;;
45;0415;1;Løten;;;;;;;
46;0417;1;Stange;;;;;;;
47;0418;1;Nord-Odal;;;;;;;
48;0419;1;Sør-Odal;;;;;;;
49;0420;1;Eidskog;;;;;;;
50;0423;1;Grue;;;;;;;
51;0425;1;Åsnes;;;;;;;
52;0426;1;Våler;;;;;;;
53;0427;1;Elverum;;;;;;;
54;0428;1;Trysil;;;;;;;
55;0429;1;Åmot;;;;;;;
56;0430;1;Stor-Elvdal;;;;;;;
57;0432;1;Rendalen;;;;;;;
58;0434;1;Engerdal;;;;;;;
59;0436;1;Tolga;;;;;;;
60;0437;1;Tynset;;;;;;;
61;0438;1;Alvdal;;;;;;;
62;0439;1;Folldal;;;;;;;
63;0441;1;Os;;;;;;;
64;0501;1;Lillehammer;;;;;;;
65;0502;1;Gjøvik;;;;;;;
66;0511;1;Dovre;;;;;;;
67;0512;1;Lesja;;;;;;;
68;0513;1;Skjåk;;;;;;;
69;0514;1;Lom;;;;;;;
70;0515;1;Vågå;;;;;;;
71;0516;1;Nord-Fron;;;;;;;
72;0517;1;Sel;;;;;;;
73;0519;1;Sør-Fron;;;;;;;
74;0520;1;Ringebu;;;;;;;
75;0521;1;Øyer;;;;;;;
76;0522;1;Gausdal;;;;;;;
77;0528;1;Østre Toten;;;;;;;
78;0529;1;Vestre Toten;;;;;;;
79;0532;1;Jevnaker;;;;;;;
80;0533;1;Lunner;;;;;;;
81;0534;1;Gran;;;;;;;
82;0536;1;Søndre Land;;;;;;;
83;0538;1;Nordre Land;;;;;;;
84;0540;1;Sør-Aurdal;;;;;;;
85;0541;1;Etnedal;;;;;;;
86;0542;1;Nord-Aurdal;;;;;;;
87;0543;1;Vestre Slidre;;;;;;;
88;0544;1;Øystre Slidre;;;;;;;
89;0545;1;Vang;;;;;;;
90;0602;1;Drammen;;;;;;;
91;0604;1;Kongsberg;;;;;;;
92;0605;1;Ringerike;;;;;;;
93;0612;1;Hole;;;;;;;
94;0615;1;Flå;;;;;;;
95;0616;1;Nes;;;;;;;
96;0617;1;Gol;;;;;;;
97;0618;1;Hemsedal;;;;;;;
98;0619;1;Ål;;;;;;;
99;0620;1;Hol;;;;;;;
100;0621;1;Sigdal;;;;;;;
101;0622;1;Krødsherad;;;;;;;
102;0623;1;Modum;;;;;;;
103;0624;1;Øvre Eiker;;;;;;;
104;0625;1;Nedre Eiker;;;;;;;
105;0626;1;Lier;;;;;;;
106;0627;1;Røyken;;;;;;;
107;0628;1;Hurum;;;;;;;
108;0631;1;Flesberg;;;;;;;
109;0632;1;Rollag;;;;;;;
110;0633;1;Nore og Uvdal;;;;;;;
111;0701;1;Horten;;;;;;;
112;0702;1;Holmestrand;;;;;;;
113;0704;1;Tønsberg;;;;;;;
114;0706;1;Sandefjord;;;;;;;
115;0709;1;Larvik;;;;;;;
116;0711;1;Svelvik;;;;;;;
117;0713;1;Sande;;;;;;;
118;0714;1;Hof;;;;;;;
119;0716;1;Re;;;;;;;
120;0719;1;Andebu;;;;;;;
121;0720;1;Stokke;;;;;;;
122;0722;1;Nøtterøy;;;;;;;
123;0723;1;Tjøme;;;;;;;
124;0728;1;Lardal;;;;;;;
125;0805;1;Porsgrunn;;;;;;;
126;0806;1;Skien;;;;;;;
127;0807;1;Notodden;;;;;;;
128;0811;1;Siljan;;;;;;;
129;0814;1;Bamble;;;;;;;
130;0815;1;Kragerø;;;;;;;
131;0817;1;Drangedal;;;;;;;
132;0819;1;Nome;;;;;;;
133;0821;1;Bø;;;;;;;
134;0822;1;Sauherad;;;;;;;
135;0826;1;Tinn;;;;;;;
136;0827;1;Hjartdal;;;;;;;
137;0828;1;Seljord;;;;;;;
138;0829;1;Kviteseid;;;;;;;
139;0830;1;Nissedal;;;;;;;
140;0831;1;Fyresdal;;;;;;;
141;0833;1;Tokke;;;;;;;
142;0834;1;Vinje;;;;;;;
143;0901;1;Risør;;;;;;;
144;0904;1;Grimstad;;;;;;;
145;0906;1;Arendal;;;;;;;
146;0911;1;Gjerstad;;;;;;;
147;0912;1;Vegårshei;;;;;;;
148;0914;1;Tvedestrand;;;;;;;
149;0919;1;Froland;;;;;;;
150;0926;1;Lillesand;;;;;;;
151;0928;1;Birkenes;;;;;;;
152;0929;1;Åmli;;;;;;;
153;0935;1;Iveland;;;;;;;
154;0937;1;Evje og Hornnes;;;;;;;
155;0938;1;Bygland;;;;;;;
156;0940;1;Valle;;;;;;;
157;0941;1;Bykle;;;;;;;
158;1001;1;Kristiansand;;;;;;;
159;1002;1;Mandal;;;;;;;
160;1003;1;Farsund;;;;;;;
161;1004;1;Flekkefjord;;;;;;;
162;1014;1;Vennesla;;;;;;;
163;1017;1;Songdalen;;;;;;;
164;1018;1;Søgne;;;;;;;
165;1021;1;Marnardal;;;;;;;
166;1026;1;Åseral;;;;;;;
167;1027;1;Audnedal;;;;;;;
168;1029;1;Lindesnes;;;;;;;
169;1032;1;Lyngdal;;;;;;;
170;1034;1;Hægebostad;;;;;;;
171;1037;1;Kvinesdal;;;;;;;
172;1046;1;Sirdal;;;;;;;
173;1101;1;Eigersund;;;;;;;
174;1102;1;Sandnes;;;;;;;
175;1103;1;Stavanger;;;;;;;
176;1106;1;Haugesund;;;;;;;
177;1111;1;Sokndal;;;;;;;
178;1112;1;Lund;;;;;;;
179;1114;1;Bjerkreim;;;;;;;
180;1119;1;Hå;;;;;;;
181;1120;1;Klepp;;;;;;;
182;1121;1;Time;;;;;;;
183;1122;1;Gjesdal;;;;;;;
184;1124;1;Sola;;;;;;;
185;1127;1;Randaberg;;;;;;;
186;1129;1;Forsand;;;;;;;
187;1130;1;Strand;;;;;;;
188;1133;1;Hjelmeland;;;;;;;
189;1134;1;Suldal;;;;;;;
190;1135;1;Sauda;;;;;;;
191;1141;1;Finnøy;;;;;;;
192;1142;1;Rennesøy;;;;;;;
193;1144;1;Kvitsøy;;;;;;;
194;1145;1;Bokn;;;;;;;
195;1146;1;Tysvær;;;;;;;
196;1149;1;Karmøy;;;;;;;
197;1151;1;Utsira;;;;;;;
