Kode;Tittel;Generell.note
1622;Agdenes;
1820;Alstahaug;
2012;Alta;
0438;Alvdal;
0719;Andebu;
1871;Andøy;
1855;Ankenes (-1973);
0118;Aremark;
0906;Arendal;
0903;Arendal (-1991);
1250;Arna (1964-1971);
0220;Asker;
0124;Askim;
1428;Askvoll;
1247;Askøy;
1027;Audnedal;
1547;Aukra;
1576;Aure;1. januar 2006 ble kommunene 1569 Aure og 1572 Tustna slått sammen til ny kommune 1576 Aure.
1569;Aure (-2005);1. januar 2006 ble kommunene 1569 Aure og 1572 Tustna slått sammen til ny kommune 1576 Aure.
1421;Aurland;
0221;Aurskog-Høland;
1244;Austevoll;
1264;Austrheim;
1554;Averøy;
1418;Balestrand;
1854;Ballangen;
1933;Balsfjord;
0814;Bamble;
1922;Bardu;
2113;Barentsburg;
1839;Beiarn;
1929;Berg;
0116;Berg  (-1966);
1201;Bergen;
1301;Bergen (-1971);
2024;Berlevåg;
1811;Bindal;
0928;Birkenes;
1915;Bjarkøy (-2012);1. januar 2013 ble kommunene 1901 Harstad og 1915 Bjarkøy slått sammen til en ny kommune 1903 Harstad.
1114;Bjerkreim;
1627;Bjugn;
2121;Bjørnøya;
1843;Bodin (-1967);
1804;Bodø;1. januar 2005 ble kommunene 1804 Bodø og 1842 Skjerstad slått sammen til en kommune 1804 Bodø.
1145;Bokn;
0113;Borge (-1993);
0717;Borre (-1987);
1438;Bremanger;
0726;Brunlanes (-1987);
1813;Brønnøy;
1814;Brønnøy (-1976);
0938;Bygland;
0941;Bykle;
0219;Bærum;
1867;Bø (Nordl.);
0821;Bø (Telem.);
1219;Bømlo;
2028;Båtsfjord;
2025;Deatnu - Tana;
1850;Divtasvuodna - Tysfjord;
0511;Dovre;
0602;Drammen;
0817;Drangedal;
1926;Dyrøy;
1827;Dønna;
1443;Eid;
1551;Eide;
1232;Eidfjord;
0125;Eidsberg;
0420;Eidskog;
0237;Eidsvoll;
1101;Eigersund;
0427;Elverum;
0229;Enebakk;
0434;Engerdal;
1211;Etne;
0541;Etnedal;
1853;Evenes;
0937;Evje og Hornnes;
1249;Fana (-1971);
1003;Farsund;
1841;Fauske;
1265;Fedje;
0227;Fet;
1141;Finnøy;
1222;Fitjar;
1429;Fjaler;
1246;Fjell;
0923;Fjære (-1970);
1859;Flakstad;
1749;Flatanger;
1004;Flekkefjord;
0631;Flesberg;
1401;Flora;
0615;Flå;
0439;Folldal;
1129;Forsand;
