"kommune_nr","kommune_navn","standard_utgave","kommune_note","fylke_nr","fylke_navn","fylke_note","naringsregion_nr","naringsregion_navn"
"0101","Halden","2002","","01","Østfold","","01","Halden"
"0101","Halden","2013","","01","Østfold","","01","Halden"
"0101","Halden","2006","","01","Østfold","","01","Halden"
"0101","Halden","komplett_2016","","01","Østfold","","01","Halden"
"0101","Halden","2008","","01","Østfold","","01","Halden"
"0101","Halden","2012","","01","Østfold","","01","Halden"
"0101","Halden","2014","","01","Østfold","","01","Halden"
"0101","Halden","2005","","01","Østfold","","01","Halden"
"0101","Halden","2003","","01","Østfold","","01","Halden"
"0102","Sarpsborg (-1991)","komplett_2016","","01","Østfold","",NA,NA
"0103","Fredrikstad (-1993)","komplett_2016","","01","Østfold","",NA,NA
"0104","Moss","2012","","01","Østfold","","03","Mosseregionen"
"0104","Moss","2013","","01","Østfold","","03","Mosseregionen"
"0104","Moss","2002","","01","Østfold","","03","Mosseregionen"
"0104","Moss","2008","","01","Østfold","","03","Mosseregionen"
"0104","Moss","2006","","01","Østfold","","03","Mosseregionen"
"0104","Moss","2003","","01","Østfold","","03","Mosseregionen"
"0104","Moss","komplett_2016","","01","Østfold","","03","Mosseregionen"
"0104","Moss","2014","","01","Østfold","","03","Mosseregionen"
"0104","Moss","2005","","01","Østfold","","03","Mosseregionen"
"0105","Sarpsborg","2014","","01","Østfold","","04","Nedre Glomma"
"0105","Sarpsborg","2005","","01","Østfold","","04","Nedre Glomma"
"0105","Sarpsborg","2008","","01","Østfold","","04","Nedre Glomma"
"0105","Sarpsborg","2013","","01","Østfold","","04","Nedre Glomma"
"0105","Sarpsborg","komplett_2016","","01","Østfold","","04","Nedre Glomma"
"0105","Sarpsborg","2006","","01","Østfold","","04","Nedre Glomma"
"0105","Sarpsborg","2002","Kommunene 0102 Sarpsborg, 0114 Varteig, 0115 Skjeberg og 0130 Tune ble den 1.1.92 slått sammen til 0105 Sarpsborg kommune.","01","Østfold","","04","Nedre Glomma"
"0105","Sarpsborg","2012","","01","Østfold","","04","Nedre Glomma"
"0105","Sarpsborg","2003","","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","2006","","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","komplett_2016","","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","2013","","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","2005","","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","2003","","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","2008","","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","2002","Kommunene 0103 Fredrikstad, 0113 Borge, 0131 Rolvsøy, 0133 Kråkerøy og 0134 Onsøy ble den 1.1.94 slått sammen til 0106 Fredrikstad kommune.","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","2014","","01","Østfold","","04","Nedre Glomma"
"0106","Fredrikstad","2012","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","2006","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","2008","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","2005","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","2012","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","komplett_2016","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","2014","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","2002","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","2003","","01","Østfold","","04","Nedre Glomma"
"0111","Hvaler","2013","","01","Østfold","","04","Nedre Glomma"
"0113","Borge (-1993)","komplett_2016","","01","Østfold","",NA,NA
"0114","Varteig (-1991)","komplett_2016","","01","Østfold","",NA,NA
"0115","Skjeberg (-1991)","komplett_2016","","01","Østfold","",NA,NA
"0116","Berg  (-1966)","komplett_2016","","01","Østfold","",NA,NA
"0117","Idd (-1966)","komplett_2016","","01","Østfold","",NA,NA
"0118","Aremark","2014","","01","Østfold","","02","Indre Østfold"
"0118","Aremark","2012","","01","Østfold","","02","Indre Østfold"
"0118","Aremark","2006","","01","Østfold","","02","Indre Østfold"
"0118","Aremark","2003","","01","Østfold","","02","Indre Østfold"
"0118","Aremark","2013","","01","Østfold","","02","Indre Østfold"
"0118","Aremark","2005","","01","Østfold","","02","Indre Østfold"
"0118","Aremark","2008","","01","Østfold","","02","Indre Østfold"
"0118","Aremark","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0118","Aremark","2002","","01","Østfold","","02","Indre Østfold"
"0119","Marker","2014","","01","Østfold","","02","Indre Østfold"
"0119","Marker","2012","","01","Østfold","","02","Indre Østfold"
"0119","Marker","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0119","Marker","2013","","01","Østfold","","02","Indre Østfold"
"0119","Marker","2008","","01","Østfold","","02","Indre Østfold"
"0119","Marker","2002","","01","Østfold","","02","Indre Østfold"
"0119","Marker","2003","","01","Østfold","","02","Indre Østfold"
"0119","Marker","2006","","01","Østfold","","02","Indre Østfold"
"0119","Marker","2005","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","2014","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","2002","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","2006","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","2003","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","2008","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","2013","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","2005","","01","Østfold","","02","Indre Østfold"
"0121","Rømskog","2012","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","2013","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","2012","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","2006","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","2003","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","2008","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","2005","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","2014","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0122","Trøgstad","2002","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","2006","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","2005","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","2008","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","2012","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","2013","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","2003","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","2014","","01","Østfold","","02","Indre Østfold"
"0123","Spydeberg","2002","","01","Østfold","","02","Indre Østfold"
"0124","Askim","2003","","01","Østfold","","02","Indre Østfold"
"0124","Askim","2002","","01","Østfold","","02","Indre Østfold"
"0124","Askim","2005","","01","Østfold","","02","Indre Østfold"
"0124","Askim","2012","","01","Østfold","","02","Indre Østfold"
"0124","Askim","2014","","01","Østfold","","02","Indre Østfold"
"0124","Askim","2008","","01","Østfold","","02","Indre Østfold"
"0124","Askim","2013","","01","Østfold","","02","Indre Østfold"
"0124","Askim","2006","","01","Østfold","","02","Indre Østfold"
"0124","Askim","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","2013","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","2014","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","2003","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","2008","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","2006","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","2005","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","2012","","01","Østfold","","02","Indre Østfold"
"0125","Eidsberg","2002","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","2013","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","2014","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","2008","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","2005","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","2006","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","2003","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","2012","","01","Østfold","","02","Indre Østfold"
"0127","Skiptvet","2002","","01","Østfold","","02","Indre Østfold"
"0128","Rakkestad","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0128","Rakkestad","2008","","01","Østfold","","02","Indre Østfold"
"0128","Rakkestad","2005","","01","Østfold","","02","Indre Østfold"
