Nr;Kommune;Fylke;Fylkenr;IMDireg;IMDiregnr;Naringregnr;Naringreg;Sentralnr_2008;Sentral_2008
101;0101 Halden;Østfold;1;IMDi Øst;1;1;Halden;3;Sentrale kommuner
104;0104 Moss;Østfold;1;IMDi Øst;1;3;Mosseregionen;3;Sentrale kommuner
105;0105 Sarpsborg;Østfold;1;IMDi Øst;1;4;Nedre Glomma;3;Sentrale kommuner
106;0106 Fredrikstad;Østfold;1;IMDi Øst;1;4;Nedre Glomma;3;Sentrale kommuner
111;0111 Hvaler;Østfold;1;IMDi Øst;1;4;Nedre Glomma;2;Noe sentrale kommuner
118;0118 Aremark;Østfold;1;IMDi Øst;1;2;Indre Østfold;2;Noe sentrale kommuner
119;0119 Marker;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
121;0121 Rømskog;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
122;0122 Trøgstad;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
123;0123 Spydeberg;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
124;0124 Askim;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
125;0125 Eidsberg;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
127;0127 Skiptvet;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
128;0128 Rakkestad;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
135;0135 Råde;Østfold;1;IMDi Øst;1;3;Mosseregionen;3;Sentrale kommuner
136;0136 Rygge;Østfold;1;IMDi Øst;1;3;Mosseregionen;3;Sentrale kommuner
137;0137 Våler (Østfold);Østfold;1;IMDi Øst;1;3;Mosseregionen;3;Sentrale kommuner
138;0138 Hobøl;Østfold;1;IMDi Øst;1;2;Indre Østfold;3;Sentrale kommuner
211;0211 Vestby;Akershus;2;IMDi Øst;1;6;Follo;3;Sentrale kommuner
213;0213 Ski;Akershus;2;IMDi Øst;1;6;Follo;3;Sentrale kommuner
214;0214 Ås;Akershus;2;IMDi Øst;1;6;Follo;3;Sentrale kommuner
215;0215 Frogn;Akershus;2;IMDi Øst;1;6;Follo;3;Sentrale kommuner
216;0216 Nesodden;Akershus;2;IMDi Øst;1;6;Follo;3;Sentrale kommuner
217;0217 Oppegård;Akershus;2;IMDi Øst;1;6;Follo;3;Sentrale kommuner
219;0219 Bærum;Akershus;2;IMDi Øst;1;5;Akershus Vest;3;Sentrale kommuner
220;0220 Asker;Akershus;2;IMDi Øst;1;5;Akershus Vest;3;Sentrale kommuner
221;0221 Aurskog Høland;Akershus;2;IMDi Øst;1;7;Nedre Romerike;3;Sentrale kommuner
226;0226 Sørum;Akershus;2;IMDi Øst;1;7;Nedre Romerike;3;Sentrale kommuner
227;0227 Fet;Akershus;2;IMDi Øst;1;7;Nedre Romerike;3;Sentrale kommuner
228;0228 Rælingen;Akershus;2;IMDi Øst;1;7;Nedre Romerike;3;Sentrale kommuner
229;0229 Enebakk;Akershus;2;IMDi Øst;1;6;Follo;3;Sentrale kommuner
230;0230 Lørenskog;Akershus;2;IMDi Øst;1;7;Nedre Romerike;3;Sentrale kommuner
231;0231 Skedsmo;Akershus;2;IMDi Øst;1;7;Nedre Romerike;3;Sentrale kommuner
233;0233 Nittedal;Akershus;2;IMDi Øst;1;7;Nedre Romerike;3;Sentrale kommuner
234;0234 Gjerdrum;Akershus;2;IMDi Øst;1;8;Øvre Romerike;3;Sentrale kommuner
235;0235 Ullensaker;Akershus;2;IMDi Øst;1;8;Øvre Romerike;3;Sentrale kommuner
236;0236 Nes (Akershus);Akershus;2;IMDi Øst;1;8;Øvre Romerike;3;Sentrale kommuner
237;0237 Eidsvoll;Akershus;2;IMDi Øst;1;8;Øvre Romerike;3;Sentrale kommuner
238;0238 Nannestad;Akershus;2;IMDi Øst;1;8;Øvre Romerike;3;Sentrale kommuner
239;0239 Hurdal;Akershus;2;IMDi Øst;1;8;Øvre Romerike;3;Sentrale kommuner
301;0301 Oslo;Oslo;3;IMDi Øst;1;9;Oslo;3;Sentrale kommuner
402;0402 Kongsvinger;Hedmark;4;IMDi Indre Øst;2;11;Glåmdal;3;Sentrale kommuner
403;0403 Hamar;Hedmark;4;IMDi Indre Øst;2;12;Hamarregionen;3;Sentrale kommuner
412;0412 Ringsaker;Hedmark;4;IMDi Indre Øst;2;12;Hamarregionen;2;Noe sentrale kommuner
415;0415 Løten;Hedmark;4;IMDi Indre Øst;2;12;Hamarregionen;3;Sentrale kommuner
417;0417 Stange;Hedmark;4;IMDi Indre Øst;2;12;Hamarregionen;3;Sentrale kommuner
418;0418 Nord-Odal;Hedmark;4;IMDi Indre Øst;2;11;Glåmdal;3;Sentrale kommuner
419;0419 Sør-Odal;Hedmark;4;IMDi Indre Øst;2;11;Glåmdal;3;Sentrale kommuner
420;0420 Eidskog;Hedmark;4;IMDi Indre Øst;2;11;Glåmdal;3;Sentrale kommuner
423;0423 Grue;Hedmark;4;IMDi Indre Øst;2;11;Glåmdal;1;Mindre sentrale kommuner
425;0425 Åsnes;Hedmark;4;IMDi Indre Øst;2;11;Glåmdal;2;Noe sentrale kommuner
426;0426 Våler (Hedm.);Hedmark;4;IMDi Indre Øst;2;11;Glåmdal;2;Noe sentrale kommuner
427;0427 Elverum;Hedmark;4;IMDi Indre Øst;2;13;Sør Østerdal;2;Noe sentrale kommuner
428;0428 Trysil;Hedmark;4;IMDi Indre Øst;2;13;Sør Østerdal;0;Minst sentrale kommuner
429;0429 Åmot;Hedmark;4;IMDi Indre Øst;2;13;Sør Østerdal;2;Noe sentrale kommuner
430;0430 Stor-Elvdal;Hedmark;4;IMDi Indre Øst;2;13;Sør Østerdal;0;Minst sentrale kommuner
432;0432 Rendalen;Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
434;0434 Engerdal;Hedmark;4;IMDi Indre Øst;2;13;Sør Østerdal;0;Minst sentrale kommuner
436;0436 Tolga;Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
437;0437 Tynset;Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
438;0438 Alvdal;Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
439;0439 Folldal;Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
441;0441 Os (Hedm.);Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
501;0501 Lillehammer;Oppland;5;IMDi Indre Øst;2;16;Lillehammerregionen;2;Noe sentrale kommuner
502;0502 Gjøvik;Oppland;5;IMDi Indre Øst;2;14;Gjøvikregionen;2;Noe sentrale kommuner
511;0511 Dovre;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
512;0512 Lesja;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
513;0513 Skjåk;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
514;0514 Lom;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
515;0515 Vågå;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
