Kommune nr & navn;kommune_nr;"Kommune
navn"
Nedbrytninger;;
;;
0101 Halden;101;Halden
0102 Sarpsborg (-1991);102;Sarpsborg (-1991)
0103 Fredrikstad (-1993);103;Fredrikstad (-1993)
0104 Moss;104;Moss
0105 Sarpsborg;105;Sarpsborg
0106 Fredrikstad;106;Fredrikstad
0111 Hvaler;111;Hvaler
0113 Borge (-1993);113;Borge (-1993)
0114 Varteig (-1991);114;Varteig (-1991)
0115 Skjeberg (-1991);115;Skjeberg (-1991)
0116 Berg  (-1966);116;Berg  (-1966)
0117 Idd (-1966);117;Idd (-1966)
0118 Aremark;118;Aremark
0119 Marker;119;Marker
0121 Rømskog;121;Rømskog
0122 Trøgstad;122;Trøgstad
0123 Spydeberg;123;Spydeberg
0124 Askim;124;Askim
0125 Eidsberg;125;Eidsberg
0127 Skiptvet;127;Skiptvet
0128 Rakkestad;128;Rakkestad
0130 Tune (-1991);130;Tune (-1991)
0131 Rolvsøy (1911-1993);131;Rolvsøy (1911-1993)
0133 Kråkerøy (1908-1993);133;Kråkerøy (1908-1993)
0134 Onsøy (-1993);134;Onsøy (-1993)
0135 Råde;135;Råde
0136 Rygge;136;Rygge
0137 Våler (Østf.);137;Våler (Østf.)
0138 Hobøl;138;Hobøl
0199 Uoppgitt kommune Østfold;199;Uoppgitt kommune Østfold
0211 Vestby;211;Vestby
0213 Ski;213;Ski
0214 Ås;214;Ås
0215 Frogn;215;Frogn
0216 Nesodden;216;Nesodden
0217 Oppegård;217;Oppegård
0219 Bærum;219;Bærum
0220 Asker;220;Asker
0221 Aurskog-Høland;221;Aurskog-Høland
0226 Sørum;226;Sørum
0227 Fet;227;Fet
0228 Rælingen;228;Rælingen
0229 Enebakk;229;Enebakk
0230 Lørenskog;230;Lørenskog
0231 Skedsmo;231;Skedsmo
0233 Nittedal;233;Nittedal
0234 Gjerdrum;234;Gjerdrum
0235 Ullensaker;235;Ullensaker
0236 Nes (Ak.);236;Nes (Ak.)
0237 Eidsvoll;237;Eidsvoll
0238 Nannestad;238;Nannestad
0239 Hurdal;239;Hurdal
0299 Uoppgitt kommune Akershus;299;Uoppgitt kommune Akershus
0301 Oslo kommune;301;Oslo kommune
