ID;Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
1;N;1;Norge;;;;;;;
2;U;1;Utlandet;;;;;;;
3;0;2;Norge;;;;;;;
4;000;3;Norge;;;;;;;
5;1;2;Europa;;;;;;;
6;101;3;Danmark;;;;;;;
7;102;3;Grønland;;;;;;;
8;103;3;Finland;;;;;;;
9;104;3;Færøyene;;;;;;;
10;105;3;Island;;;;;;;
11;106;3;Sverige;;;;;;;
12;111;3;Albania;;;;;;;
13;112;3;Belgia;;;;;;;
14;113;3;Bulgaria;;;;;;;
15;114;3;Andorra;;;;;;;
16;115;3;Estland;;;;;;;
17;117;3;Frankrike;;;;;;;
18;118;3;Gibraltar;;;;;;;
19;119;3;Hellas;;;;;;;
20;120;3;Hviterussland;;;;;;;
21;121;3;Irland;;;;;;;
22;122;3;Kroatia;;;;;;;
23;123;3;Italia;;;;;;;
24;124;3;Latvia;;;;;;;
25;126;3;Malta;;;;;;;
26;127;3;Nederland;;;;;;;
27;128;3;Liechtenstein;;;;;;;
28;129;3;Luxembourg;;;;;;;
29;130;3;Monaco;;;;;;;
30;131;3;Polen;;;;;;;
31;132;3;Portugal;;;;;;;
32;133;3;Romania;;;;;;;
33;134;3;San Marino;;;;;;;
34;136;3;Litauen;;;;;;;
35;137;3;Spania;;;;;;;
36;138;3;Moldova;;;;;;;
37;139;3;Storbritannia;;;;;;;
38;140;3;Russland;;;;;;;
39;141;3;Sveits;;;;;;;
40;143;3;Tyrkia;;;;;;;
41;144;3;Tyskland;;;;;;;
42;146;3;Slovenia;;;;;;;
43;148;3;Ukraina;;;;;;;
44;152;3;Ungarn;;;;;;;
45;153;3;Østerrike;;;;;;;
46;154;3;Vatikanstaten;;;;;;;
47;155;3;Bosnia-Hercegovina;;;;;;;
48;156;3;Makedonia;;;;;;;
49;157;3;Slovakia;;;;;;;
50;158;3;Tsjekkia;;;;;;;
51;159;3;Serbia;;Selvstendig stat fra 1.11.2006.;;;;;
52;160;3;Montenegro;;Selvstendig stat fra 1.11.2006.;;;;;
53;161;3;Kosovo;;Selvstendig stat fra 17. februar 2008;;;;;
54;162;3;Guernsey;;Ny landkode fra 1.12.2011;;;;;
55;163;3;Jersey;;Ny landkode fra 1.12.2011;;;;;
56;164;3;Man;;Ny landkode fra 1.12.2011;;;;;
57;2;2;Afrika;;;;;;;
58;203;3;Algerie;;;;;;;
59;204;3;Angola;;;;;;;
60;205;3;Botswana;;;;;;;
61;209;3;St. Helena;;;;;;;
62;213;3;Det britiske territoriet i Indiahavet;;;;;;;
63;216;3;Burundi;;;;;;;
64;220;3;Komorene;;;;;;;
65;229;3;Benin;;;;;;;
66;235;3;Ekvatorial-Guinea;;;;;;;
67;239;3;Elfenbeinskysten;;;;;;;
68;241;3;Eritrea;;;;;;;
69;246;3;Etiopia;;;;;;;
70;249;3;Egypt;;;;;;;
71;250;3;Djibouti;;;;;;;
72;254;3;Gabon;;;;;;;
73;256;3;Gambia;;;;;;;
74;260;3;Ghana;;;;;;;
75;264;3;Guinea;;;;;;;
76;266;3;Guinea-Bissau;;;;;;;
77;270;3;Kamerun;;;;;;;
78;273;3;Kapp Verde;;;;;;;
79;276;3;Kenya;;;;;;;
80;278;3;Kongo-Brazzaville;;;;;;;
81;279;3;Kongo;;Tidligere Zaire;;;;;
82;281;3;Lesotho;;;;;;;
83;283;3;Liberia;;;;;;;
84;286;3;Libya;;;;;;;
85;289;3;Madagaskar;;;;;;;
86;296;3;Malawi;;;;;;;
87;299;3;Mali;;;;;;;
88;3;2;Asia;;;;;;;
89;303;3;Marokko;;;;;;;
90;304;3;Vest-Sahara;;;;;;;
91;306;3;Mauritania;;;;;;;
92;307;3;Mauritius;;;;;;;
93;308;3;Namibia;;;;;;;
94;309;3;Niger;;;;;;;
95;313;3;Nigeria;;;;;;;
96;319;3;Mosambik;;;;;;;
97;322;3;Mayotte;;;;;;;
98;323;3;Réunion;;;;;;;
99;326;3;Zimbabwe;;;;;;;
100;329;3;Rwanda;;;;;;;
101;333;3;São Tomé og Príncipe;;;;;;;
102;336;3;Senegal;;;;;;;
103;337;3;Den sentralafrikanske republikk;;;;;;;
104;338;3;Seychellene;;;;;;;
105;339;3;Sierra Leone;;;;;;;
106;346;3;Somalia;;;;;;;
107;355;3;Sør-Sudan;;Ny landkode fra 1.12.2011;;;;;
108;356;3;Sudan;;;;;;;
109;357;3;Swaziland;;;;;;;
110;359;3;Sør-Afrika;;;;;;;
111;369;3;Tanzania;;;;;;;
112;373;3;Tsjad;;;;;;;
113;376;3;Togo;;;;;;;
114;379;3;Tunisia;;;;;;;
115;386;3;Uganda;;;;;;;
116;389;3;Zambia;;;;;;;
117;393;3;Burkina Faso;;;;;;;
118;4;2;Nord- og Mellom-Amerika;;;;;;;
119;404;3;Afghanistan;;;;;;;
120;406;3;Armenia;;;;;;;
121;407;3;Aserbajdsjan;;;;;;;
122;409;3;Bahrain;;;;;;;
123;410;3;Bangladesh;;;;;;;
124;412;3;Bhutan;;;;;;;
125;416;3;Brunei;;;;;;;
126;420;3;Myanmar;;Også kjent som Myanmar.;;;;;
127;424;3;Sri Lanka;;;;;;;
128;426;3;De forente arabiske emirater;;;;;;;
129;428;3;Filippinene;;;;;;;
130;430;3;Georgia;;;;;;;
131;432;3;Taiwan;;;;;;;
132;436;3;Hongkong;;;;;;;
133;444;3;India;;;;;;;
134;448;3;Indonesia;;;;;;;
135;452;3;Irak;;;;;;;
136;456;3;Iran;;;;;;;
137;460;3;Israel;;;;;;;
138;464;3;Japan;;;;;;;
139;476;3;Jordan;;;;;;;
140;478;3;Kambodsja;;;;;;;
141;480;3;Kasakhstan;;;;;;;
142;484;3;Kina;;;;;;;
143;488;3;Nord-Korea;;;;;;;
144;492;3;Sør-Korea;;;;;;;
