;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;25844;866;24978;92;24886;100;3,350874478;96,64912552;0,355982046;96,29314348;12769;391;12378;49;12329;49,40798638;1,512923696;47,89506268;0,189599133;47,70546355;13075;475;12600;43;12557;50,59201362;1,837950782;48,75406284;0,166382913;48,58767993
0102 Sarpsborg (-1991);11878;407;11471;45;11426;100;3,426502778;96,57349722;0,378851659;96,19464556;5575;197;5378;19;5359;46,93551103;1,658528372;45,27698266;0,159959589;45,11702307;6303;210;6093;26;6067;53,06448897;1,767974406;51,29651456;0,218892069;51,0776225
0103 Fredrikstad (-1993);26838;812;26026;62;25964;100;3,025560772;96,97443923;0,231015724;96,7434235;12781;350;12431;34;12397;47,62277368;1,304121022;46,31865266;0,126686042;46,19196661;14057;462;13595;28;13567;52,37722632;1,72143975;50,65578657;0,104329682;50,55145689
0104 Moss;24548;1153;23395;168;23227;100;4,696920319;95,30307968;0,684373472;94,61870621;11945;623;11322;91;11231;48,65976862;2,53788496;46,12188366;0,370702298;45,75118136;12603;530;12073;77;11996;51,34023138;2,159035359;49,18119602;0,313671175;48,86752485
0105 Sarpsborg;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0106 Fredrikstad;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0111 Hvaler;2921;58;2863;4;2859;100;1,985621363;98,01437864;0,136939404;97,87743923;1461;21;1440;2;1438;50,01711743;0,718931873;49,29818555;0,068469702;49,22971585;1460;37;1423;2;1421;49,98288257;1,26668949;48,71619308;0,068469702;48,64772338
0113 Borge (-1993);11466;208;11258;29;11229;100;1,814058957;98,18594104;0,252921681;97,93301936;5641;100;5541;14;5527;49,19762777;0,872143729;48,32548404;0,122100122;48,20338392;5825;108;5717;15;5702;50,80237223;0,941915228;49,860457;0,130821559;49,72963544
