"";"data...1.";"data...i."
"1";NA;"ar.1986"
"2";NA;"innvkat_5.alle"
"3";NA;"kjonn.alle"
"4";NA;"enhet.personer"
"5";"0101 Halden";"25844"
"6";"0102 Sarpsborg (-1991)";"11878"
"7";"0103 Fredrikstad (-1993)";"26838"
"8";"0104 Moss";"24548"
"9";"0105 Sarpsborg";"0"
"10";"0106 Fredrikstad";"0"
"11";"0111 Hvaler";"2921"
"12";"0113 Borge (-1993)";"11466"
"13";"0114 Varteig (-1991)";"2182"
"14";"0115 Skjeberg (-1991)";"13671"
"15";"0116 Berg  (-1966)";"0"
"16";"0117 Idd (-1966)";"0"
"17";"0118 Aremark";"1506"
"18";"0119 Marker";"3430"
"19";"0121 Rømskog";"702"
"20";"0122 Trøgstad";"4742"
"21";"0123 Spydeberg";"4188"
"22";"0124 Askim";"12605"
"23";"0125 Eidsberg";"9184"
"24";"0127 Skiptvet";"3124"
"25";"0128 Rakkestad";"7159"
"26";"0130 Tune (-1991)";"18543"
"27";"0131 Rolvsøy (1911-1993)";"5706"
"28";"0133 Kråkerøy (1908-1993)";"7433"
"29";"0134 Onsøy (-1993)";"12519"
"30";"0135 Råde";"5819"
"31";"0136 Rygge";"11606"
"32";"0137 Våler (Østf.)";"3594"
"33";"0138 Hobøl";"3781"
"34";"0199 Uoppgitt kommune Østfold";"0"
"35";"0211 Vestby";"10952"
"36";"0213 Ski";"21551"
"37";"0214 Ås";"11351"
"38";"0215 Frogn";"9502"
"39";"0216 Nesodden";"11567"
"40";"0217 Oppegård";"19019"
"41";"0219 Bærum";"84724"
"42";"0220 Asker";"38911"
"43";"0221 Aurskog-Høland";"12465"
"44";"0226 Sørum";"10234"
"45";"0227 Fet";"8059"
"46";"0228 Rælingen";"13510"
"47";"0229 Enebakk";"7592"
"48";"0230 Lørenskog";"24125"
"49";"0231 Skedsmo";"32517"
"50";"0233 Nittedal";"15187"
"51";"0234 Gjerdrum";"3501"
"52";"0235 Ullensaker";"17529"
"53";"0236 Nes (Ak.)";"14917"
"54";"0237 Eidsvoll";"15719"
"55";"0238 Nannestad";"7812"
"56";"0239 Hurdal";"2495"
"57";"0299 Uoppgitt kommune Akershus";"0"
"58";"0301 Oslo kommune";"449395"
"59";"0399 Uoppgitt komm. Oslo";"0"
"60";"0401 Hamar (-1991)";"15672"
"61";"0402 Kongsvinger";"17492"
"62";"0403 Hamar";"0"
"63";"0412 Ringsaker";"30521"
"64";"0414 Vang (-1991)";"8812"
"65";"0415 Løten";"7038"
"66";"0417 Stange";"17645"
"67";"0418 Nord-Odal";"5347"
"68";"0419 Sør-Odal";"7439"
"69";"0420 Eidskog";"6333"
"70";"0423 Grue";"6037"
"71";"0425 Åsnes";"8769"
"72";"0426 Våler (Hedm.)";"4580"
"73";"0427 Elverum";"16948"
"74";"0428 Trysil";"7386"
"75";"0429 Åmot";"4574"
"76";"0430 Stor-Elvdal";"3496"
"77";"0432 Rendalen";"2642"
"78";"0434 Engerdal";"1741"
"79";"0435 Tolga-Os (1966-1975)";"0"
"80";"0436 Tolga";"1857"
"81";"0437 Tynset";"5392"
"82";"0438 Alvdal";"2464"
"83";"0439 Folldal";"2110"
"84";"0441 Os (Hedm.)";"2071"
"85";"0499 Uoppgitt kommune Hedmark";"0"
"86";"0501 Lillehammer";"22128"
"87";"0502 Gjøvik";"25908"
"88";"0511 Dovre";"3177"
"89";"0512 Lesja";"2481"
"90";"0513 Skjåk";"2688"
"91";"0514 Lom";"2704"
"92";"0515 Vågå";"4101"
"93";"0516 Nord-Fron";"6271"
"94";"0517 Sel";"6578"
"95";"0518 Fron (1966-1976)";"0"
"96";"0519 Sør-Fron";"3531"
"97";"0520 Ringebu";"5235"
"98";"0521 Øyer";"4507"
"99";"0522 Gausdal";"6511"
"100";"0528 Østre Toten";"14114"
"101";"0529 Vestre Toten";"13563"
"102";"0532 Jevnaker";"5704"
"103";"0533 Lunner";"7616"
"104";"0534 Gran";"12469"
"105";"0536 Søndre Land";"6282"
"106";"0538 Nordre Land";"7019"
"107";"0540 Sør-Aurdal";"3663"
"108";"0541 Etnedal";"1690"
"109";"0542 Nord-Aurdal";"6560"
"110";"0543 Vestre Slidre";"2470"
"111";"0544 Øystre Slidre";"3074"
"112";"0545 Vang";"1752"
"113";"0599 Uoppgitt kommune Oppland";"0"
"114";"0601 Ringerike (1964-1976)";"0"
"115";"0602 Drammen";"50874"
"116";"0604 Kongsberg";"21060"
"117";"0605 Ringerike";"26797"
"118";"0612 Hole";"4236"
"119";"0615 Flå";"1267"
"120";"0616 Nes (Busk.)";"3388"
"121";"0617 Gol";"4064"
"122";"0618 Hemsedal";"1626"
"123";"0619 Ål";"4669"
"124";"0620 Hol";"4656"
"125";"0621 Sigdal";"3800"
"126";"0622 Krødsherad";"2342"
"127";"0623 Modum";"12184"
"128";"0624 Øvre Eiker";"14112"
"129";"0625 Nedre Eiker";"18132"
"130";"0626 Lier";"18348"
"131";"0627 Røyken";"13746"
"132";"0628 Hurum";"7737"
