"";"data...1."
"1";NA
"2";NA
"3";NA
"4";NA
"5";"0101 Halden"
"6";"0102 Sarpsborg (-1991)"
"7";"0103 Fredrikstad (-1993)"
"8";"0104 Moss"
"9";"0105 Sarpsborg"
"10";"0106 Fredrikstad"
"11";"0111 Hvaler"
"12";"0113 Borge (-1993)"
"13";"0114 Varteig (-1991)"
"14";"0115 Skjeberg (-1991)"
"15";"0116 Berg  (-1966)"
"16";"0117 Idd (-1966)"
"17";"0118 Aremark"
"18";"0119 Marker"
"19";"0121 Rømskog"
"20";"0122 Trøgstad"
"21";"0123 Spydeberg"
"22";"0124 Askim"
"23";"0125 Eidsberg"
"24";"0127 Skiptvet"
"25";"0128 Rakkestad"
"26";"0130 Tune (-1991)"
"27";"0131 Rolvsøy (1911-1993)"
"28";"0133 Kråkerøy (1908-1993)"
"29";"0134 Onsøy (-1993)"
"30";"0135 Råde"
"31";"0136 Rygge"
"32";"0137 Våler (Østf.)"
"33";"0138 Hobøl"
"34";"0199 Uoppgitt kommune Østfold"
"35";"0211 Vestby"
"36";"0213 Ski"
"37";"0214 Ås"
"38";"0215 Frogn"
"39";"0216 Nesodden"
"40";"0217 Oppegård"
"41";"0219 Bærum"
"42";"0220 Asker"
"43";"0221 Aurskog-Høland"
"44";"0226 Sørum"
"45";"0227 Fet"
"46";"0228 Rælingen"
"47";"0229 Enebakk"
"48";"0230 Lørenskog"
"49";"0231 Skedsmo"
"50";"0233 Nittedal"
"51";"0234 Gjerdrum"
"52";"0235 Ullensaker"
"53";"0236 Nes (Ak.)"
"54";"0237 Eidsvoll"
"55";"0238 Nannestad"
"56";"0239 Hurdal"
"57";"0299 Uoppgitt kommune Akershus"
"58";"0301 Oslo kommune"
"59";"0399 Uoppgitt komm. Oslo"
"60";"0401 Hamar (-1991)"
"61";"0402 Kongsvinger"
"62";"0403 Hamar"
"63";"0412 Ringsaker"
"64";"0414 Vang (-1991)"
"65";"0415 Løten"
"66";"0417 Stange"
"67";"0418 Nord-Odal"
"68";"0419 Sør-Odal"
"69";"0420 Eidskog"
"70";"0423 Grue"
"71";"0425 Åsnes"
"72";"0426 Våler (Hedm.)"
"73";"0427 Elverum"
"74";"0428 Trysil"
"75";"0429 Åmot"
"76";"0430 Stor-Elvdal"
"77";"0432 Rendalen"
"78";"0434 Engerdal"
"79";"0435 Tolga-Os (1966-1975)"
"80";"0436 Tolga"
"81";"0437 Tynset"
"82";"0438 Alvdal"
"83";"0439 Folldal"
"84";"0441 Os (Hedm.)"
"85";"0499 Uoppgitt kommune Hedmark"
"86";"0501 Lillehammer"
"87";"0502 Gjøvik"
"88";"0511 Dovre"
"89";"0512 Lesja"
"90";"0513 Skjåk"
"91";"0514 Lom"
"92";"0515 Vågå"
"93";"0516 Nord-Fron"
"94";"0517 Sel"
"95";"0518 Fron (1966-1976)"
"96";"0519 Sør-Fron"
"97";"0520 Ringebu"
"98";"0521 Øyer"
"99";"0522 Gausdal"
"100";"0528 Østre Toten"
"101";"0529 Vestre Toten"
"102";"0532 Jevnaker"
"103";"0533 Lunner"
"104";"0534 Gran"
"105";"0536 Søndre Land"
"106";"0538 Nordre Land"
"107";"0540 Sør-Aurdal"
"108";"0541 Etnedal"
"109";"0542 Nord-Aurdal"
"110";"0543 Vestre Slidre"
"111";"0544 Øystre Slidre"
"112";"0545 Vang"
"113";"0599 Uoppgitt kommune Oppland"
"114";"0601 Ringerike (1964-1976)"
"115";"0602 Drammen"
"116";"0604 Kongsberg"
"117";"0605 Ringerike"
"118";"0612 Hole"
"119";"0615 Flå"
"120";"0616 Nes (Busk.)"
"121";"0617 Gol"
"122";"0618 Hemsedal"
"123";"0619 Ål"
"124";"0620 Hol"
"125";"0621 Sigdal"
"126";"0622 Krødsherad"
"127";"0623 Modum"
"128";"0624 Øvre Eiker"
"129";"0625 Nedre Eiker"
"130";"0626 Lier"
"131";"0627 Røyken"
"132";"0628 Hurum"
"133";"0631 Flesberg"
"134";"0632 Rollag"
"135";"0633 Nore og Uvdal"
"136";"0699 Uoppgitt kommune Buskerud"
"137";"0701 Horten"
"138";"0702 Holmestrand"
"139";"0703 Horten (-1987)"
"140";"0704 Tønsberg"
"141";"0705 Tønsberg (-1987)"
"142";"0706 Sandefjord"
"143";"0707 Larvik (-1987)"
"144";"0708 Stavern (1944-1987)"
"145";"0709 Larvik"
"146";"0711 Svelvik"
"147";"0713 Sande (Vestf.)"
"148";"0714 Hof"
"149";"0716 Re"
"150";"0717 Borre (-1987)"
"151";"0718 Ramnes (-2001)"
"152";"0719 Andebu"
"153";"0720 Stokke"
"154";"0721 Sem (-1987)"
"155";"0722 Nøtterøy"
"156";"0723 Tjøme"
"157";"0724 Sandar (-1967)"
"158";"0725 Tjølling (-1987)"
"159";"0726 Brunlanes (-1987)"
"160";"0727 Hedrum (-1987)"
"161";"0728 Lardal"
"162";"0799 Uoppgitt kommune Vestfold"
"163";"0805 Porsgrunn"
"164";"0806 Skien"
"165";"0807 Notodden"
"166";"0811 Siljan"
"167";"0814 Bamble"
"168";"0815 Kragerø"
"169";"0817 Drangedal"
"170";"0819 Nome"
"171";"0821 Bø (Telem.)"
"172";"0822 Sauherad"
"173";"0826 Tinn"
"174";"0827 Hjartdal"
"175";"0828 Seljord"
"176";"0829 Kviteseid"
"177";"0830 Nissedal"
"178";"0831 Fyresdal"
"179";"0833 Tokke"
"180";"0834 Vinje"
"181";"0899 Uoppgitt kommune Telemark"
"182";"0901 Risør"
"183";"0903 Arendal (-1991)"
"184";"0904 Grimstad"
"185";"0906 Arendal"
"186";"0911 Gjerstad"
"187";"0912 Vegårshei"
"188";"0914 Tvedestrand"
"189";"0918 Moland (1962-1991)"
"190";"0919 Froland"
"191";"0920 Øyestad (-1991)"
"192";"0921 Tromøy (-1991)"
"193";"0922 Hisøy (-1991)"
"194";"0923 Fjære (-1970)"
"195";"0924 Landvik (-1970)"
"196";"0926 Lillesand"
"197";"0928 Birkenes"
"198";"0929 Åmli"
"199";"0932 Mykland (-1966)"
"200";"0933 Herefoss (-1966)"
"201";"0935 Iveland"
"202";"0937 Evje og Hornnes"
"203";"0938 Bygland"
"204";"0940 Valle"
"205";"0941 Bykle"
"206";"0999 Uoppgitt kommune Aust-Agder"
"207";"1001 Kristiansand"
"208";"1002 Mandal"
"209";"1003 Farsund"
"210";"1004 Flekkefjord"
"211";"1014 Vennesla"
"212";"1017 Songdalen"
"213";"1018 Søgne"
"214";"1021 Marnardal"
"215";"1026 Åseral"
"216";"1027 Audnedal"
"217";"1029 Lindesnes"
"218";"1032 Lyngdal"
"219";"1034 Hægebostad"
"220";"1037 Kvinesdal"
"221";"1046 Sirdal"
"222";"1099 Uoppgitt kommune Vest-Agder"
"223";"1101 Eigersund"
"224";"1102 Sandnes"
"225";"1103 Stavanger"
"226";"1106 Haugesund"
"227";"1111 Sokndal"
"228";"1112 Lund"
"229";"1114 Bjerkreim"
"230";"1119 Hå"
"231";"1120 Klepp"
"232";"1121 Time"
"233";"1122 Gjesdal"
"234";"1124 Sola"
"235";"1127 Randaberg"
"236";"1129 Forsand"
"237";"1130 Strand"
"238";"1133 Hjelmeland"
"239";"1134 Suldal"
"240";"1135 Sauda"
"241";"1141 Finnøy"
"242";"1142 Rennesøy"
"243";"1144 Kvitsøy"
"244";"1145 Bokn"
"245";"1146 Tysvær"
"246";"1149 Karmøy"
"247";"1151 Utsira"
"248";"1154 Vindafjord (1965-2005)"
"249";"1159 Ølen (-2005)"
"250";"1160 Vindafjord"
"251";"1199 Uoppgitt kommune Rogaland"
"252";"1201 Bergen"
"253";"1211 Etne"
"254";"1214 Ølen (-2001)"
"255";"1216 Sveio"
"256";"1219 Bømlo"
"257";"1221 Stord"
"258";"1222 Fitjar"
"259";"1223 Tysnes"
"260";"1224 Kvinnherad"
"261";"1227 Jondal"
"262";"1228 Odda"
"263";"1230 Ullensvang (-1976)"
"264";"1231 Ullensvang"
"265";"1232 Eidfjord"
"266";"1233 Ulvik"
"267";"1234 Granvin"
"268";"1235 Voss"
"269";"1238 Kvam"
"270";"1241 Fusa"
"271";"1242 Samnanger"
"272";"1243 Os (Hord.)"
"273";"1244 Austevoll"
"274";"1245 Sund"
"275";"1246 Fjell"
"276";"1247 Askøy"
"277";"1248 Laksevåg (1918-1971)"
"278";"1249 Fana (-1971)"
"279";"1250 Arna (1964-1971)"
"280";"1251 Vaksdal"
"281";"1252 Modalen"
"282";"1253 Osterøy"
"283";"1255 Åsane (-1971)"
"284";"1256 Meland"
"285";"1259 Øygarden"
"286";"1260 Radøy"
"287";"1263 Lindås"
"288";"1264 Austrheim"
"289";"1265 Fedje"
"290";"1266 Masfjorden"
"291";"1299 Uoppgitt kommune Hordaland"
"292";"1301 Bergen (-1971)"
"293";"1401 Flora"
"294";"1411 Gulen"
"295";"1412 Solund"
"296";"1413 Hyllestad"
"297";"1416 Høyanger"
"298";"1417 Vik"
"299";"1418 Balestrand"
"300";"1419 Leikanger"
"301";"1420 Sogndal"
"302";"1421 Aurland"
"303";"1422 Lærdal"
"304";"1424 Årdal"
"305";"1426 Luster"
"306";"1428 Askvoll"
"307";"1429 Fjaler"
"308";"1430 Gaular"
"309";"1431 Jølster"
"310";"1432 Førde"
"311";"1433 Naustdal"
"312";"1438 Bremanger"
"313";"1439 Vågsøy"
"314";"1441 Selje"
"315";"1443 Eid"
"316";"1444 Hornindal"
"317";"1445 Gloppen"
"318";"1448 Stryn (-1976)"
"319";"1449 Stryn"
"320";"1499 Uoppgitt kommune Sogn og Fjordane"
"321";"1501 Ålesund (-1976)"
"322";"1502 Molde"
"323";"1503 Kristiansund  (-2007)"
"324";"1504 Ålesund"
"325";"1505 Kristiansund"
"326";"1511 Vanylven"
"327";"1514 Sande (M. og R.)"
