k_nr;k_navn;alle;innvandrere;norskf;bef_eks_innv_norskf;flyktninger
K0101;Halden;30328;3096;812;26420;997
K0104;Moss;31802;4830;1313;25659;1283
K0105;Sarpsborg;54192;7084;1887;45221;2995
K0106;Fredrikstad;78159;9700;2356;66103;4129
K0111;Hvaler;4480;251;23;4206;58
K0118;Aremark;1406;47;9;1350;0
K0119;Marker;3613;284;32;3297;79
K0121;Rømskog;672;49;8;615;3
K0122;Trøgstad;5346;490;57;4799;57
K0123;Spydeberg;5692;601;73;5018;186
K0124;Askim;15513;2368;728;12417;756
K0125;Eidsberg;11353;1487;290;9576;440
K0127;Skiptvet;3731;344;33;3354;51
K0128;Rakkestad;8020;866;194;6960;304
K0135;Råde;7206;700;80;6426;118
K0136;Rygge;15242;1569;400;13273;212
K0137;Våler (Østf.);5100;532;89;4479;47
K0138;Hobøl;5343;729;114;4500;115
K0211;Vestby;16310;1983;385;13942;433
K0213;Ski;29775;3827;952;24996;1103
K0214;Ås;18503;3218;587;14698;494
K0215;Frogn;15656;1523;227;13906;229
K0216;Nesodden;18372;2180;274;15918;301
K0217;Oppegård;26580;3169;675;22736;649
K0219;Bærum;120685;19894;3678;97113;3674
K0220;Asker;59571;9482;1741;48348;1793
K0221;Aurskog-Høland;15726;1579;208;13939;155
K0226;Sørum;17089;2282;488;14319;323
K0227;Fet;11199;1371;286;9542;214
K0228;Rælingen;17185;2806;872;13507;660
K0229;Enebakk;10760;1246;277;9237;193
K0230;Lørenskog;35139;6413;2253;26473;1602
K0231;Skedsmo;51725;9258;3012;39455;2721
K0233;Nittedal;22706;2689;727;19290;393
K0234;Gjerdrum;6326;751;105;5470;86
K0235;Ullensaker;33310;5446;1369;26495;1185
K0236;Nes (Ak.);20410;1966;283;18161;383
K0237;Eidsvoll;23238;2501;485;20252;417
K0238;Nannestad;11882;1698;285;9899;237
K0239;Hurdal;2752;229;19;2504;16
K0301;Oslo;647676;158835;47857;440984;34085
K0402;Kongsvinger;17881;1776;378;15727;663
K0403;Hamar;29847;2974;515;26358;1108
K0412;Ringsaker;33603;2499;369;30735;519
K0415;Løten;7552;534;73;6945;145
K0417;Stange;20013;1623;256;18134;564
K0418;Nord-Odal;5128;197;12;4919;23
K0419;Sør-Odal;7800;446;46;7308;52
K0420;Eidskog;6219;407;36;5776;80
K0423;Grue;4853;330;42;4481;109
K0425;Åsnes;7561;518;25;7018;210
K0426;Våler (Hedm.);3790;236;18;3536;7
K0427;Elverum;20794;1735;272;18787;654
K0428;Trysil;6569;571;56;5942;115
K0429;Åmot;4456;306;39;4111;52
K0430;Stor-Elvdal;2619;314;15;2290;124
K0432;Rendalen;1885;99;4;1782;18
K0434;Engerdal;1359;146;10;1203;80
K0436;Tolga;1656;174;21;1461;67
K0437;Tynset;5562;530;68;4964;133
K0438;Alvdal;2418;132;12;2274;46
K0439;Folldal;1597;65;12;1520;12
K0441;Os (Hedm.);1991;168;28;1795;42
K0501;Lillehammer;27300;2632;456;24212;967
K0502;Gjøvik;30063;3201;640;26222;1246
K0511;Dovre;2745;249;16;2480;90
K0512;Lesja;2059;134;14;1911;9
K0513;Skjåk;2245;135;9;2101;43
K0514;Lom;2356;116;16;2224;44
K0515;Vågå;3675;170;23;3482;70
K0516;Nord-Fron;5754;343;26;5385;101
K0517;Sel;5965;348;35;5582;166
K0519;Sør-Fron;3204;237;26;2941;31
K0520;Ringebu;4459;376;40;4043;79
K0521;Øyer;5065;538;58;4469;177
K0522;Gausdal;6210;340;35;5835;69
K0528;Østre Toten;14796;1109;148;13539;299
K0529;Vestre Toten;13152;903;149;12100;312
K0532;Jevnaker;6599;507;66;6026;108
K0533;Lunner;9003;817;95;8091;290
K0534;Gran;13685;1069;175;12441;396
K0536;Søndre Land;5772;431;48;5293;176
K0538;Nordre Land;6740;384;37;6319;123
K0540;Sør-Aurdal;3094;194;20;2880;53
K0541;Etnedal;1402;174;6;1222;100
K0542;Nord-Aurdal;6466;555;64;5847;102
K0543;Vestre Slidre;2180;163;12;2005;49
K0544;Øystre Slidre;3199;262;30;2907;19
K0545;Vang;1619;245;29;1345;83
K0602;Drammen;67016;13659;4395;48962;4277
K0604;Kongsberg;26711;3593;502;22616;797
K0605;Ringerike;29712;3147;539;26026;761
K0612;Hole;6698;862;95;5741;107
K0615;Flå;1033;97;5;931;11
K0616;Nes (Busk.);3414;353;40;3021;100
K0617;Gol;4588;646;85;3857;158
K0618;Hemsedal;2344;454;42;1848;73
K0619;Ål;4716;418;45;4253;92
K0620;Hol;4471;645;50;3776;68
K0621;Sigdal;3520;204;26;3290;18
K0622;Krødsherad;2268;227;20;2021;13
