k_nr;k_navn;alle;innvandrere;flyktninger
K0101;Halden;30132;2985;980
K0104;Moss;31308;4568;1186
K0105;Sarpsborg;54059;6918;2871
K0106;Fredrikstad;77591;9402;3966
K0111;Hvaler;4386;234;58
K0118;Aremark;1408;42;0
K0119;Marker;3596;268;70
K0121;Rømskog;672;47;3
K0122;Trøgstad;5366;471;54
K0123;Spydeberg;5620;547;153
K0124;Askim;15430;2291;732
K0125;Eidsberg;11323;1468;435
K0127;Skiptvet;3727;335;54
K0128;Rakkestad;7974;858;310
K0135;Råde;7104;618;106
K0136;Rygge;15101;1452;193
K0137;Våler (Østf.);4978;503;37
K0138;Hobøl;5187;679;93
K0211;Vestby;15944;1902;431
K0213;Ski;29542;3671;1047
K0214;Ås;17969;2957;464
K0215;Frogn;15671;1450;215
K0216;Nesodden;18297;2088;284
K0217;Oppegård;26255;2937;594
K0219;Bærum;118588;18768;3504
K0220;Asker;58338;8845;1677
K0221;Aurskog-Høland;15500;1419;144
K0226;Sørum;16918;2169;301
K0227;Fet;11048;1274;179
K0228;Rælingen;16806;2650;637
K0229;Enebakk;10626;1146;192
K0230;Lørenskog;34697;6106;1479
K0231;Skedsmo;51188;8895;2609
K0233;Nittedal;22385;2482;350
K0234;Gjerdrum;6292;716;78
K0235;Ullensaker;32438;5003;1088
K0236;Nes (Ak.);20164;1844;376
K0237;Eidsvoll;22689;2262;336
K0238;Nannestad;11707;1546;214
K0239;Hurdal;2695;205;14
K0301;Oslo;634463;151722;32924
K0402;Kongsvinger;17825;1726;638
K0403;Hamar;29520;2794;1032
K0412;Ringsaker;33463;2333;492
K0415;Løten;7546;500;142
K0417;Stange;19737;1477;515
K0418;Nord-Odal;5118;189;17
K0419;Sør-Odal;7847;418;43
K0420;Eidskog;6253;387;78
K0423;Grue;4948;309;104
K0425;Åsnes;7544;450;156
K0426;Våler (Hedm.);3783;209;7
K0427;Elverum;20563;1601;611
K0428;Trysil;6621;544;107
K0429;Åmot;4455;285;43
K0430;Stor-Elvdal;2699;360;199
K0432;Rendalen;1883;78;9
K0434;Engerdal;1345;107;45
K0436;Tolga;1658;168;66
K0437;Tynset;5549;487;119
K0438;Alvdal;2432;127;46
K0439;Folldal;1631;71;12
K0441;Os (Hedm.);2013;161;47
K0501;Lillehammer;27028;2456;890
K0502;Gjøvik;29668;2963;1173
K0511;Dovre;2704;212;57
K0512;Lesja;2076;126;6
K0513;Skjåk;2264;135;34
K0514;Lom;2361;103;36
K0515;Vågå;3686;148;62
K0516;Nord-Fron;5765;308;88
K0517;Sel;5974;328;148
K0519;Sør-Fron;3191;206;30
K0520;Ringebu;4495;387;84
K0521;Øyer;5090;521;171
K0522;Gausdal;6237;324;64
K0528;Østre Toten;14777;1024;283
K0529;Vestre Toten;13075;827;291
K0532;Jevnaker;6516;466;89
K0533;Lunner;8952;717;229
K0534;Gran;13607;1001;362
K0536;Søndre Land;5701;363;132
K0538;Nordre Land;6700;346;99
K0540;Sør-Aurdal;3133;183;51
K0541;Etnedal;1408;164;98
K0542;Nord-Aurdal;6417;545;104
K0543;Vestre Slidre;2187;148;43
K0544;Øystre Slidre;3206;239;13
K0545;Vang;1602;211;56
K0602;Drammen;66214;13146;4068
K0604;Kongsberg;26406;3457;733
K0605;Ringerike;29624;3006;720
K0612;Hole;6595;834;100
K0615;Flå;1033;87;0
K0616;Nes (Busk.);3445;371;114
K0617;Gol;4631;646;152
K0618;Hemsedal;2295;419;71
K0619;Ål;4713;425;100
K0620;Hol;4452;640;69
K0621;Sigdal;3509;188;12
K0622;Krødsherad;2265;239;13
K0623;Modum;13581;1127;301
K0624;Øvre Eiker;17919;1940;421
K0625;Nedre Eiker;23811;3332;809
K0626;Lier;25175;3709;827
K0627;Røyken;20621;2409;337
K0628;Hurum;9330;954;159
K0631;Flesberg;2683;210;60
K0632;Rollag;1369;83;28
K0633;Nore og Uvdal;2557;204;52
K0701;Horten;26751;3053;908
K0702;Holmestrand;10456;872;154
K0704;Tønsberg;41550;4496;1018
K0706;Sandefjord;44976;5472;1461
K0709;Larvik;43258;4246;1230
K0711;Svelvik;6580;623;81
K0713;Sande (Vestf.);9036;826;146
K0714;Hof;3091;206;11
K0716;Re (f.o.m. 2002);9144;763;182
K0719;Andebu;5719;485;65
K0720;Stokke;11509;1326;321
K0722;Nøtterøy;21403;1948;513
K0723;Tjøme;4927;470;62
K0728;Lardal;2460;152;37
K0805;Porsgrunn;35516;3354;1054
K0806;Skien;53439;6122;2608
K0807;Notodden;12609;1049;326
K0811;Siljan;2404;139;65
K0814;Bamble;14193;976;388
K0815;Kragerø;10621;934;339
K0817;Drangedal;4135;313;58
K0819;Nome;6643;647;254
K0821;Bø (Telem.);5834;581;195
K0822;Sauherad;4325;393;144
K0826;Tinn;5957;592;187
K0827;Hjartdal;1602;71;7
K0828;Seljord;2989;217;53
K0829;Kviteseid;2468;184;17
K0830;Nissedal;1451;107;3
K0831;Fyresdal;1303;127;8
K0833;Tokke;2257;131;19
K0834;Vinje;3723;280;56
K0901;Risør;6899;608;202
K0904;Grimstad;21783;2292;574
K0906;Arendal;43841;4681;1350
K0911;Gjerstad;2489;182;88
K0912;Vegårshei;2000;125;50
K0914;Tvedestrand;6059;555;170
K0919;Froland;5486;357;93
K0926;Lillesand;10106;829;255
K0928;Birkenes;4993;446;140
K0929;Åmli;1810;202;74
K0935;Iveland;1314;116;34
K0937;Evje og Hornnes;3549;365;156
K0938;Bygland;1200;72;20
K0940;Valle;1270;109;48
K0941;Bykle;948;162;33
K1001;Kristiansand;85983;11348;4119
K1002;Mandal;15349;1477;466
K1003;Farsund;9516;719;207
K1004;Flekkefjord;9013;871;238
K1014;Vennesla;13986;1087;266
K1017;Songdalen;6303;764;300
K1018;Søgne;11005;845;246
K1021;Marnardal;2290;191;48
K1026;Åseral;923;98;29
K1027;Audnedal;1743;110;10
K1029;Lindesnes;4853;461;128
K1032;Lyngdal;8102;806;312
K1034;Hægebostad;1690;112;17
K1037;Kvinesdal;5891;473;168
K1046;Sirdal;1831;180;19
K1101;Eigersund;14811;1534;321
K1102;Sandnes;71900;11508;2385
K1103;Stavanger;130754;23565;3653
K1106;Haugesund;36099;4990;1092
K1111;Sokndal;3303;164;3
K1112;Lund;3225;252;123
K1114;Bjerkreim;2820;243;9
K1119;Hå;18115;2267;344
K1120;Klepp;18485;2096;377
K1121;Time;17897;1643;445
K1122;Gjesdal;11317;1213;222
K1124;Sola;25083;3741;445
K1127;Randaberg;10416;999;206
K1129;Forsand;1242;101;0
K1130;Strand;12139;1068;232
K1133;Hjelmeland;2787;430;91
K1134;Suldal;3881;348;91
K1135;Sauda;4760;331;71
K1141;Finnøy;3058;353;3
K1142;Rennesøy;4755;492;54
K1144;Kvitsøy;531;41;0
K1145;Bokn;868;82;0
K1146;Tysvær;10668;750;187
K1149;Karmøy;41753;3447;566
K1151;Utsira;211;16;0
K1160;Vindafjord;8747;1011;93
K1201;Bergen;271949;36258;7366
K1211;Etne;4057;392;24
K1216;Sveio;5463;446;101
K1219;Bømlo;11749;1057;263
K1221;Stord;18425;1758;367
K1222;Fitjar;3009;179;3
K1223;Tysnes;2745;207;3
K1224;Kvinnherad;13232;879;167
K1227;Jondal;1094;65;0
K1228;Odda;7006;595;108
K1231;Ullensvang;3369;306;88
K1232;Eidfjord;950;94;7
K1233;Ulvik;1094;120;3
K1234;Granvin;911;58;8
K1235;Voss;14168;909;278
K1238;Kvam;8584;844;183
K1241;Fusa;3829;237;8
K1242;Samnanger;2436;157;32
K1243;Os (Hord.);18678;1734;182
K1244;Austevoll;4924;507;12
K1245;Sund;6635;623;174
K1246;Fjell;23852;1932;329
K1247;Askøy;27346;2026;338
K1251;Vaksdal;4140;269;62
K1252;Modalen;372;22;0
K1253;Osterøy;7786;584;16
K1256;Meland;7544;583;92
K1259;Øygarden;4704;415;95
K1260;Radøy;5039;461;33
K1263;Lindås;15069;1050;125
K1264;Austrheim;2833;325;10
K1265;Fedje;561;30;0
K1266;Masfjorden;1693;58;3
K1401;Flora;11779;1233;422
K1411;Gulen;2315;183;3
K1412;Solund;815;75;0
K1413;Hyllestad;1391;125;7
K1416;Høyanger;4183;329;71
K1417;Vik;2688;217;30
K1418;Balestrand;1306;183;25
K1419;Leikanger;2268;121;26
K1420;Sogndal;7623;670;232
K1421;Aurland;1715;148;0
K1422;Lærdal;2174;141;13
K1424;Årdal;5496;516;124
K1426;Luster;5089;280;45
K1428;Askvoll;3011;166;0
K1429;Fjaler;2853;336;3
K1430;Gaular;2928;189;0
K1431;Jølster;3070;227;84
K1432;Førde;12685;1046;314
K1433;Naustdal;2776;141;12
K1438;Bremanger;3950;526;117
K1439;Vågsøy;6091;595;36
K1441;Selje;2782;160;3
K1443;Eid;5926;402;79
K1444;Hornindal;1223;70;3
K1445;Gloppen;5694;352;109
K1449;Stryn;7134;1010;141
K1502;Molde;26048;2391;560
K1504;Ålesund;45747;4998;740
K1505;Kristiansund;24395;2457;554
K1511;Vanylven;3302;170;0
K1514;Sande (M. og R.);2636;406;3
K1515;Herøy (M. og R.);8847;880;117
K1516;Ulstein;8092;1163;227
K1517;Hareid;5021;684;133
K1519;Volda;8909;731;294
K1520;Ørsta;10536;692;191
K1523;Ørskog;2301;307;42
K1524;Norddal;1685;142;3
K1525;Stranda;4616;615;32
K1526;Stordal;1035;148;3
K1528;Sykkylven;7730;824;179
K1529;Skodje;4387;346;33
K1531;Sula;8651;790;73
K1532;Giske;7739;700;84
K1534;Haram;9084;1158;200
K1535;Vestnes;6615;664;70
K1539;Rauma;7453;507;4
